TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),2474,109509,107035,95,4980736000,25232410.0

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,52428800,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,2474,4750,109509,104759,523795.0
SFO,2,1,52428800,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,3723,5999,109509,103510,517550.0
SFO,3,1,52428800,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,3817,6093,109509,103416,517080.0
SFO,4,1,52428800,Job-5,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,4005,6281,109509,103228,516140.0
SFO,5,1,52428800,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,7340,9616,109509,99893,499465.0
SFO,6,1,52428800,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,8224,10500,109509,99009,495045.0
SFO,7,1,52428800,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,9473,11749,109509,97760,488800.0
SFO,8,1,52428800,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,9567,11843,109509,97666,488330.0
SFO,9,1,52428800,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,9755,12031,109509,97478,487390.0
SFO,10,1,52428800,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,13090,15366,109509,94143,470715.0
SFO,11,1,52428800,Job-11,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,13974,16250,109509,93259,466295.0
SFO,12,1,52428800,Job-12,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,15223,17499,109509,92010,460050.0
SFO,13,1,52428800,Job-13,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,15317,17593,109509,91916,459580.0
SFO,14,1,52428800,Job-15,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,15505,17781,109509,91728,458640.0
SFO,15,1,52428800,Job-19,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,17702,19978,109509,89531,447655.0
SFO,16,1,52428800,Job-16,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,18586,20862,109509,88647,443235.0
SFO,17,1,52428800,Job-17,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,19835,22111,109509,87398,436990.0
SFO,18,1,52428800,Job-18,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,19929,22205,109509,87304,436520.0
SFO,19,1,52428800,Job-20,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,20117,22393,109509,87116,435580.0
SFO,20,1,52428800,Job-21,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,23198,25474,109509,84035,420175.0
SFO,21,1,52428800,Job-24,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,23452,25728,109509,83781,418905.0
SFO,22,1,52428800,Job-23,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,25679,27955,109509,81554,407770.0
SFO,23,1,52428800,Job-25,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,25867,28143,109509,81366,406830.0
SFO,24,1,52428800,Job-26,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,28948,31224,109509,78285,391425.0
SFO,25,1,52428800,Job-27,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,29022,31298,109509,78211,391055.0
SFO,26,1,52428800,Job-29,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,29202,31478,109509,78031,390155.0
SFO,27,1,52428800,Job-28,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,31429,33705,109509,75804,379020.0
