JOB_ID,IN_TS(KB),IN_DR,IN_COST($),OUT_TS_PLANNED(KB),OUTPUT_TS_ACTUAL(KB),OUT_DR,OUT_COST($),TOTAL_COST($)
1,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
2,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
3,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
4,52428800,IFTD_OC (4203),1.0,52428800,0,OFTD_IC (4204),0.0,1.0
5,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
6,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
7,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
8,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
9,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
10,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
11,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
12,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
13,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
14,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
15,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
16,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
17,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
18,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
19,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
20,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
21,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
22,52428800,IFTD_OC (4203),1.0,52428800,0,OFTD_IC (4204),0.0,1.0
23,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
24,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
25,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
26,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
27,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
28,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
29,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
30,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
31,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
32,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
33,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
34,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
35,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
36,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
37,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
38,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
39,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
40,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
41,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
42,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
43,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
44,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
45,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
46,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
47,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
48,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
49,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
50,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
51,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
52,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
53,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
54,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
55,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
56,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
57,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
58,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
59,52428800,IFTD_IC (4202),0.5,52428800,0,OFTD_IC (4204),0.0,0.5
60,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
61,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
62,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
63,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
64,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
65,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
66,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
67,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
68,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
69,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
70,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
71,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
72,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
73,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
74,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
75,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
76,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
77,52428800,IFTD_IC (4202),0.5,52428800,0,OFTD_IC (4204),0.0,0.5
78,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
79,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
80,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
81,52428800,IFTD_IC (4202),0.5,52428800,52428800,OFTD_IC (4204),0.5,1.0
82,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
83,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
84,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
85,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
86,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
87,52428800,IFTD_OC (4203),1.0,52428800,0,OFTD_IC (4204),0.0,1.0
88,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
89,52428800,IFTD_OC (4203),1.0,52428800,52428800,OFTD_IC (4204),0.5,1.5
