VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
1,109408,49.6,VM-1,m3.xlarge,VM_ST_TERMINATE (3103),101,138,109509,37,21,109370,1.000,0.000,0.000,109508,0,False,None, -1
2,107046,48.0,VM-2,m3.xlarge,VM_ST_TERMINATE (3103),201,249,107247,48,20,106997,1.000,0.000,0.000,107246,0,False,None, -1
3,102455,46.4,VM-3,m3.xlarge,VM_ST_TERMINATE (3103),301,343,102756,42,19,102412,1.000,0.000,0.000,102755,0,False,None, -1
4,102400,46.4,VM-4,m3.xlarge,VM_ST_TERMINATE (3103),401,443,102801,42,20,102357,1.000,0.000,0.000,102800,0,False,None, -1
5,108203,49.6,VM-5,m3.xlarge,VM_ST_TERMINATE (3103),501,531,108704,30,20,108172,1.000,0.000,0.000,108703,0,False,None, -1
