TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),268,10887,10619,95,49807360,25992.15

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,524288,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,268,337,10887,10550,527.5
SFO,2,1,524288,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,503,606,10887,10281,514.05
SFO,3,1,524288,Job-4,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,686,789,10887,10098,504.9
SFO,4,1,524288,Job-5,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,713,782,10887,10105,505.25
SFO,5,1,524288,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,794,863,10887,10024,501.2
SFO,6,1,524288,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,840,1028,10887,9859,492.95
SFO,7,1,524288,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,900,969,10887,9918,495.9
SFO,8,1,524288,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1016,1085,10887,9802,490.1
SFO,9,1,524288,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1132,1201,10887,9686,484.3
SFO,10,1,524288,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1248,1317,10887,9570,478.5
SFO,11,1,524288,Job-12,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1398,1467,10887,9420,471.0
SFO,12,1,524288,Job-13,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1515,1584,10887,9303,465.15
SFO,13,1,524288,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1605,1674,10887,9213,460.65
SFO,14,1,524288,Job-15,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1703,1772,10887,9115,455.75
SFO,15,1,524288,Job-16,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1775,1844,10887,9043,452.15
SFO,16,1,524288,Job-17,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1945,2048,10887,8839,441.95
SFO,17,1,524288,Job-18,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2062,2165,10887,8722,436.1
SFO,18,1,524288,Job-21,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2285,2354,10887,8533,426.65
SFO,19,1,524288,Job-19,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2508,2782,10887,8105,405.25
