CLOCK,JOB_RECV(CUMM),JOB_RECV(UNIT),JOB_COMP(CUMM),JOB_COMP(UNIT),VM_RUN,VM_STUP,VM_ACT,VM_STOP,VM_COST($)
60,0,0,0,0,0,0,0,0,0
120,1,1,0,0,1,1,0,0,1.6
180,1,0,0,0,1,0,1,0,1.6
240,2,1,0,0,2,1,1,0,2.4
300,2,0,0,0,2,0,2,0,2.4
360,3,1,1,1,2,0,2,1,2.8
420,4,1,1,0,3,1,2,1,3.6
480,4,0,1,0,3,0,3,1,3.6
540,5,1,1,0,4,1,3,1,5.2
600,5,0,1,0,4,0,4,1,5.2
660,6,1,2,1,4,0,4,2,6.8
720,7,1,2,0,5,1,4,2,8.4
780,7,0,2,0,5,0,5,2,8.4
840,8,1,4,2,4,1,3,4,10.0
900,8,0,5,1,3,0,3,5,10.0
960,9,1,5,0,3,0,3,5,10.0
1020,10,1,6,1,3,0,3,5,10.0
1080,10,0,7,1,2,0,2,6,10.0
1140,11,1,8,1,3,1,2,6,11.6
1200,11,0,8,0,3,0,3,6,11.6
1260,12,1,9,1,3,0,3,7,13.2
1320,13,1,11,2,2,1,1,9,14.8
1380,13,0,11,0,2,0,2,9,14.8
1440,14,1,11,0,3,1,2,9,16.4
1500,14,0,12,1,2,0,2,10,16.4
1560,15,1,12,0,3,0,3,10,18.0
1620,16,1,13,1,3,1,2,11,19.6
1680,16,0,14,1,2,0,2,12,19.6
1740,17,1,14,0,3,1,2,12,20.4
1800,17,0,15,1,2,0,2,13,20.4
1860,18,1,16,1,2,0,2,14,21.2
1920,19,1,16,0,3,1,2,14,21.4
1980,19,0,16,0,3,0,3,14,21.4
2040,20,1,16,0,4,0,4,14,21.6
2100,20,0,17,1,3,0,3,15,21.6
2160,21,1,17,0,4,0,4,15,23.2
2220,22,1,18,1,4,1,3,16,24.0
2280,22,0,18,0,4,0,4,16,24.0
2340,23,1,18,0,5,0,5,16,24.4
2400,23,0,19,1,4,0,4,17,24.4
2460,24,1,19,0,5,0,5,17,25.2
2520,25,1,19,0,6,1,5,17,26.8
2580,25,0,19,0,6,0,6,17,26.8
2640,26,1,20,1,6,1,5,18,28.4
2700,26,0,20,0,6,0,6,18,28.4
2760,27,1,20,0,7,0,7,18,30.0
2820,28,1,23,3,5,1,4,21,31.6
2880,28,0,24,1,4,0,4,22,31.6
2940,29,1,25,1,3,0,3,23,31.6
3000,29,0,26,1,3,0,3,23,31.6
3060,30,1,27,1,2,0,2,24,31.6
3120,31,1,28,1,3,1,2,24,33.2
3180,31,0,28,0,3,0,3,24,33.2
3240,32,1,29,1,3,1,2,25,34.8
3300,32,0,29,0,3,0,3,25,34.8
3360,33,1,30,1,3,0,3,26,36.4
3420,34,1,31,1,3,1,2,27,38.0
3480,34,0,31,0,3,0,3,27,38.0
3540,35,1,32,1,3,0,3,28,39.6
3600,35,0,33,1,2,0,2,29,39.6
3660,36,1,33,0,3,0,3,29,41.2
3720,37,1,34,1,3,1,2,30,42.0
3780,37,0,35,1,2,0,2,31,42.0
3840,38,1,36,1,2,1,1,32,42.8
3900,38,0,36,0,2,0,2,32,42.8
3960,39,1,36,0,3,0,3,32,43.0
4020,40,1,37,1,3,1,2,33,43.2
4080,40,0,38,1,2,0,2,34,43.2
4140,41,1,38,0,3,1,2,34,44.8
4200,41,0,38,0,3,0,3,34,44.8
4260,42,1,39,1,3,0,3,35,45.6
4320,43,1,39,0,4,1,3,35,46.0
4380,43,0,39,0,4,0,4,35,46.0
4440,44,1,39,0,5,0,5,35,46.8
4500,44,0,39,0,5,0,5,35,46.8
4560,45,1,39,0,6,0,6,35,48.4
4620,46,1,40,1,6,1,5,36,50.0
4680,46,0,40,0,6,0,6,36,50.0
4740,47,1,40,0,7,0,7,36,51.6
4800,47,0,43,3,4,0,4,39,51.6
4860,48,1,43,0,5,0,5,39,53.2
4920,49,1,45,2,3,0,3,41,53.2
4980,49,0,46,1,3,0,3,41,53.2
5040,50,1,47,1,2,0,2,42,53.2
5100,50,0,48,1,2,0,2,42,53.2
5160,51,1,48,0,3,0,3,42,54.8
5220,52,1,49,1,3,1,2,43,56.4
5280,52,0,49,0,3,0,3,43,56.4
5340,53,1,50,1,3,1,2,44,58.0
5400,53,0,51,1,2,0,2,45,58.0
5460,54,1,51,0,3,0,3,45,59.6
5520,55,1,52,1,3,1,2,46,61.2
5580,55,0,52,0,3,0,3,46,61.2
5640,56,1,53,1,3,1,2,47,62.8
5700,56,0,54,1,2,0,2,48,62.8
5760,57,1,54,0,3,0,3,48,63.6
5820,58,1,55,1,3,1,2,49,64.4
5880,58,0,56,1,2,0,2,50,64.4
5940,59,1,56,0,3,0,3,50,64.6
6000,59,0,56,0,3,0,3,50,64.6
6060,60,1,57,1,3,0,3,51,64.8
6120,61,1,57,0,4,1,3,51,66.4
6180,61,0,58,1,3,0,3,52,66.4
6240,62,1,58,0,4,1,3,52,67.2
6300,62,0,58,0,4,0,4,52,67.2
6360,63,1,59,1,4,0,4,53,67.6
6420,64,1,59,0,5,1,4,53,68.4
6480,64,0,59,0,5,0,5,53,68.4
6540,65,1,59,0,6,0,6,53,70.0
6600,65,0,59,0,6,0,6,53,70.0
6660,66,1,60,1,6,0,6,54,71.6
6720,67,1,60,0,7,1,6,54,73.2
6780,67,0,61,1,6,0,6,55,73.2
6840,68,1,63,2,5,1,4,57,74.8
6900,68,0,64,1,4,0,4,58,74.8
6960,69,1,65,1,3,0,3,59,74.8
7020,70,1,66,1,3,0,3,59,74.8
7080,70,0,67,1,2,0,2,60,74.8
7140,71,1,68,1,3,1,2,60,76.4
7200,71,0,68,0,3,0,3,60,76.4
7260,72,1,69,1,3,0,3,61,78.0
7320,73,1,70,1,3,1,2,62,79.6
7380,73,0,71,1,3,0,3,62,79.6
7440,74,1,71,0,3,0,3,63,81.2
7500,74,0,72,1,2,0,2,64,81.2
7560,75,1,72,0,3,0,3,64,82.8
7620,76,1,73,1,3,1,2,65,84.4
7680,76,0,74,1,2,0,2,66,84.4
7740,77,1,74,0,3,1,2,66,85.2
7800,77,0,75,1,2,0,2,67,85.2
7860,78,1,76,1,2,0,2,68,86.0
7920,79,1,76,0,3,1,2,68,86.2
7980,79,0,76,0,3,0,3,68,86.2
8040,80,1,76,0,4,0,4,68,86.4
8100,80,0,77,1,3,0,3,69,86.4
8160,81,1,78,1,3,0,3,70,88.0
8220,82,1,78,0,4,1,3,70,88.8
8280,82,0,79,1,3,0,3,71,88.8
8340,83,1,80,1,3,1,2,72,89.2
8400,83,0,80,0,3,0,3,72,89.2
8460,84,1,80,0,4,0,4,72,90.0
8520,85,1,80,0,5,1,4,72,91.6
8580,85,0,80,0,5,0,5,72,91.6
8640,86,1,81,1,5,1,4,73,93.2
8700,86,0,81,0,5,0,5,73,93.2
8760,87,1,81,0,6,0,6,73,94.8
8820,88,1,83,2,5,1,4,75,96.4
8880,88,0,83,0,5,0,5,75,96.4
8940,89,1,85,2,3,0,3,77,96.4
9000,89,0,86,1,3,0,3,77,96.4
9060,90,1,87,1,2,0,2,78,96.4
9120,91,1,88,1,3,1,2,78,98.0
9180,91,0,88,0,3,0,3,78,98.0
9240,92,1,89,1,3,0,3,79,99.6
9300,92,0,89,0,3,0,3,79,99.6
9360,93,1,90,1,3,0,3,80,101.2
9420,94,1,91,1,3,1,2,81,102.8
9480,94,0,92,1,2,0,2,82,102.8
9540,95,1,92,0,3,1,2,82,104.4
9600,95,0,93,1,2,0,2,83,104.4
9660,96,1,93,0,3,1,2,83,106.0
9720,97,1,94,1,3,1,2,84,106.8
9780,97,0,95,1,2,0,2,85,106.8
9840,98,1,96,1,2,1,1,86,107.6
9900,98,0,96,0,2,0,2,86,107.6
9960,99,1,96,0,3,0,3,86,107.8
10020,100,1,96,0,4,1,3,86,108.0
10080,100,0,97,1,3,0,3,87,108.0
10140,100,0,97,0,3,0,3,87,108.0
10200,100,0,98,1,2,0,2,88,108.0
10260,100,0,98,0,2,0,2,88,108.0
10320,100,0,98,0,2,0,2,88,108.0
10380,100,0,98,0,2,0,2,88,108.0
10440,100,0,98,0,2,0,2,88,108.0
10500,100,0,98,0,2,0,2,88,108.0
10560,100,0,98,0,2,0,2,88,108.0
10620,100,0,98,0,2,0,2,88,108.0
10680,100,0,98,0,2,0,2,88,108.0
10740,100,0,98,0,2,0,2,88,108.0
10800,100,0,99,1,1,0,1,89,108.0
10860,100,0,99,0,1,0,1,89,108.0
