CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
360,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
420,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
480,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
540,1,2,1048576,4.9,0,0,2097152,0.0,0.0,0.02,0.02
600,1,2,1048576,10.9,0,0,2097152,0.0,0.0,0.02,0.02
660,1,2,1048576,16.9,0,0,2097152,0.0,0.0,0.02,0.02
720,1,2,2097152,28.7,1048576,0,3145728,0.02,0.0,0.03,0.05
780,1,4,2097152,40.7,2097152,0,3145728,0.04,0.0,0.03,0.07
840,1,4,2097152,52.7,2097152,0,3145728,0.04,0.0,0.03,0.07
900,1,5,3145728,65.4,3145728,0,4194304,0.06,0.0,0.04,0.1
960,1,5,4194304,84.5,4194304,0,5242880,0.08,0.0,0.05,0.13
1020,1,6,4194304,108.5,4194304,0,5242880,0.08,0.0,0.05,0.13
1080,1,6,5242880,137.0,5242880,0,6291456,0.1,0.0,0.06,0.16
1140,1,7,5242880,167.0,5242880,0,6291456,0.1,0.0,0.06,0.16
1200,1,7,6291456,201.6,6291456,0,7340032,0.12,0.0,0.07,0.19
1260,1,8,7340032,237.6,6291456,0,7340032,0.12,0.0,0.07,0.19
1320,1,9,7340032,279.6,7340032,0,8388608,0.14,0.0,0.08,0.22
1380,1,9,8388608,325.1,8388608,0,9437184,0.16,0.0,0.09,0.25
1440,1,10,8388608,373.1,8388608,0,9437184,0.16,0.0,0.09,0.25
1500,1,10,9437184,425.8,9437184,0,10485760,0.18,0.0,0.1,0.28
1560,1,11,10485760,481.8,10485760,0,11534336,0.2,0.0,0.11,0.31
1620,1,12,10485760,541.8,10485760,0,11534336,0.2,0.0,0.11,0.31
1680,1,12,11534336,606.0,11534336,0,12582912,0.22,0.0,0.12,0.34
1740,1,13,11534336,672.0,11534336,0,12582912,0.22,0.0,0.12,0.34
1800,1,13,12582912,743.9,12582912,0,13631488,0.24,0.0,0.13,0.37
1860,1,15,12582912,815.9,12582912,0,13631488,0.24,0.0,0.13,0.37
1920,1,15,13631488,893.8,13631488,0,14680064,0.26,0.0,0.14,0.4
1980,1,16,14680064,975.7,14680064,0,15728640,0.28,0.0,0.15,0.43
2040,1,16,15728640,1064.5,14680064,0,17825792,0.28,0.0,0.17,0.45
2100,1,16,16777216,1157.6,14680064,0,19922944,0.28,0.0,0.19,0.47
2160,1,16,16777216,1253.6,14680064,0,19922944,0.28,0.0,0.19,0.47
2220,1,17,16777216,1349.6,14680064,0,19922944,0.28,0.0,0.19,0.47
2280,1,18,16777216,1445.6,14680064,0,19922944,0.28,0.0,0.19,0.47
2340,1,19,16777216,1541.6,14680064,0,19922944,0.28,0.0,0.19,0.47
2400,1,20,17825792,1640.6,14680064,0,22020096,0.28,0.0,0.21,0.49
2460,1,20,17825792,1742.6,14680064,0,22020096,0.28,0.0,0.21,0.49
