CLOCK,JOB_RECV(CUMM),JOB_RECV(UNIT),JOB_COMP(CUMM),JOB_COMP(UNIT),VM_RUN,VM_STUP,VM_ACT,VM_STOP,VM_COST($)
60,0,0,0,0,0,0,0,0,0
120,1,1,0,0,1,1,0,0,1.6
180,1,0,0,0,1,0,1,0,1.6
240,2,1,0,0,2,1,1,0,3.2
300,2,0,0,0,2,0,2,0,3.2
360,3,1,0,0,3,0,3,0,4.0
420,4,1,0,0,3,0,3,0,4.0
480,4,0,0,0,3,0,3,0,4.0
540,5,1,1,1,4,0,4,0,5.6
600,5,0,1,0,4,0,4,0,5.6
660,6,1,1,0,5,0,5,0,7.2
720,7,1,2,1,5,1,4,1,8.8
780,7,0,3,1,4,0,4,2,8.8
840,8,1,3,0,5,1,4,2,10.4
900,8,0,4,1,4,0,4,3,10.4
960,9,1,5,1,4,0,4,4,12.0
1020,10,1,5,0,5,1,4,4,13.6
1080,10,0,6,1,4,0,4,5,13.6
1140,11,1,6,0,5,0,5,5,15.2
1200,11,0,7,1,4,0,4,6,15.2
1260,12,1,7,0,5,0,5,6,16.8
1320,13,1,8,1,5,1,4,7,18.4
1380,13,0,9,1,4,0,4,8,18.4
1440,14,1,9,0,5,1,4,8,20.0
1500,14,0,10,1,4,0,4,9,20.0
1560,15,1,11,1,4,0,4,10,21.6
1620,16,1,11,0,5,1,4,10,23.2
1680,16,0,12,1,4,0,4,11,23.2
1740,17,1,12,0,5,0,5,11,24.8
1800,17,0,13,1,4,0,4,12,24.8
1860,18,1,13,0,5,1,4,12,25.6
1920,19,1,14,1,5,1,4,13,26.4
1980,19,0,15,1,4,0,4,14,26.4
2040,20,1,16,1,4,0,4,15,27.2
2100,20,0,17,1,3,0,3,16,27.2
2160,21,1,17,0,4,0,4,16,28.8
2220,22,1,17,0,5,1,4,16,30.4
2280,22,0,17,0,5,0,5,16,30.4
2340,23,1,17,0,5,0,5,16,30.4
2400,23,0,18,1,5,0,5,16,30.4
2460,24,1,18,0,5,0,5,16,30.4
2520,25,1,20,2,5,1,4,17,32.0
2580,25,0,21,1,4,0,4,18,32.0
2640,26,1,21,0,5,0,5,18,33.6
2700,26,0,22,1,4,0,4,19,33.6
2760,27,1,22,0,5,0,5,19,35.2
2820,28,1,22,0,5,0,5,19,35.2
2880,28,0,22,0,5,0,5,19,35.2
2940,29,1,23,1,5,0,5,19,35.2
3000,29,0,25,2,4,0,4,20,35.2
3060,30,1,26,1,4,0,4,21,36.8
3120,31,1,26,0,5,1,4,21,38.4
3180,31,0,27,1,4,0,4,22,38.4
3240,32,1,28,1,4,1,3,23,40.0
3300,32,0,29,1,3,0,3,24,40.0
3360,33,1,29,0,4,0,4,24,41.6
3420,34,1,29,0,5,1,4,24,43.2
3480,34,0,30,1,4,0,4,25,43.2
3540,35,1,30,0,5,1,4,25,44.8
3600,35,0,31,1,4,0,4,26,44.8
3660,36,1,32,1,4,0,4,27,46.4
3720,37,1,32,0,5,1,4,27,48.0
3780,37,0,33,1,4,0,4,28,48.0
3840,38,1,34,1,4,1,3,29,48.8
3900,38,0,34,0,4,0,4,29,48.8
3960,39,1,34,0,5,0,5,29,49.6
4020,40,1,36,2,4,1,3,31,50.4
4080,40,0,36,0,4,0,4,31,50.4
4140,41,1,37,1,4,1,3,32,52.0
4200,41,0,37,0,4,0,4,32,52.0
4260,42,1,37,0,5,0,5,32,53.6
4320,43,1,37,0,5,0,5,32,53.6
4380,43,0,38,1,5,0,5,32,53.6
4440,44,1,38,0,5,0,5,32,53.6
4500,44,0,40,2,4,0,4,33,53.6
4560,45,1,41,1,4,0,4,34,55.2
4620,46,1,41,0,5,1,4,34,56.8
4680,46,0,42,1,4,0,4,35,56.8
4740,47,1,42,0,5,1,4,35,58.4
4800,47,0,43,1,4,0,4,36,58.4
4860,48,1,43,0,5,0,5,36,60.0
4920,49,1,44,1,5,1,4,37,61.6
4980,49,0,45,1,4,0,4,38,61.6
5040,50,1,45,0,5,0,5,38,63.2
5100,50,0,46,1,4,0,4,39,63.2
5160,51,1,47,1,4,0,4,40,64.8
5220,52,1,47,0,5,1,4,40,66.4
5280,52,0,48,1,4,0,4,41,66.4
5340,53,1,48,0,5,1,4,41,68.0
5400,53,0,49,1,4,0,4,42,68.0
5460,54,1,50,1,4,0,4,43,69.6
5520,55,1,50,0,5,1,4,43,71.2
5580,55,0,51,1,4,0,4,44,71.2
5640,56,1,51,0,5,1,4,44,72.8
5700,56,0,52,1,4,0,4,45,72.8
5760,57,1,53,1,4,0,4,46,74.4
5820,58,1,53,0,5,1,4,46,75.2
5880,58,0,54,1,4,0,4,47,75.2
5940,59,1,54,0,5,1,4,47,76.0
6000,59,0,56,2,3,0,3,49,76.0
6060,60,1,56,0,4,0,4,49,76.8
6120,61,1,57,1,4,1,3,50,78.4
6180,61,0,57,0,4,0,4,50,78.4
6240,62,1,57,0,5,1,4,50,80.0
6300,62,0,57,0,5,0,5,50,80.0
6360,63,1,57,0,5,0,5,50,80.0
6420,64,1,58,1,5,0,5,50,80.0
6480,64,0,59,1,4,0,4,51,80.0
6540,65,1,60,1,5,0,5,51,81.6
6600,65,0,61,1,4,0,4,52,81.6
6660,66,1,62,1,4,0,4,53,83.2
6720,67,1,62,0,5,1,4,53,84.8
6780,67,0,62,0,5,0,5,53,84.8
6840,68,1,62,0,5,0,5,53,84.8
6900,68,0,63,1,5,0,5,53,84.8
6960,69,1,64,1,5,0,5,53,84.8
7020,70,1,65,1,5,1,4,54,86.4
7080,70,0,66,1,4,0,4,55,86.4
7140,71,1,67,1,4,1,3,56,88.0
7200,71,0,67,0,4,0,4,56,88.0
7260,72,1,67,0,5,0,5,56,89.6
7320,73,1,68,1,5,1,4,57,91.2
7380,73,0,69,1,4,0,4,58,91.2
7440,74,1,69,0,5,1,4,58,92.8
7500,74,0,70,1,4,0,4,59,92.8
7560,75,1,71,1,4,0,4,60,94.4
7620,76,1,72,1,4,1,3,61,96.0
7680,76,0,73,1,3,0,3,62,96.0
7740,77,1,73,0,4,0,4,62,97.6
7800,77,0,73,0,4,0,4,62,97.6
7860,78,1,74,1,4,0,4,63,98.4
7920,79,1,74,0,5,1,4,63,99.2
7980,79,0,76,2,3,0,3,65,99.2
8040,80,1,76,0,4,1,3,65,100.0
8100,80,0,77,1,3,0,3,66,100.0
8160,81,1,77,0,4,0,4,66,101.6
8220,82,1,77,0,5,1,4,66,103.2
8280,82,0,77,0,5,0,5,66,103.2
8340,83,1,77,0,5,0,5,66,103.2
8400,83,0,78,1,5,0,5,66,103.2
8460,84,1,79,1,4,0,4,67,103.2
8520,85,1,80,1,5,1,4,67,104.8
8580,85,0,81,1,4,0,4,68,104.8
8640,86,1,81,0,5,1,4,68,106.4
8700,86,0,82,1,4,0,4,69,106.4
8760,87,1,82,0,5,0,5,69,108.0
8820,88,1,82,0,5,0,5,69,108.0
8880,88,0,82,0,5,0,5,69,108.0
8940,89,1,83,1,5,0,5,69,108.0
9000,89,0,85,2,4,0,4,70,108.0
9060,90,1,85,0,5,0,5,70,109.6
9120,91,1,86,1,5,1,4,71,111.2
9180,91,0,87,1,4,0,4,72,111.2
9240,92,1,87,0,5,1,4,72,112.8
9300,92,0,88,1,4,0,4,73,112.8
9360,93,1,89,1,4,0,4,74,114.4
9420,94,1,89,0,5,1,4,74,116.0
9480,94,0,90,1,4,0,4,75,116.0
9540,95,1,90,0,5,1,4,75,117.6
9600,95,0,91,1,4,0,4,76,117.6
9660,96,1,92,1,4,0,4,77,119.2
9720,97,1,92,0,5,1,4,77,120.8
9780,97,0,93,1,4,0,4,78,120.8
9840,98,1,93,0,5,0,5,78,121.6
9900,98,0,94,1,4,0,4,79,121.6
9960,99,1,94,0,5,0,5,79,122.4
10020,100,1,96,2,4,1,3,81,123.2
10080,100,0,97,1,3,0,3,82,123.2
10140,100,0,98,1,2,0,2,83,123.2
10200,100,0,98,0,2,0,2,83,123.2
10260,100,0,98,0,2,0,2,83,123.2
10320,100,0,98,0,2,0,2,83,123.2
10380,100,0,98,0,2,0,2,83,123.2
10440,100,0,98,0,2,0,2,83,123.2
10500,100,0,99,1,1,0,1,84,123.2
10560,100,0,99,0,1,0,1,84,123.2
