ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
1,job-1,334,137,60,137,300,1,101,101,157,491,390,334,-90,0.14844,JOB_ST_COMPLETED (3004)
2,job-2,402,205,60,137,600,2,201,201,260,662,461,402,139,0.17867,JOB_ST_COMPLETED (3004)
3,job-3,613,308,100,205,900,3,301,301,336,949,648,613,252,0.13622,JOB_ST_COMPLETED (3004)
4,job-4,402,205,60,137,550,1,401,401,491,893,492,402,58,0.17867,JOB_ST_COMPLETED (3004)
5,job-5,240,205,35,0,200,4,501,501,537,777,276,240,-76,0.10667,JOB_ST_FAILED (3005)
6,job-6,402,205,60,137,200,5,601,601,633,1035,434,402,-234,0.17867,JOB_ST_COMPLETED (3004)
7,job-7,402,205,60,137,220,6,701,701,752,1154,453,402,-233,0.17867,JOB_ST_COMPLETED (3004)
8,job-8,402,205,60,137,220,7,801,801,858,1260,459,402,-239,0.17867,JOB_ST_COMPLETED (3004)
9,job-9,402,205,60,137,320,8,901,901,943,1345,444,402,-124,0.17867,JOB_ST_COMPLETED (3004)
10,job-10,402,205,60,137,320,9,1001,1001,1051,1453,452,402,-132,0.17867,JOB_ST_COMPLETED (3004)
11,job-11,402,205,60,137,380,10,1101,1101,1138,1540,439,402,-59,0.17867,JOB_ST_COMPLETED (3004)
12,job-12,402,205,60,137,380,11,1201,1201,1236,1638,437,402,-57,0.17867,JOB_ST_COMPLETED (3004)
13,job-13,402,205,60,137,380,12,1301,1301,1339,1741,440,402,-60,0.17867,JOB_ST_COMPLETED (3004)
14,job-14,402,205,60,137,220,13,1401,1401,1459,1861,460,402,-240,0.17867,JOB_ST_COMPLETED (3004)
15,job-15,402,205,60,137,220,14,1501,1501,1539,1941,440,402,-220,0.17867,JOB_ST_COMPLETED (3004)
16,job-16,334,137,60,137,320,15,1601,1601,1658,1992,391,334,-71,0.14844,JOB_ST_COMPLETED (3004)
17,job-17,334,137,60,137,520,16,1701,1701,1735,2069,368,334,152,0.14844,JOB_ST_COMPLETED (3004)
18,job-18,510,205,100,205,580,17,1801,1801,1860,2370,569,510,11,0.11333,JOB_ST_COMPLETED (3004)
19,job-19,510,205,100,205,980,18,1901,1901,1957,2467,566,510,414,0.11333,JOB_ST_COMPLETED (3004)
20,job-20,510,205,100,205,980,19,2001,2001,2035,2545,544,510,436,0.11333,JOB_ST_COMPLETED (3004)
21,job-21,334,137,60,137,300,20,2101,2101,2149,2483,382,334,-82,0.14844,JOB_ST_COMPLETED (3004)
22,job-22,402,205,60,137,600,21,2201,2201,2248,2650,449,402,151,0.17867,JOB_ST_COMPLETED (3004)
23,job-23,613,308,100,205,900,17,2301,2301,2370,2983,682,613,218,0.13622,JOB_ST_COMPLETED (3004)
24,job-24,402,205,60,137,550,20,2401,2401,2483,2885,484,402,66,0.17867,JOB_ST_COMPLETED (3004)
25,job-25,402,205,60,137,200,22,2501,2501,2550,2952,451,402,-251,0.17867,JOB_ST_COMPLETED (3004)
26,job-26,402,205,60,137,200,23,2601,2601,2637,3039,438,402,-238,0.17867,JOB_ST_COMPLETED (3004)
27,job-27,402,205,60,137,220,24,2701,2701,2740,3142,441,402,-221,0.17867,JOB_ST_COMPLETED (3004)
28,job-28,402,205,60,137,220,20,2801,2801,2885,3287,486,402,-266,0.17867,JOB_ST_COMPLETED (3004)
