JOB_ID,IN_TS(KB),IN_DR,IN_COST($),OUT_TS_PLANNED(KB),OUTPUT_TS_ACTUAL(KB),OUT_DR,OUT_COST($),TOTAL_COST($)
79,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
80,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
81,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
82,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
83,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
84,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
85,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
86,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
87,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
88,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
89,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
90,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
91,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
92,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
93,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
94,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
95,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
96,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
97,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
98,1048576,IFTD_IC (4202),0.01,1048576,0,OFTD_IC (4204),0.0,0.01
99,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
100,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
