JOB_ID,IN_TS(KB),IN_DR,IN_COST($),OUT_TS_PLANNED(KB),OUTPUT_TS_ACTUAL(KB),OUT_DR,OUT_COST($),TOTAL_COST($)
1,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
2,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
3,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
4,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
5,1048576,IFTD_OC (4203),0.02,1048576,0,OFTD_IC (4204),0.0,0.02
6,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
7,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
8,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
9,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
10,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
11,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
12,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
13,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
14,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
15,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
16,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
17,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
18,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
19,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
20,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
21,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
22,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
23,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
24,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
25,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
26,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
27,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
28,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
29,1048576,IFTD_OC (4203),0.02,1048576,0,OFTD_IC (4204),0.0,0.02
30,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
31,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
32,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
33,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
34,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
35,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
36,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
37,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
38,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
39,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
40,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
41,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
42,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
43,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
44,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
45,1048576,IFTD_OC (4203),0.02,1048576,0,OFTD_IC (4204),0.0,0.02
46,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
47,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
48,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
49,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
50,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
51,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
52,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
53,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
54,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
55,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
56,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
57,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
58,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
59,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
60,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
61,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
62,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
63,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
64,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
65,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
66,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
67,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
68,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
69,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
70,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
71,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
72,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
73,1048576,IFTD_OC (4203),0.02,1048576,0,OFTD_IC (4204),0.0,0.02
74,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
75,1048576,IFTD_OC (4203),0.02,1048576,1048576,OFTD_IC (4204),0.01,0.03
76,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
77,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
78,1048576,IFTD_IC (4202),0.01,1048576,1048576,OFTD_IC (4204),0.01,0.02
