TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),354,10562,10208,95,99614720,47884.6

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,1048576,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,354,491,10562,10071,1007.1
SFO,2,1,1048576,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,525,662,10562,9900,990.0
SFO,3,1,1048576,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,744,949,10562,9613,961.3
SFO,4,1,1048576,Job-4,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,756,893,10562,9669,966.9
SFO,5,1,1048576,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,898,1035,10562,9527,952.7
SFO,6,1,1048576,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1017,1154,10562,9408,940.8
SFO,7,1,1048576,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1123,1260,10562,9302,930.2
SFO,8,1,1048576,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1208,1345,10562,9217,921.7
SFO,9,1,1048576,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1316,1453,10562,9109,910.9
SFO,10,1,1048576,Job-11,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1403,1540,10562,9022,902.2
SFO,11,1,1048576,Job-12,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1501,1638,10562,8924,892.4
SFO,12,1,1048576,Job-13,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1604,1741,10562,8821,882.1
SFO,13,1,1048576,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1724,1861,10562,8701,870.1
SFO,14,1,1048576,Job-15,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1804,1941,10562,8621,862.1
SFO,15,1,1048576,Job-16,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1855,1992,10562,8570,857.0
SFO,16,1,1048576,Job-17,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,1932,2069,10562,8493,849.3
SFO,17,1,1048576,Job-18,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2165,2370,10562,8192,819.2
SFO,18,1,1048576,Job-19,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2262,2467,10562,8095,809.5
SFO,19,1,1048576,Job-20,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2340,2545,10562,8017,801.7
SFO,20,1,1048576,Job-21,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2346,2483,10562,8079,807.9
SFO,21,1,1048576,Job-22,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2513,2650,10562,7912,791.2
SFO,22,1,1048576,Job-24,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2748,2885,10562,7677,767.7
SFO,23,1,1048576,Job-23,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2778,2983,10562,7579,757.9
SFO,24,1,1048576,Job-25,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2815,2952,10562,7610,761.0
SFO,25,1,1048576,Job-26,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,2902,3039,10562,7523,752.3
SFO,26,1,1048576,Job-27,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3005,3142,10562,7420,742.0
SFO,27,1,1048576,Job-28,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3150,3287,10562,7275,727.5
SFO,28,1,1048576,Job-30,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3301,3438,10562,7124,712.4
SFO,29,1,1048576,Job-31,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3406,3543,10562,7019,701.9
SFO,30,1,1048576,Job-32,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3507,3644,10562,6918,691.8
SFO,31,1,1048576,Job-33,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3620,3757,10562,6805,680.5
SFO,32,1,1048576,Job-34,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3700,3837,10562,6725,672.5
SFO,33,1,1048576,Job-35,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3826,3963,10562,6599,659.9
