TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SFO,34,1,1048576,Job-36,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3846,3983,10562,6579,657.9
SFO,35,1,1048576,Job-37,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,3957,4094,10562,6468,646.8
SFO,36,1,1048576,Job-38,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4151,4356,10562,6206,620.6
SFO,37,1,1048576,Job-39,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4261,4466,10562,6096,609.6
SFO,38,1,1048576,Job-40,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4351,4556,10562,6006,600.6
SFO,39,1,1048576,Job-41,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4358,4495,10562,6067,606.7
SFO,40,1,1048576,Job-42,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4515,4652,10562,5910,591.0
SFO,41,1,1048576,Job-44,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4760,4897,10562,5665,566.5
SFO,42,1,1048576,Job-43,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4764,4969,10562,5593,559.3
SFO,43,1,1048576,Job-46,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,4923,5060,10562,5502,550.2
SFO,44,1,1048576,Job-47,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5019,5156,10562,5406,540.6
SFO,45,1,1048576,Job-48,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5097,5234,10562,5328,532.8
SFO,46,1,1048576,Job-49,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5225,5362,10562,5200,520.0
SFO,47,1,1048576,Job-50,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5303,5440,10562,5122,512.2
SFO,48,1,1048576,Job-51,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5399,5536,10562,5026,502.6
SFO,49,1,1048576,Job-52,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5525,5662,10562,4900,490.0
SFO,50,1,1048576,Job-53,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5610,5747,10562,4815,481.5
SFO,51,1,1048576,Job-54,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5700,5837,10562,4725,472.5
SFO,52,1,1048576,Job-55,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5825,5962,10562,4600,460.0
SFO,53,1,1048576,Job-56,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5854,5991,10562,4571,457.1
SFO,54,1,1048576,Job-57,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,5950,6087,10562,4475,447.5
SFO,55,1,1048576,Job-58,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6162,6367,10562,4195,419.5
SFO,56,1,1048576,Job-59,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6256,6461,10562,4101,410.1
SFO,57,1,1048576,Job-60,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6344,6549,10562,4013,401.3
SFO,58,1,1048576,Job-61,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6357,6494,10562,4068,406.8
SFO,59,1,1048576,Job-62,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6514,6651,10562,3911,391.1
SFO,60,1,1048576,Job-64,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6759,6896,10562,3666,366.6
SFO,61,1,1048576,Job-63,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6775,6980,10562,3582,358.2
SFO,62,1,1048576,Job-65,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6796,6933,10562,3629,362.9
SFO,63,1,1048576,Job-66,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6905,7042,10562,3520,352.0
SFO,64,1,1048576,Job-67,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,6996,7133,10562,3429,342.9
SFO,65,1,1048576,Job-68,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7161,7298,10562,3264,326.4
SFO,66,1,1048576,Job-69,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7198,7335,10562,3227,322.7
SFO,67,1,1048576,Job-70,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7305,7442,10562,3120,312.0
SFO,68,1,1048576,Job-71,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7405,7542,10562,3020,302.0
SFO,69,1,1048576,Job-72,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7511,7648,10562,2914,291.4
SFO,70,1,1048576,Job-74,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7715,7852,10562,2710,271.0
SFO,71,1,1048576,Job-75,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7799,7936,10562,2626,262.6
SFO,72,1,1048576,Job-76,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7828,7965,10562,2597,259.7
SFO,73,1,1048576,Job-77,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,7929,8066,10562,2496,249.6
SFO,74,1,1048576,Job-78,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8140,8345,10562,2217,221.7
SFO,75,1,1048576,Job-79,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8248,8453,10562,2109,210.9
SFO,76,1,1048576,Job-81,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8345,8482,10562,2080,208.0
SFO,77,1,1048576,Job-80,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8362,8567,10562,1995,199.5
SFO,78,1,1048576,Job-82,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8509,8646,10562,1916,191.6
SFO,79,1,1048576,Job-84,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8747,8884,10562,1678,167.8
SFO,80,1,1048576,Job-83,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8753,8958,10562,1604,160.4
SFO,81,1,1048576,Job-85,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8807,8944,10562,1618,161.8
SFO,82,1,1048576,Job-86,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,8925,9062,10562,1500,150.0
SFO,83,1,1048576,Job-87,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9020,9157,10562,1405,140.5
SFO,84,1,1048576,Job-88,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9149,9286,10562,1276,127.6
SFO,85,1,1048576,Job-89,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9209,9346,10562,1216,121.6
SFO,86,1,1048576,Job-90,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9314,9451,10562,1111,111.1
SFO,87,1,1048576,Job-91,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9416,9553,10562,1009,100.9
SFO,88,1,1048576,Job-92,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9509,9646,10562,916,91.6
SFO,89,1,1048576,Job-93,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9623,9760,10562,802,80.2
SFO,90,1,1048576,Job-94,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9708,9845,10562,717,71.7
SFO,91,1,1048576,Job-95,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9823,9960,10562,602,60.2
SFO,92,1,1048576,Job-96,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9836,9973,10562,589,58.9
SFO,93,1,1048576,Job-97,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,9943,10080,10562,482,48.2
SFO,94,1,1048576,Job-99,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,10239,10444,10562,118,11.8
SFO,95,1,1048576,Job-100,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),1048576,10356,10561,10562,1,0.1
