CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
2460,1,22,11010048,1138.95,7864320,0,14680064,0.15,0.0,0.14,0.29
2520,1,22,11534336,1203.9,8388608,0,15204352,0.16,0.0,0.145,0.305
2580,1,23,12058624,1270.7,8912896,0,15728640,0.17,0.0,0.15,0.32
2640,1,23,12058624,1339.7,8912896,0,15728640,0.17,0.0,0.15,0.32
2700,1,23,12058624,1408.7,9437184,0,15728640,0.18,0.0,0.15,0.33
2760,1,23,12058624,1477.7,9437184,0,15728640,0.18,0.0,0.15,0.33
2820,1,24,12582912,1547.55,9961472,0,16252928,0.19,0.0,0.155,0.345
2880,1,25,12582912,1619.55,9961472,0,16252928,0.19,0.0,0.155,0.345
2940,1,26,13107200,1694.3,10485760,0,16777216,0.2,0.0,0.16,0.36
3000,1,26,13631488,1771.8,11010048,0,17301504,0.21,0.0,0.165,0.375
3060,1,26,13631488,1849.8,11010048,0,17301504,0.21,0.0,0.165,0.375
3120,1,27,14155776,1928.95,11534336,0,17825792,0.22,0.0,0.17,0.39
3180,1,27,14155776,2009.95,11534336,0,17825792,0.22,0.0,0.17,0.39
3240,1,28,14155776,2090.95,11534336,0,17825792,0.22,0.0,0.17,0.39
3300,1,28,14680064,2174.75,12058624,0,18350080,0.23,0.0,0.175,0.405
3360,1,29,14680064,2258.75,12058624,0,18350080,0.23,0.0,0.175,0.405
3420,1,29,15204352,2344.2,12582912,0,18874368,0.24,0.0,0.18,0.42
3480,1,30,15204352,2431.2,12582912,0,18874368,0.24,0.0,0.18,0.42
3540,1,31,16252928,2520.95,13631488,0,19922944,0.26,0.0,0.19,0.45
3600,1,32,16777216,2614.15,14155776,0,20447232,0.27,0.0,0.195,0.465
3660,1,33,16777216,2710.15,14155776,0,20447232,0.27,0.0,0.195,0.465
3720,1,33,17301504,2807.9,14680064,0,20971520,0.28,0.0,0.2,0.48
3780,1,34,17301504,2906.9,14680064,0,20971520,0.28,0.0,0.2,0.48
3840,1,34,17825792,3007.15,14680064,0,22020096,0.28,0.0,0.21,0.49
3900,1,34,17825792,3109.15,14680064,0,22020096,0.28,0.0,0.21,0.49
3960,1,35,18350080,3211.9,14680064,0,23068672,0.28,0.0,0.22,0.5
4020,1,35,18350080,3316.9,14680064,0,23068672,0.28,0.0,0.22,0.5
4080,1,36,18874368,3422.15,14680064,0,24117248,0.28,0.0,0.23,0.51
4140,1,36,18874368,3530.15,14680064,0,24117248,0.28,0.0,0.23,0.51
4200,1,37,18874368,3638.15,14680064,0,24117248,0.28,0.0,0.23,0.51
4260,1,38,19398656,3748.9,14680064,0,25165824,0.28,0.0,0.24,0.52
4320,1,39,19922944,3862.75,14680064,0,26214400,0.28,0.0,0.25,0.53
4380,1,40,20447232,3979.0,14680064,0,27262976,0.28,0.0,0.26,0.54
4440,1,40,20971520,4097.5,15204352,0,27787264,0.29,0.0,0.265,0.555
4500,1,41,21495808,4218.4,15728640,0,28311552,0.3,0.0,0.27,0.57
4560,1,42,22020096,4341.55,16252928,0,28835840,0.31,0.0,0.275,0.585
4620,1,42,22020096,4467.55,16252928,0,28835840,0.31,0.0,0.275,0.585
4680,1,42,22020096,4593.55,16777216,0,28835840,0.32,0.0,0.275,0.595
4740,1,42,22020096,4719.55,16777216,0,28835840,0.32,0.0,0.275,0.595
4800,1,43,22544384,4846.15,17301504,0,29360128,0.33,0.0,0.28,0.61
4860,1,44,22544384,4975.15,17301504,0,29360128,0.33,0.0,0.28,0.61
4920,1,44,23068672,5105.85,17825792,0,29884416,0.34,0.0,0.285,0.625
4980,1,45,23068672,5237.85,17825792,0,29884416,0.34,0.0,0.285,0.625
5040,1,45,23592960,5371.85,18350080,0,30408704,0.35,0.0,0.29,0.64
5100,1,45,23592960,5506.85,18350080,0,30408704,0.35,0.0,0.29,0.64
5160,1,46,24117248,5642.5,18874368,0,30932992,0.36,0.0,0.295,0.655
5220,1,46,24117248,5780.5,18874368,0,30932992,0.36,0.0,0.295,0.655
5280,1,47,24117248,5918.5,18874368,0,30932992,0.36,0.0,0.295,0.655
5340,1,47,24641536,6058.8,19398656,0,31457280,0.37,0.0,0.3,0.67
5400,1,48,25165824,6200.65,19922944,0,31981568,0.38,0.0,0.305,0.685
5460,1,49,25690112,6345.6,20447232,0,32505856,0.39,0.0,0.31,0.7
5520,1,50,25690112,6492.6,20447232,0,32505856,0.39,0.0,0.31,0.7
5580,1,51,26214400,6642.1,20971520,0,33030144,0.4,0.0,0.315,0.715
5640,1,51,26738688,6794.7,21495808,0,33554432,0.41,0.0,0.32,0.73
5700,1,52,27262976,6948.85,22020096,0,34078720,0.42,0.0,0.325,0.745
5760,1,52,27262976,7104.85,22020096,0,34078720,0.42,0.0,0.325,0.745
5820,1,53,27787264,7261.5,22020096,0,35127296,0.42,0.0,0.335,0.755
5880,1,53,27787264,7420.5,22020096,0,35127296,0.42,0.0,0.335,0.755
5940,1,54,28311552,7579.65,22020096,0,36175872,0.42,0.0,0.345,0.765
6000,1,54,28311552,7741.65,22020096,0,36175872,0.42,0.0,0.345,0.765
6060,1,55,28311552,7903.65,22020096,0,36175872,0.42,0.0,0.345,0.765
6120,1,55,28835840,8068.3,22020096,0,37224448,0.42,0.0,0.355,0.775
6180,1,56,28835840,8233.3,22020096,0,37224448,0.42,0.0,0.355,0.775
6240,1,57,29360128,8400.45,22020096,0,38273024,0.42,0.0,0.365,0.785
6300,1,58,29884416,8569.9,22020096,0,39321600,0.42,0.0,0.375,0.795
6360,1,58,30408704,8742.55,22020096,0,40370176,0.42,0.0,0.385,0.805
6420,1,59,30932992,8916.65,22544384,0,40894464,0.43,0.0,0.39,0.82
6480,1,60,31457280,9093.95,23068672,0,41418752,0.44,0.0,0.395,0.835
6540,1,61,31457280,9273.95,23068672,0,41418752,0.44,0.0,0.395,0.835
6600,1,61,31981568,9455.7,23592960,0,41943040,0.45,0.0,0.4,0.85
6660,1,62,31981568,9638.7,23592960,0,41943040,0.45,0.0,0.4,0.85
6720,1,62,32505856,9823.65,24117248,0,42467328,0.46,0.0,0.405,0.865
6780,1,63,32505856,10009.65,24117248,0,42467328,0.46,0.0,0.405,0.865
6840,1,63,33030144,10198.6,24641536,0,42991616,0.47,0.0,0.41,0.88
6900,1,64,33554432,10388.45,25165824,0,43515904,0.48,0.0,0.415,0.895
6960,1,65,33554432,10580.45,25165824,0,43515904,0.48,0.0,0.415,0.895
7020,1,65,34078720,10774.05,25690112,0,44040192,0.49,0.0,0.42,0.91
7080,1,65,34078720,10969.05,25690112,0,44040192,0.49,0.0,0.42,0.91
7140,1,66,34603008,11164.3,26214400,0,44564480,0.5,0.0,0.425,0.925
7200,1,66,34603008,11362.3,26214400,0,44564480,0.5,0.0,0.425,0.925
7260,1,67,34603008,11560.3,26214400,0,44564480,0.5,0.0,0.425,0.925
7320,1,67,35127296,11760.2,26738688,0,45088768,0.51,0.0,0.43,0.94
7380,1,67,35127296,11961.2,26738688,0,45088768,0.51,0.0,0.43,0.94
7440,1,68,35651584,12162.75,27262976,0,45613056,0.52,0.0,0.435,0.955
7500,1,69,36175872,12367.85,27787264,0,46137344,0.53,0.0,0.44,0.97
7560,1,71,36175872,12574.85,27787264,0,46137344,0.53,0.0,0.44,0.97
7620,1,71,37224448,12785.75,28835840,0,47185920,0.55,0.0,0.45,1.0
7680,1,72,37224448,12998.75,28835840,0,47185920,0.55,0.0,0.45,1.0
7740,1,72,37748736,13213.95,29360128,0,47710208,0.56,0.0,0.455,1.015
7800,1,73,37748736,13429.95,29360128,0,47710208,0.56,0.0,0.455,1.015
7860,1,73,38273024,13647.65,29360128,0,48758784,0.56,0.0,0.465,1.025
7920,1,73,38273024,13866.65,29360128,0,48758784,0.56,0.0,0.465,1.025
7980,1,74,38797312,14086.85,29360128,0,49807360,0.56,0.0,0.475,1.035
8040,1,74,38797312,14308.85,29360128,0,49807360,0.56,0.0,0.475,1.035
8100,1,75,39321600,14531.55,29360128,0,50855936,0.56,0.0,0.485,1.045
8160,1,75,39321600,14756.55,29360128,0,51380224,0.56,0.0,0.49,1.05
8220,1,75,39321600,14981.55,29360128,0,51380224,0.56,0.0,0.49,1.05
8280,1,77,40370176,15208.15,29360128,0,53477376,0.56,0.0,0.51,1.07
8340,1,77,40370176,15439.15,29360128,0,53477376,0.56,0.0,0.51,1.07
8400,1,78,40370176,15670.15,29360128,0,53477376,0.56,0.0,0.51,1.07
8460,1,78,40894464,15903.8,29884416,0,54001664,0.57,0.0,0.515,1.085
8520,1,79,40894464,16137.8,29884416,0,54001664,0.57,0.0,0.515,1.085
8580,1,79,41418752,16373.1,30408704,0,54525952,0.58,0.0,0.52,1.1
8640,1,79,41418752,16610.1,30408704,0,54525952,0.58,0.0,0.52,1.1
8700,1,81,41418752,16847.1,30408704,0,54525952,0.58,0.0,0.52,1.1
8760,1,81,42467328,17089.85,31457280,0,55574528,0.6,0.0,0.53,1.13
8820,1,83,42991616,17334.0,31981568,0,56098816,0.61,0.0,0.535,1.145
8880,1,83,43515904,17581.6,32505856,0,56623104,0.62,0.0,0.54,1.16
8940,1,83,43515904,17830.6,32505856,0,56623104,0.62,0.0,0.54,1.16
9000,1,84,44040192,18079.85,33030144,0,57147392,0.63,0.0,0.545,1.175
9060,1,84,44040192,18331.85,33030144,0,57147392,0.63,0.0,0.545,1.175
9120,1,85,44040192,18583.85,33030144,0,57147392,0.63,0.0,0.545,1.175
9180,1,85,44564480,18837.75,33554432,0,57671680,0.64,0.0,0.55,1.19
9240,1,85,44564480,19092.75,33554432,0,57671680,0.64,0.0,0.55,1.19
9300,1,86,45088768,19348.3,34078720,0,58195968,0.65,0.0,0.555,1.205
9360,1,86,45088768,19606.3,34078720,0,58195968,0.65,0.0,0.555,1.205
9420,1,88,45613056,19865.1,34603008,0,58720256,0.66,0.0,0.56,1.22
9480,1,88,46137344,20128.3,35651584,0,59244544,0.68,0.0,0.565,1.245
9540,1,88,46137344,20392.3,35651584,0,59244544,0.68,0.0,0.565,1.245
9600,1,89,46661632,20657.15,36175872,0,59768832,0.69,0.0,0.57,1.26
9660,1,89,46661632,20924.15,36175872,0,59768832,0.69,0.0,0.57,1.26
9720,1,90,47185920,21191.8,36700160,0,60293120,0.7,0.0,0.575,1.275
9780,1,90,47185920,21461.8,36700160,0,60293120,0.7,0.0,0.575,1.275
9840,1,91,47710208,21731.95,36700160,0,61341696,0.7,0.0,0.585,1.285
9900,1,91,47710208,22004.95,36700160,0,61341696,0.7,0.0,0.585,1.285
9960,1,92,47710208,22277.95,36700160,0,61341696,0.7,0.0,0.585,1.285
10020,1,92,48234496,22553.6,36700160,0,62390272,0.7,0.0,0.595,1.295
10080,1,93,48234496,22829.6,36700160,0,62390272,0.7,0.0,0.595,1.295
10140,1,93,48758784,23107.75,36700160,0,63438848,0.7,0.0,0.605,1.305
10200,1,94,48758784,23386.75,36700160,0,63438848,0.7,0.0,0.605,1.305
10260,1,94,49283072,23667.4,36700160,0,64487424,0.7,0.0,0.615,1.315
10320,1,94,49283072,23949.4,36700160,0,64487424,0.7,0.0,0.615,1.315
