CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
240,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
300,1,1,524288,1.75,0,0,1048576,0.0,0.0,0.01,0.01
360,1,1,524288,4.75,0,0,1048576,0.0,0.0,0.01,0.01
420,1,2,1048576,8.15,524288,0,1572864,0.01,0.0,0.015,0.025
480,1,2,1048576,14.15,524288,0,1572864,0.01,0.0,0.015,0.025
540,1,3,1048576,20.15,524288,0,1572864,0.01,0.0,0.015,0.025
600,1,3,1572864,28.2,1048576,0,2097152,0.02,0.0,0.02,0.04
660,1,4,1572864,37.2,1048576,0,2097152,0.02,0.0,0.02,0.04
720,1,5,2621440,48.5,2097152,0,3145728,0.04,0.0,0.03,0.07
780,1,6,2621440,63.5,2097152,0,3145728,0.04,0.0,0.03,0.07
840,1,7,3145728,80.55,2621440,0,3670016,0.05,0.0,0.035,0.085
900,1,7,3670016,100.9,3145728,0,4194304,0.06,0.0,0.04,0.1
960,1,7,3670016,121.9,3145728,0,4194304,0.06,0.0,0.04,0.1
1020,1,8,4194304,143.9,3670016,0,4718592,0.07,0.0,0.045,0.115
1080,1,8,4194304,167.9,3670016,0,4718592,0.07,0.0,0.045,0.115
1140,1,9,4194304,191.9,3670016,0,4718592,0.07,0.0,0.045,0.115
1200,1,9,4718592,218.55,4194304,0,5242880,0.08,0.0,0.05,0.13
1260,1,10,4718592,245.55,4194304,0,5242880,0.08,0.0,0.05,0.13
1320,1,10,5242880,273.85,4718592,0,5767168,0.09,0.0,0.055,0.145
1380,1,11,5242880,303.85,4718592,0,5767168,0.09,0.0,0.055,0.145
1440,1,12,5767168,336.45,5242880,0,6291456,0.1,0.0,0.06,0.16
1500,1,12,6291456,372.4,6291456,0,6815744,0.12,0.0,0.065,0.185
1560,1,13,6291456,408.4,6291456,0,6815744,0.12,0.0,0.065,0.185
1620,1,13,6815744,446.0,6815744,0,7340032,0.13,0.0,0.07,0.2
1680,1,14,6815744,485.0,6815744,0,7340032,0.13,0.0,0.07,0.2
1740,1,14,7340032,526.8,7340032,0,7864320,0.14,0.0,0.075,0.215
1800,1,15,7340032,568.8,7340032,0,7864320,0.14,0.0,0.075,0.215
1860,1,15,7864320,613.1,7340032,0,8912896,0.14,0.0,0.085,0.225
1920,1,16,7864320,658.1,7340032,0,8912896,0.14,0.0,0.085,0.225
1980,1,16,8388608,704.9,7340032,0,9961472,0.14,0.0,0.095,0.235
2040,1,17,8388608,752.9,7340032,0,9961472,0.14,0.0,0.095,0.235
2100,1,17,8912896,802.2,7340032,0,11010048,0.14,0.0,0.105,0.245
2160,1,17,8912896,853.2,7340032,0,11010048,0.14,0.0,0.105,0.245
2220,1,18,9437184,905.0,7340032,0,12058624,0.14,0.0,0.115,0.255
2280,1,19,9961472,959.5,7340032,0,13107200,0.14,0.0,0.125,0.265
2340,1,20,10485760,1016.8,7340032,0,14155776,0.14,0.0,0.135,0.275
2400,1,21,10485760,1076.8,7340032,0,14155776,0.14,0.0,0.135,0.275
