CLOCK,JOB_RECV(CUMM),JOB_RECV(UNIT),JOB_COMP(CUMM),JOB_COMP(UNIT),VM_RUN,VM_STUP,VM_ACT,VM_STOP,VM_COST($)
60,0,0,0,0,0,0,0,0,0
120,1,1,0,0,1,1,0,0,1.6
180,1,0,0,0,1,0,1,0,1.6
240,2,1,0,0,1,0,1,0,1.6
300,2,0,1,1,1,0,1,0,1.6
360,3,1,1,0,1,0,1,0,1.6
420,4,1,2,1,1,0,1,0,1.6
480,4,0,2,0,1,0,1,0,1.6
540,5,1,2,0,2,1,1,0,3.2
600,5,0,3,1,2,0,2,0,3.2
660,6,1,3,0,3,0,3,0,4.8
720,7,1,5,2,2,0,2,1,4.8
780,7,0,5,0,2,0,2,1,4.8
840,8,1,6,1,1,0,1,2,4.8
900,8,0,7,1,1,0,1,2,4.8
960,9,1,7,0,1,0,1,2,4.8
1020,10,1,8,1,1,0,1,2,4.8
1080,10,0,8,0,1,0,1,2,4.8
1140,11,1,8,0,1,0,1,2,4.8
1200,11,0,9,1,1,0,1,2,4.8
1260,12,1,9,0,2,0,2,2,6.4
1320,13,1,10,1,2,0,2,2,6.4
1380,13,0,10,0,2,0,2,2,6.4
1440,14,1,11,1,2,0,2,2,6.4
1500,14,0,13,2,1,0,1,3,6.4
1560,15,1,13,0,2,0,2,3,8.0
1620,16,1,14,1,1,0,1,4,8.0
1680,16,0,14,0,1,0,1,4,8.0
1740,17,1,15,1,1,0,1,4,8.0
1800,17,0,15,0,1,0,1,4,8.0
1860,18,1,16,1,1,0,1,4,8.0
1920,19,1,16,0,1,0,1,4,8.0
1980,19,0,17,1,1,0,1,4,8.0
2040,20,1,17,0,1,0,1,4,8.0
2100,20,0,18,1,1,0,1,4,8.0
2160,21,1,18,0,2,0,2,4,9.6
2220,22,1,19,1,2,0,2,4,9.6
2280,22,0,20,1,2,0,2,4,9.6
2340,23,1,21,1,2,0,2,4,9.6
2400,23,0,21,0,2,0,2,4,9.6
2460,24,1,22,1,2,0,2,4,9.6
2520,25,1,23,1,2,1,1,5,11.2
2580,25,0,24,1,1,0,1,6,11.2
2640,26,1,24,0,2,1,1,6,12.8
2700,26,0,25,1,1,0,1,7,12.8
2760,27,1,25,0,2,0,2,7,14.4
2820,28,1,26,1,2,0,2,7,14.4
2880,28,0,26,0,2,0,2,7,14.4
2940,29,1,27,1,1,0,1,8,14.4
3000,29,0,28,1,1,0,1,8,14.4
3060,30,1,28,0,1,0,1,8,14.4
3120,31,1,29,1,1,0,1,8,14.4
3180,31,0,29,0,1,0,1,8,14.4
3240,32,1,29,0,1,0,1,8,14.4
3300,32,0,30,1,1,0,1,8,14.4
3360,33,1,30,0,2,0,2,8,16.0
3420,34,1,31,1,3,1,2,8,17.6
3480,34,0,31,0,3,0,3,8,17.6
3540,35,1,33,2,2,0,2,9,17.6
3600,35,0,34,1,1,0,1,10,17.6
3660,36,1,34,0,1,0,1,10,17.6
3720,37,1,35,1,1,0,1,10,17.6
3780,37,0,35,0,1,0,1,10,17.6
3840,38,1,36,1,1,0,1,10,17.6
3900,38,0,36,0,1,0,1,10,17.6
3960,39,1,37,1,1,0,1,10,17.6
4020,40,1,37,0,1,0,1,10,17.6
4080,40,0,38,1,1,0,1,10,17.6
4140,41,1,38,0,2,0,2,10,19.2
4200,41,0,38,0,2,0,2,10,19.2
4260,42,1,39,1,2,0,2,10,19.2
4320,43,1,40,1,2,0,2,10,19.2
4380,43,0,41,1,2,0,2,10,19.2
4440,44,1,42,1,2,0,2,10,19.2
4500,44,0,43,1,1,0,1,11,19.2
4560,45,1,44,1,1,0,1,12,20.8
4620,46,1,44,0,2,1,1,12,22.4
4680,46,0,45,1,1,0,1,13,22.4
4740,47,1,45,0,2,0,2,13,24.0
4800,47,0,46,1,1,0,1,14,24.0
4860,48,1,46,0,2,0,2,14,25.6
4920,49,1,47,1,1,0,1,15,25.6
4980,49,0,47,0,1,0,1,15,25.6
5040,50,1,48,1,1,0,1,15,25.6
5100,50,0,48,0,1,0,1,15,25.6
5160,51,1,49,1,1,0,1,15,25.6
5220,52,1,49,0,2,1,1,15,27.2
5280,52,0,49,0,2,0,2,15,27.2
5340,53,1,50,1,2,0,2,15,27.2
5400,53,0,51,1,2,0,2,15,27.2
5460,54,1,52,1,2,0,2,15,27.2
5520,55,1,52,0,2,0,2,15,27.2
5580,55,0,53,1,2,0,2,15,27.2
5640,56,1,54,1,1,0,1,16,27.2
5700,56,0,55,1,1,0,1,16,27.2
5760,57,1,55,0,1,0,1,16,27.2
5820,58,1,56,1,1,0,1,16,27.2
5880,58,0,56,0,1,0,1,16,27.2
5940,59,1,57,1,1,0,1,16,27.2
6000,59,0,57,0,1,0,1,16,27.2
6060,60,1,57,0,1,0,1,16,27.2
6120,61,1,58,1,2,1,1,16,28.8
6180,61,0,58,0,2,0,2,16,28.8
6240,62,1,59,1,2,0,2,16,28.8
6300,62,0,60,1,2,0,2,16,28.8
6360,63,1,61,1,2,0,2,16,28.8
6420,64,1,62,1,2,0,2,16,28.8
6480,64,0,63,1,1,0,1,17,28.8
6540,65,1,63,0,2,0,2,17,30.4
6600,65,0,64,1,1,0,1,18,30.4
6660,66,1,64,0,2,0,2,18,32.0
6720,67,1,65,1,2,1,1,19,33.6
6780,67,0,65,0,2,0,2,19,33.6
6840,68,1,66,1,2,1,1,20,35.2
6900,68,0,67,1,1,0,1,21,35.2
6960,69,1,67,0,1,0,1,21,35.2
7020,70,1,68,1,1,0,1,21,35.2
7080,70,0,68,0,1,0,1,21,35.2
7140,71,1,69,1,1,0,1,21,35.2
7200,71,0,69,0,1,0,1,21,35.2
7260,72,1,69,0,1,0,1,21,35.2
7320,73,1,70,1,2,1,1,21,36.8
7380,73,0,70,0,2,0,2,21,36.8
7440,74,1,71,1,3,0,3,21,38.4
7500,74,0,72,1,2,0,2,22,38.4
7560,75,1,72,0,3,0,3,22,40.0
7620,76,1,74,2,1,0,1,24,40.0
7680,76,0,74,0,1,0,1,24,40.0
7740,77,1,75,1,1,0,1,24,40.0
7800,77,0,75,0,1,0,1,24,40.0
7860,78,1,76,1,1,0,1,24,40.0
7920,79,1,76,0,1,0,1,24,40.0
7980,79,0,77,1,1,0,1,24,40.0
8040,80,1,77,0,1,0,1,24,40.0
8100,80,0,78,1,1,0,1,24,40.0
8160,81,1,79,1,2,0,2,24,41.6
8220,82,1,79,0,2,0,2,24,41.6
8280,82,0,81,2,1,0,1,25,41.6
8340,83,1,81,0,1,0,1,25,41.6
8400,83,0,81,0,1,0,1,25,41.6
8460,84,1,82,1,1,0,1,25,41.6
8520,85,1,82,0,2,1,1,25,43.2
8580,85,0,83,1,2,0,2,25,43.2
8640,86,1,83,0,3,1,2,25,44.8
8700,86,0,83,0,3,0,3,25,44.8
8760,87,1,85,2,2,0,2,26,44.8
8820,88,1,86,1,1,0,1,27,44.8
8880,88,0,87,1,1,0,1,27,44.8
8940,89,1,87,0,1,0,1,27,44.8
9000,89,0,88,1,1,0,1,27,44.8
9060,90,1,88,0,1,0,1,27,44.8
9120,91,1,88,0,1,0,1,27,44.8
9180,91,0,89,1,1,0,1,27,44.8
9240,92,1,89,0,2,1,1,27,46.4
9300,92,0,90,1,2,0,2,27,46.4
9360,93,1,90,0,2,0,2,27,46.4
9420,94,1,91,1,2,0,2,27,46.4
9480,94,0,93,2,1,0,1,28,46.4
9540,95,1,93,0,2,1,1,28,48.0
9600,95,0,94,1,1,0,1,29,48.0
9660,96,1,94,0,1,0,1,29,48.0
9720,97,1,95,1,1,0,1,29,48.0
9780,97,0,95,0,1,0,1,29,48.0
9840,98,1,96,1,1,0,1,29,48.0
9900,98,0,96,0,1,0,1,29,48.0
9960,99,1,96,0,1,0,1,29,48.0
10020,100,1,97,1,1,0,1,29,48.0
10080,100,0,97,0,1,0,1,29,48.0
10140,100,0,98,1,1,0,1,29,48.0
10200,100,0,98,0,1,0,1,29,48.0
10260,100,0,99,1,1,0,1,29,48.0
10320,100,0,99,0,1,0,1,29,48.0
