CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
------------------------------------------------------------------------------------------------------
355	1	job-1	198	69	60	69	300	1	101	101	157	355	254	198	46	JOB_ST_COMPLETED (3004)
583	4	job-4	129	103	26	0	550	2	401	401	454	583	182	129	368	JOB_ST_FAILED (3005)
587	2	job-2	232	103	60	69	600	1	201	201	355	587	386	232	214	JOB_ST_COMPLETED (3004)
772	5	job-5	232	103	60	69	200	3	501	501	540	772	271	232	-71	JOB_ST_COMPLETED (3004)
819	3	job-3	232	103	60	69	900	1	301	301	587	819	518	232	382	JOB_ST_COMPLETED (3004)
865	6	job-6	232	103	60	69	200	4	601	601	633	865	264	232	-64	JOB_ST_COMPLETED (3004)
988	7	job-7	232	103	60	69	220	5	701	701	756	988	287	232	-67	JOB_ST_COMPLETED (3004)
1091	8	job-8	232	103	60	69	220	6	801	801	859	1091	290	232	-70	JOB_ST_COMPLETED (3004)
1220	9	job-9	232	103	60	69	320	5	901	901	988	1220	319	232	1	JOB_ST_COMPLETED (3004)
1265	10	job-10	232	103	60	69	320	7	1001	1001	1033	1265	264	232	56	JOB_ST_COMPLETED (3004)
1452	11	job-11	232	103	60	69	380	5	1101	1101	1220	1452	351	232	29	JOB_ST_COMPLETED (3004)
1497	12	job-12	232	103	60	69	380	7	1201	1201	1265	1497	296	232	84	JOB_ST_COMPLETED (3004)
1579	13	job-13	232	103	60	69	380	8	1301	1301	1347	1579	278	232	102	JOB_ST_COMPLETED (3004)
1664	14	job-14	232	103	60	69	220	9	1401	1401	1432	1664	263	232	-43	JOB_ST_COMPLETED (3004)
1792	15	job-15	232	103	60	69	220	10	1501	1501	1560	1792	291	232	-71	JOB_ST_COMPLETED (3004)
1862	16	job-16	198	69	60	69	320	9	1601	1601	1664	1862	261	198	59	JOB_ST_COMPLETED (3004)
1990	17	job-17	198	69	60	69	520	10	1701	1701	1792	1990	289	198	231	JOB_ST_COMPLETED (3004)
2060	18	job-18	198	69	60	69	580	9	1801	1801	1862	2060	259	198	321	JOB_ST_COMPLETED (3004)
2188	19	job-19	198	69	60	69	980	10	1901	1901	1990	2188	287	198	693	JOB_ST_COMPLETED (3004)
2258	20	job-20	198	69	60	69	980	9	2001	2001	2060	2258	257	198	723	JOB_ST_COMPLETED (3004)
2386	21	job-21	198	69	60	69	300	10	2101	2101	2188	2386	285	198	15	JOB_ST_COMPLETED (3004)
2490	22	job-22	232	103	60	69	600	9	2201	2201	2258	2490	289	232	311	JOB_ST_COMPLETED (3004)
2618	23	job-23	232	103	60	69	900	10	2301	2301	2386	2618	317	232	583	JOB_ST_COMPLETED (3004)
2722	24	job-24	232	103	60	69	550	9	2401	2401	2490	2722	321	232	229	JOB_ST_COMPLETED (3004)
2767	25	job-25	232	103	60	69	200	11	2501	2501	2535	2767	266	232	-66	JOB_ST_COMPLETED (3004)
2877	26	job-26	232	103	60	69	200	12	2601	2601	2645	2877	276	232	-76	JOB_ST_COMPLETED (3004)
2964	27	job-27	232	103	60	69	220	13	2701	2701	2732	2964	263	232	-43	JOB_ST_COMPLETED (3004)
3072	28	job-28	232	103	60	69	220	14	2801	2801	2840	3072	271	232	-51	JOB_ST_COMPLETED (3004)
3196	29	job-29	232	103	60	69	320	13	2901	2901	2964	3196	295	232	25	JOB_ST_COMPLETED (3004)
3304	30	job-30	232	103	60	69	320	14	3001	3001	3072	3304	303	232	17	JOB_ST_COMPLETED (3004)
3428	31	job-31	232	103	60	69	380	13	3101	3101	3196	3428	327	232	53	JOB_ST_COMPLETED (3004)
3536	32	job-32	232	103	60	69	380	14	3201	3201	3304	3536	335	232	45	JOB_ST_COMPLETED (3004)
3660	33	job-33	232	103	60	69	380	13	3301	3301	3428	3660	359	232	21	JOB_ST_COMPLETED (3004)
3679	34	job-34	232	103	60	69	220	15	3401	3401	3447	3679	278	232	-58	JOB_ST_COMPLETED (3004)
3714	35	job-35	160	103	57	0	220	16	3501	3501	3554	3714	213	160	7	JOB_ST_FAILED (3005)
3858	36	job-36	198	69	60	69	320	13	3601	3601	3660	3858	257	198	63	JOB_ST_COMPLETED (3004)
3912	37	job-37	198	69	60	69	520	16	3701	3701	3714	3912	211	198	309	JOB_ST_COMPLETED (3004)
4056	38	job-38	198	69	60	69	580	13	3801	3801	3858	4056	255	198	325	JOB_ST_COMPLETED (3004)
4110	39	job-39	198	69	60	69	980	16	3901	3901	3912	4110	209	198	771	JOB_ST_COMPLETED (3004)
4254	40	job-40	198	69	60	69	980	13	4001	4001	4056	4254	253	198	727	JOB_ST_COMPLETED (3004)
4308	41	job-41	198	69	60	69	300	16	4101	4101	4110	4308	207	198	93	JOB_ST_COMPLETED (3004)
4486	42	job-42	232	103	60	69	600	13	4201	4201	4254	4486	285	232	315	JOB_ST_COMPLETED (3004)
4540	43	job-43	232	103	60	69	900	16	4301	4301	4308	4540	239	232	661	JOB_ST_COMPLETED (3004)
4718	44	job-44	232	103	60	69	550	13	4401	4401	4486	4718	317	232	233	JOB_ST_COMPLETED (3004)
4780	45	job-45	232	103	60	69	200	17	4501	4501	4548	4780	279	232	-79	JOB_ST_COMPLETED (3004)
4892	46	job-46	232	103	60	69	200	18	4601	4601	4660	4892	291	232	-91	JOB_ST_COMPLETED (3004)
4966	47	job-47	232	103	60	69	220	19	4701	4701	4734	4966	265	232	-45	JOB_ST_COMPLETED (3004)
5070	48	job-48	232	103	60	69	220	20	4801	4801	4838	5070	269	232	-49	JOB_ST_COMPLETED (3004)
5096	49	job-49	130	103	27	0	320	19	4901	4901	4966	5096	195	130	125	JOB_ST_FAILED (3005)
5302	50	job-50	232	103	60	69	320	20	5001	5001	5070	5302	301	232	19	JOB_ST_COMPLETED (3004)
5370	51	job-51	232	103	60	69	380	21	5101	5101	5138	5370	269	232	111	JOB_ST_COMPLETED (3004)
5534	52	job-52	232	103	60	69	380	20	5201	5201	5302	5534	333	232	47	JOB_ST_COMPLETED (3004)
5602	53	job-53	232	103	60	69	380	21	5301	5301	5370	5602	301	232	79	JOB_ST_COMPLETED (3004)
5685	54	job-54	232	103	60	69	220	22	5401	5401	5453	5685	284	232	-64	JOB_ST_COMPLETED (3004)
5787	55	job-55	232	103	60	69	220	23	5501	5501	5555	5787	286	232	-66	JOB_ST_COMPLETED (3004)
5800	56	job-56	198	69	60	69	320	21	5601	5601	5602	5800	199	198	121	JOB_ST_COMPLETED (3004)
5985	57	job-57	198	69	60	69	520	23	5701	5701	5787	5985	284	198	236	JOB_ST_COMPLETED (3004)
6183	58	job-58	198	69	60	69	580	23	5801	5801	5985	6183	382	198	198	JOB_ST_COMPLETED (3004)
6356	61	job-61	198	69	60	69	300	24	6101	6101	6158	6356	255	198	45	JOB_ST_COMPLETED (3004)
6381	59	job-59	198	69	60	69	980	23	5901	5901	6183	6381	480	198	500	JOB_ST_COMPLETED (3004)
6496	62	job-62	140	103	37	0	600	24	6201	6201	6356	6496	295	140	305	JOB_ST_FAILED (3005)
6579	60	job-60	198	69	60	69	980	23	6001	6001	6381	6579	578	198	402	JOB_ST_COMPLETED (3004)
6728	64	job-64	232	103	60	69	550	24	6401	6401	6496	6728	327	232	223	JOB_ST_COMPLETED (3004)
6783	65	job-65	232	103	60	69	200	25	6501	6501	6551	6783	282	232	-82	JOB_ST_COMPLETED (3004)
6811	63	job-63	232	103	60	69	900	23	6301	6301	6579	6811	510	232	390	JOB_ST_COMPLETED (3004)
6865	66	job-66	232	103	60	69	200	26	6601	6601	6633	6865	264	232	-64	JOB_ST_COMPLETED (3004)
6968	67	job-67	232	103	60	69	220	27	6701	6701	6736	6968	267	232	-47	JOB_ST_COMPLETED (3004)
7069	68	job-68	232	103	60	69	220	28	6801	6801	6837	7069	268	232	-48	JOB_ST_COMPLETED (3004)
7200	69	job-69	232	103	60	69	320	27	6901	6901	6968	7200	299	232	21	JOB_ST_COMPLETED (3004)
7301	70	job-70	232	103	60	69	320	28	7001	7001	7069	7301	300	232	20	JOB_ST_COMPLETED (3004)
7432	71	job-71	232	103	60	69	380	27	7101	7101	7200	7432	331	232	49	JOB_ST_COMPLETED (3004)
7533	72	job-72	232	103	60	69	380	28	7201	7201	7301	7533	332	232	48	JOB_ST_COMPLETED (3004)
7664	73	job-73	232	103	60	69	380	27	7301	7301	7432	7664	363	232	17	JOB_ST_COMPLETED (3004)
