CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
2672	22	job-22	435	141	200	94	600	14	2201	2201	2237	2672	471	435	129	JOB_ST_COMPLETED (3004)
2698	19	job-19	760	180	400	180	980	15	1901	1901	1938	2698	797	760	183	JOB_ST_COMPLETED (3004)
2707	25	job-25	147	52	60	35	200	20	2501	2501	2560	2707	206	147	-6	JOB_ST_COMPLETED (3004)
2792	26	job-26	147	52	60	35	200	21	2601	2601	2645	2792	191	147	9	JOB_ST_COMPLETED (3004)
2808	20	job-20	760	180	400	180	980	16	2001	2001	2048	2808	807	760	173	JOB_ST_COMPLETED (3004)
2854	27	job-27	147	52	60	35	220	20	2701	2701	2707	2854	153	147	67	JOB_ST_COMPLETED (3004)
2870	24	job-24	435	141	200	94	550	19	2401	2401	2435	2870	469	435	81	JOB_ST_COMPLETED (3004)
3001	28	job-28	147	52	60	35	220	20	2801	2801	2854	3001	200	147	20	JOB_ST_COMPLETED (3004)
3170	29	job-29	229	77	100	52	320	22	2901	2901	2941	3170	269	229	51	JOB_ST_COMPLETED (3004)
3199	23	job-23	849	269	400	180	900	18	2301	2301	2350	3199	898	849	2	JOB_ST_COMPLETED (3004)
3261	30	job-30	229	77	100	52	320	23	3001	3001	3032	3261	260	229	60	JOB_ST_COMPLETED (3004)
3399	31	job-31	229	77	100	52	380	22	3101	3101	3170	3399	298	229	82	JOB_ST_COMPLETED (3004)
3490	32	job-32	229	77	100	52	380	23	3201	3201	3261	3490	289	229	91	JOB_ST_COMPLETED (3004)
3607	34	job-34	147	52	60	35	220	24	3401	3401	3460	3607	206	147	14	JOB_ST_COMPLETED (3004)
3628	33	job-33	229	77	100	52	380	22	3301	3301	3399	3628	327	229	53	JOB_ST_COMPLETED (3004)
3686	36	job-36	58	52	6	0	320	22	3601	3601	3628	3686	85	58	235	JOB_ST_FAILED (3005)
3705	35	job-35	147	52	60	35	220	25	3501	3501	3558	3705	204	147	16	JOB_ST_COMPLETED (3004)
4130	37	job-37	388	94	200	94	520	26	3701	3701	3742	4130	429	388	91	JOB_ST_COMPLETED (3004)
4227	38	job-38	388	94	200	94	580	27	3801	3801	3839	4227	426	388	154	JOB_ST_COMPLETED (3004)
4353	41	job-41	204	52	100	52	300	30	4101	4101	4149	4353	252	204	48	JOB_ST_COMPLETED (3004)
4662	42	job-42	435	141	200	94	600	27	4201	4201	4227	4662	461	435	139	JOB_ST_COMPLETED (3004)
4707	45	job-45	147	52	60	35	200	33	4501	4501	4560	4707	206	147	-6	JOB_ST_COMPLETED (3004)
4712	39	job-39	760	180	400	180	980	28	3901	3901	3952	4712	811	760	169	JOB_ST_COMPLETED (3004)
4787	46	job-46	147	52	60	35	200	34	4601	4601	4640	4787	186	147	14	JOB_ST_COMPLETED (3004)
4792	40	job-40	760	180	400	180	980	29	4001	4001	4032	4792	791	760	189	JOB_ST_COMPLETED (3004)
4809	43	job-43	457	269	188	0	900	31	4301	4301	4352	4809	508	457	392	JOB_ST_FAILED (3005)
4854	47	job-47	147	52	60	35	220	33	4701	4701	4707	4854	153	147	67	JOB_ST_COMPLETED (3004)
4867	44	job-44	435	141	200	94	550	32	4401	4401	4432	4867	466	435	84	JOB_ST_COMPLETED (3004)
5001	48	job-48	147	52	60	35	220	33	4801	4801	4854	5001	200	147	20	JOB_ST_COMPLETED (3004)
5172	49	job-49	229	77	100	52	320	35	4901	4901	4943	5172	271	229	49	JOB_ST_COMPLETED (3004)
5263	50	job-50	229	77	100	52	320	36	5001	5001	5034	5263	262	229	58	JOB_ST_COMPLETED (3004)
5401	51	job-51	229	77	100	52	380	35	5101	5101	5172	5401	300	229	80	JOB_ST_COMPLETED (3004)
5492	52	job-52	229	77	100	52	380	36	5201	5201	5263	5492	291	229	89	JOB_ST_COMPLETED (3004)
5587	54	job-54	147	52	60	35	220	37	5401	5401	5440	5587	186	147	34	JOB_ST_COMPLETED (3004)
5630	53	job-53	229	77	100	52	380	35	5301	5301	5401	5630	329	229	51	JOB_ST_COMPLETED (3004)
5698	55	job-55	147	52	60	35	220	38	5501	5501	5551	5698	197	147	23	JOB_ST_COMPLETED (3004)
5834	56	job-56	204	52	100	52	320	35	5601	5601	5630	5834	233	204	87	JOB_ST_COMPLETED (3004)
6143	57	job-57	388	94	200	94	520	39	5701	5701	5755	6143	442	388	78	JOB_ST_COMPLETED (3004)
6247	58	job-58	388	94	200	94	580	40	5801	5801	5859	6247	446	388	134	JOB_ST_COMPLETED (3004)
6340	61	job-61	204	52	100	52	300	43	6101	6101	6136	6340	239	204	61	JOB_ST_COMPLETED (3004)
6682	62	job-62	435	141	200	94	600	40	6201	6201	6247	6682	481	435	119	JOB_ST_COMPLETED (3004)
6695	59	job-59	760	180	400	180	980	41	5901	5901	5935	6695	794	760	186	JOB_ST_COMPLETED (3004)
6707	65	job-65	147	52	60	35	200	46	6501	6501	6560	6707	206	147	-6	JOB_ST_COMPLETED (3004)
6793	66	job-66	147	52	60	35	200	47	6601	6601	6646	6793	192	147	8	JOB_ST_COMPLETED (3004)
6799	60	job-60	760	180	400	180	980	42	6001	6001	6039	6799	798	760	182	JOB_ST_COMPLETED (3004)
6854	67	job-67	147	52	60	35	220	46	6701	6701	6707	6854	153	147	67	JOB_ST_COMPLETED (3004)
6874	64	job-64	435	141	200	94	550	45	6401	6401	6439	6874	473	435	77	JOB_ST_COMPLETED (3004)
7001	68	job-68	147	52	60	35	220	46	6801	6801	6854	7001	200	147	20	JOB_ST_COMPLETED (3004)
7162	69	job-69	229	77	100	52	320	48	6901	6901	6933	7162	261	229	59	JOB_ST_COMPLETED (3004)
7203	63	job-63	849	269	400	180	900	44	6301	6301	6354	7203	902	849	-2	JOB_ST_COMPLETED (3004)
7267	70	job-70	229	77	100	52	320	49	7001	7001	7038	7267	266	229	54	JOB_ST_COMPLETED (3004)
7391	71	job-71	229	77	100	52	380	48	7101	7101	7162	7391	290	229	90	JOB_ST_COMPLETED (3004)
7496	72	job-72	229	77	100	52	380	49	7201	7201	7267	7496	295	229	85	JOB_ST_COMPLETED (3004)
7561	73	job-73	170	77	93	0	380	48	7301	7301	7391	7561	260	170	120	JOB_ST_FAILED (3005)
7590	74	job-74	147	52	60	35	220	50	7401	7401	7443	7590	189	147	31	JOB_ST_COMPLETED (3004)
7698	75	job-75	147	52	60	35	220	51	7501	7501	7551	7698	197	147	23	JOB_ST_COMPLETED (3004)
7845	76	job-76	204	52	100	52	320	52	7601	7601	7641	7845	244	204	76	JOB_ST_COMPLETED (3004)
8143	77	job-77	388	94	200	94	520	53	7701	7701	7755	8143	442	388	78	JOB_ST_COMPLETED (3004)
8244	78	job-78	388	94	200	94	580	54	7801	7801	7856	8244	443	388	137	JOB_ST_COMPLETED (3004)
8335	81	job-81	204	52	100	52	300	57	8101	8101	8131	8335	234	204	66	JOB_ST_COMPLETED (3004)
8679	82	job-82	435	141	200	94	600	54	8201	8201	8244	8679	478	435	122	JOB_ST_COMPLETED (3004)
8685	85	job-85	147	52	60	35	200	60	8501	8501	8538	8685	184	147	16	JOB_ST_COMPLETED (3004)
8710	79	job-79	760	180	400	180	980	55	7901	7901	7950	8710	809	760	171	JOB_ST_COMPLETED (3004)
8798	80	job-80	760	180	400	180	980	56	8001	8001	8038	8798	797	760	183	JOB_ST_COMPLETED (3004)
8805	86	job-86	147	52	60	35	200	61	8601	8601	8658	8805	204	147	-4	JOB_ST_COMPLETED (3004)
8870	84	job-84	435	141	200	94	550	59	8401	8401	8435	8870	469	435	81	JOB_ST_COMPLETED (3004)
8881	87	job-87	147	52	60	35	220	62	8701	8701	8734	8881	180	147	40	JOB_ST_COMPLETED (3004)
8952	88	job-88	147	52	60	35	220	61	8801	8801	8805	8952	151	147	69	JOB_ST_COMPLETED (3004)
9179	89	job-89	229	77	100	52	320	63	8901	8901	8950	9179	278	229	42	JOB_ST_COMPLETED (3004)
9192	83	job-83	849	269	400	180	900	58	8301	8301	8343	9192	891	849	9	JOB_ST_COMPLETED (3004)
9272	90	job-90	229	77	100	52	320	64	9001	9001	9043	9272	271	229	49	JOB_ST_COMPLETED (3004)
9408	91	job-91	229	77	100	52	380	63	9101	9101	9179	9408	307	229	73	JOB_ST_COMPLETED (3004)
9501	92	job-92	229	77	100	52	380	64	9201	9201	9272	9501	300	229	80	JOB_ST_COMPLETED (3004)
9582	94	job-94	147	52	60	35	220	65	9401	9401	9435	9582	181	147	39	JOB_ST_COMPLETED (3004)
9637	93	job-93	229	77	100	52	380	63	9301	9301	9408	9637	336	229	44	JOB_ST_COMPLETED (3004)
9678	95	job-95	147	52	60	35	220	66	9501	9501	9531	9678	177	147	43	JOB_ST_COMPLETED (3004)
9731	96	job-96	94	52	42	0	320	63	9601	9601	9637	9731	130	94	190	JOB_ST_FAILED (3005)
10123	97	job-97	388	94	200	94	520	67	9701	9701	9735	10123	422	388	98	JOB_ST_COMPLETED (3004)
10223	98	job-98	388	94	200	94	580	68	9801	9801	9835	10223	422	388	158	JOB_ST_COMPLETED (3004)
10708	99	job-99	760	180	400	180	980	69	9901	9901	9948	10708	807	760	173	JOB_ST_COMPLETED (3004)
10813	100	job-100	760	180	400	180	980	70	10001	10001	10053	10813	812	760	168	JOB_ST_COMPLETED (3004)
