CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
------------------------------------------------------------------------------------------------------
339	1	job-1	204	52	100	52	300	1	101	101	135	339	238	204	62	JOB_ST_COMPLETED (3004)
692	2	job-2	435	141	200	94	600	2	201	201	257	692	491	435	109	JOB_ST_COMPLETED (3004)
697	5	job-5	147	52	60	35	200	5	501	501	550	697	196	147	4	JOB_ST_COMPLETED (3004)
792	6	job-6	147	52	60	35	200	6	601	601	645	792	191	147	9	JOB_ST_COMPLETED (3004)
826	7	job-7	66	52	14	0	220	7	701	701	760	826	125	66	95	JOB_ST_FAILED (3005)
875	4	job-4	435	141	200	94	550	4	401	401	440	875	474	435	76	JOB_ST_COMPLETED (3004)
987	8	job-8	147	52	60	35	220	8	801	801	840	987	186	147	34	JOB_ST_COMPLETED (3004)
1185	9	job-9	229	77	100	52	320	9	901	901	956	1185	284	229	36	JOB_ST_COMPLETED (3004)
1201	3	job-3	849	269	400	180	900	3	301	301	352	1201	900	849	0	JOB_ST_COMPLETED (3004)
1267	10	job-10	229	77	100	52	320	10	1001	1001	1038	1267	266	229	54	JOB_ST_COMPLETED (3004)
1414	11	job-11	229	77	100	52	380	9	1101	1101	1185	1414	313	229	67	JOB_ST_COMPLETED (3004)
1496	12	job-12	229	77	100	52	380	10	1201	1201	1267	1496	295	229	85	JOB_ST_COMPLETED (3004)
1584	14	job-14	147	52	60	35	220	11	1401	1401	1437	1584	183	147	37	JOB_ST_COMPLETED (3004)
1643	13	job-13	229	77	100	52	380	9	1301	1301	1414	1643	342	229	38	JOB_ST_COMPLETED (3004)
1707	15	job-15	147	52	60	35	220	12	1501	1501	1560	1707	206	147	14	JOB_ST_COMPLETED (3004)
1847	16	job-16	204	52	100	52	320	9	1601	1601	1643	1847	246	204	74	JOB_ST_COMPLETED (3004)
2141	17	job-17	388	94	200	94	520	13	1701	1701	1753	2141	440	388	80	JOB_ST_COMPLETED (3004)
2237	18	job-18	388	94	200	94	580	14	1801	1801	1849	2237	436	388	144	JOB_ST_COMPLETED (3004)
2348	21	job-21	204	52	100	52	300	17	2101	2101	2144	2348	247	204	53	JOB_ST_COMPLETED (3004)
