CLOCK,JOB_RECV(CUMM),JOB_RECV(UNIT),JOB_COMP(CUMM),JOB_COMP(UNIT),VM_RUN,VM_STUP,VM_ACT,VM_STOP,VM_COST($)
60,0,0,0,0,0,0,0,0,0
120,1,1,0,0,1,1,0,0,1.6
180,1,0,0,0,1,0,1,0,1.6
240,2,1,0,0,2,0,2,0,2.4
300,2,0,0,0,2,0,2,0,2.4
360,3,1,1,1,2,0,2,1,2.8
420,4,1,1,0,2,0,2,1,2.8
480,4,0,1,0,2,0,2,1,2.8
540,5,1,1,0,3,1,2,1,4.4
600,5,0,2,1,3,0,3,1,4.4
660,6,1,2,0,4,0,4,1,6.0
720,7,1,2,0,5,1,4,1,7.6
780,7,0,3,1,4,0,4,2,7.6
840,8,1,3,0,5,1,4,2,9.2
900,8,0,4,1,4,0,4,3,9.2
960,9,1,5,1,3,0,3,4,9.2
1020,10,1,7,2,3,1,2,5,10.8
1080,10,0,7,0,3,0,3,5,10.8
1140,11,1,8,1,3,1,2,6,12.4
1200,11,0,8,0,3,0,3,6,12.4
1260,12,1,9,1,3,0,3,7,14.0
1320,13,1,10,1,3,1,2,8,15.6
1380,13,0,11,1,2,0,2,9,15.6
1440,14,1,12,1,2,1,1,10,17.2
1500,14,0,12,0,2,0,2,10,17.2
1560,15,1,12,0,3,0,3,10,18.8
1620,16,1,13,1,3,1,2,11,20.4
1680,16,0,13,0,3,0,3,11,20.4
1740,17,1,14,1,3,1,2,12,21.2
1800,17,0,15,1,2,0,2,13,21.2
1860,18,1,16,1,2,0,2,14,22.0
1920,19,1,16,0,3,1,2,14,22.2
1980,19,0,16,0,3,0,3,14,22.2
2040,20,1,16,0,4,1,3,14,22.4
2100,20,0,17,1,3,0,3,15,22.4
2160,21,1,18,1,3,0,3,16,24.0
2220,22,1,18,0,4,1,3,16,24.8
2280,22,0,18,0,4,0,4,16,24.8
2340,23,1,18,0,5,0,5,16,25.2
2400,23,0,19,1,4,0,4,17,25.2
2460,24,1,19,0,5,0,5,17,26.0
2520,25,1,19,0,5,0,5,17,26.0
2580,25,0,19,0,5,0,5,17,26.0
2640,26,1,20,1,5,0,5,17,26.0
2700,26,0,20,0,5,0,5,17,26.0
2760,27,1,20,0,5,0,5,17,26.0
2820,28,1,22,2,5,1,4,18,27.6
2880,28,0,22,0,5,0,5,18,27.6
2940,29,1,23,1,5,0,5,19,29.2
3000,29,0,24,1,5,0,5,19,29.2
3060,30,1,25,1,4,0,4,20,29.2
3120,31,1,26,1,5,1,4,20,30.8
3180,31,0,28,2,3,0,3,22,30.8
3240,32,1,28,0,4,1,3,22,32.4
3300,32,0,28,0,4,0,4,22,32.4
3360,33,1,30,2,3,0,3,23,32.4
3420,34,1,31,1,3,1,2,24,34.0
3480,34,0,31,0,3,0,3,24,34.0
3540,35,1,32,1,3,0,3,25,35.6
3600,35,0,32,0,3,0,3,25,35.6
3660,36,1,33,1,3,0,3,26,37.2
3720,37,1,35,2,2,1,1,28,38.0
3780,37,0,35,0,2,0,2,28,38.0
3840,38,1,36,1,2,0,2,29,38.8
3900,38,0,36,0,2,0,2,29,38.8
3960,39,1,36,0,3,0,3,29,39.0
4020,40,1,36,0,4,1,3,29,39.2
4080,40,0,37,1,3,0,3,30,39.2
4140,41,1,37,0,4,1,3,30,40.8
4200,41,0,38,1,3,0,3,31,40.8
4260,42,1,38,0,4,0,4,31,41.6
4320,43,1,39,1,4,1,3,32,42.0
4380,43,0,39,0,4,0,4,32,42.0
4440,44,1,39,0,5,1,4,32,42.8
4500,44,0,39,0,5,0,5,32,42.8
4560,45,1,39,0,5,0,5,32,42.8
4620,46,1,40,1,5,0,5,32,42.8
4680,46,0,40,0,5,0,5,32,42.8
4740,47,1,40,0,5,0,5,32,42.8
4800,47,0,41,1,4,0,4,33,42.8
4860,48,1,42,1,5,0,5,33,44.4
4920,49,1,43,1,4,0,4,34,44.4
4980,49,0,44,1,4,0,4,34,44.4
5040,50,1,45,1,4,1,3,35,46.0
5100,50,0,46,1,4,0,4,35,46.0
5160,51,1,46,0,5,0,5,35,47.6
5220,52,1,47,1,5,1,4,36,49.2
5280,52,0,47,0,5,0,5,36,49.2
5340,53,1,50,3,3,0,3,38,49.2
5400,53,0,51,1,2,0,2,39,49.2
5460,54,1,51,0,3,0,3,39,50.8
5520,55,1,52,1,3,1,2,40,52.4
5580,55,0,52,0,3,0,3,40,52.4
5640,56,1,52,0,4,0,4,40,54.0
5700,56,0,54,2,2,0,2,42,54.0
5760,57,1,54,0,3,0,3,42,54.8
5820,58,1,55,1,3,1,2,43,55.6
5880,58,0,56,1,2,0,2,44,55.6
5940,59,1,56,0,3,1,2,44,55.8
6000,59,0,56,0,3,0,3,44,55.8
6060,60,1,57,1,3,0,3,45,56.0
6120,61,1,57,0,4,1,3,45,57.6
6180,61,0,58,1,3,0,3,46,57.6
6240,62,1,58,0,4,1,3,46,58.4
6300,62,0,58,0,4,0,4,46,58.4
6360,63,1,59,1,4,0,4,47,58.8
6420,64,1,59,0,5,1,4,47,59.6
6480,64,0,59,0,5,0,5,47,59.6
6540,65,1,59,0,5,0,5,47,59.6
6600,65,0,59,0,5,0,5,47,59.6
6660,66,1,60,1,5,0,5,47,59.6
6720,67,1,60,0,5,0,5,47,59.6
6780,67,0,60,0,5,0,5,47,59.6
6840,68,1,63,3,4,1,3,49,61.2
6900,68,0,64,1,3,0,3,50,61.2
6960,69,1,64,0,4,0,4,50,62.8
7020,70,1,65,1,4,0,4,50,62.8
7080,70,0,66,1,4,0,4,50,62.8
7140,71,1,66,0,5,0,5,50,64.4
7200,71,0,68,2,3,0,3,52,64.4
7260,72,1,68,0,4,1,3,52,66.0
7320,73,1,69,1,4,1,3,53,67.6
7380,73,0,71,2,2,0,2,55,67.6
7440,74,1,71,0,3,1,2,55,69.2
7500,74,0,72,1,2,0,2,56,69.2
7560,75,1,72,0,3,0,3,56,70.8
7620,76,1,73,1,3,1,2,57,72.4
7680,76,0,73,0,3,0,3,57,72.4
7740,77,1,74,1,3,1,2,58,73.2
7800,77,0,75,1,2,0,2,59,73.2
7860,78,1,76,1,2,0,2,60,74.0
7920,79,1,76,0,3,1,2,60,74.2
7980,79,0,76,0,3,0,3,60,74.2
8040,80,1,76,0,4,0,4,60,74.4
8100,80,0,77,1,3,0,3,61,74.4
8160,81,1,78,1,3,0,3,62,76.0
8220,82,1,78,0,4,1,3,62,76.8
8280,82,0,78,0,4,0,4,62,76.8
8340,83,1,79,1,4,1,3,63,77.2
8400,83,0,79,0,4,0,4,63,77.2
8460,84,1,79,0,5,0,5,63,78.0
8520,85,1,80,1,5,1,4,64,79.6
8580,85,0,80,0,5,0,5,64,79.6
8640,86,1,80,0,5,0,5,64,79.6
8700,86,0,80,0,5,0,5,64,79.6
8760,87,1,80,0,5,0,5,64,79.6
8820,88,1,83,3,5,1,4,65,81.2
8880,88,0,83,0,5,0,5,65,81.2
8940,89,1,84,1,5,0,5,66,82.8
9000,89,0,84,0,5,0,5,66,82.8
9060,90,1,86,2,4,0,4,67,82.8
9120,91,1,87,1,4,1,3,68,84.4
9180,91,0,89,2,2,0,2,70,84.4
9240,92,1,90,1,2,1,1,71,86.0
9300,92,0,90,0,2,0,2,71,86.0
9360,93,1,90,0,3,0,3,71,87.6
9420,94,1,91,1,3,1,2,72,89.2
9480,94,0,91,0,3,0,3,72,89.2
9540,95,1,92,1,3,1,2,73,90.8
9600,95,0,93,1,2,0,2,74,90.8
9660,96,1,93,0,3,1,2,74,92.4
9720,97,1,94,1,3,1,2,75,93.2
9780,97,0,94,0,3,0,3,75,93.2
9840,98,1,95,1,3,1,2,76,94.0
9900,98,0,96,1,2,0,2,77,94.0
9960,99,1,96,0,3,0,3,77,94.2
10020,100,1,96,0,4,1,3,77,94.4
10080,100,0,97,1,3,0,3,78,94.4
10140,100,0,97,0,3,0,3,78,94.4
10200,100,0,98,1,2,0,2,79,94.4
10260,100,0,98,0,2,0,2,79,94.4
10320,100,0,98,0,2,0,2,79,94.4
10380,100,0,98,0,2,0,2,79,94.4
10440,100,0,98,0,2,0,2,79,94.4
10500,100,0,98,0,2,0,2,79,94.4
10560,100,0,98,0,2,0,2,79,94.4
10620,100,0,98,0,2,0,2,79,94.4
10680,100,0,98,0,2,0,2,79,94.4
10740,100,0,98,0,2,0,2,79,94.4
10800,100,0,99,1,2,0,2,79,94.4
10860,100,0,99,0,1,0,1,80,94.4
