VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
1,233,1.6,VM-1,m3.xlarge,VM_ST_TERMINATE (3103),101,135,334,34,1,198,0.850,0.146,0.004,333,0,False,None, -1
2,751,0.8,VM-2,m3.large,VM_ST_TERMINATE (3103),201,237,952,36,2,714,0.951,0.048,0.001,951,0,False,None, -1
3,705,0.4,VM-3,m3.medium,VM_ST_TERMINATE (3103),301,335,1006,34,1,670,0.950,0.048,0.001,1005,0,False,None, -1
4,278,1.6,VM-4,m3.xlarge,VM_ST_TERMINATE (3103),501,546,779,45,1,232,0.835,0.162,0.004,778,0,False,None, -1
5,283,1.6,VM-5,m3.xlarge,VM_ST_TERMINATE (3103),601,651,884,50,1,232,0.820,0.177,0.004,883,0,False,None, -1
6,509,1.6,VM-6,m3.xlarge,VM_ST_TERMINATE (3103),701,745,1210,44,2,464,0.912,0.086,0.002,1209,0,False,None, -1
7,291,1.6,VM-7,m3.xlarge,VM_ST_TERMINATE (3103),801,859,1092,58,1,232,0.797,0.199,0.003,1091,0,False,None, -1
8,269,1.6,VM-8,m3.xlarge,VM_ST_TERMINATE (3103),1001,1037,1270,36,1,232,0.862,0.134,0.004,1269,0,False,None, -1
9,276,1.6,VM-9,m3.xlarge,VM_ST_TERMINATE (3103),1101,1144,1377,43,1,232,0.841,0.156,0.004,1376,0,False,None, -1
10,215,1.6,VM-10,m3.xlarge,VM_ST_TERMINATE (3103),1201,1253,1416,52,1,162,0.753,0.242,0.005,1415,0,False,None, -1
11,273,1.6,VM-11,m3.xlarge,VM_ST_TERMINATE (3103),1301,1341,1574,40,1,232,0.850,0.147,0.004,1573,0,False,None, -1
12,283,1.6,VM-12,m3.xlarge,VM_ST_TERMINATE (3103),1401,1451,1684,50,1,232,0.820,0.177,0.004,1683,0,False,None, -1
13,288,1.6,VM-13,m3.xlarge,VM_ST_TERMINATE (3103),1501,1556,1789,55,1,232,0.806,0.191,0.003,1788,0,False,None, -1
14,246,1.6,VM-14,m3.xlarge,VM_ST_TERMINATE (3103),1601,1648,1847,47,1,198,0.805,0.191,0.004,1846,0,False,None, -1
15,346,0.8,VM-15,m3.large,VM_ST_TERMINATE (3103),1701,1740,2047,39,1,306,0.884,0.113,0.003,2046,0,False,None, -1
16,357,0.8,VM-16,m3.large,VM_ST_TERMINATE (3103),1801,1851,2158,50,1,306,0.857,0.140,0.003,2157,0,False,None, -1
17,880,0.2,VM-17,t2.small,VM_ST_TERMINATE (3103),1901,1932,2781,31,1,848,0.964,0.035,0.001,2780,0,False,None, -1
18,888,0.2,VM-18,t2.small,VM_ST_TERMINATE (3103),2001,2040,2889,39,1,848,0.955,0.044,0.001,2888,0,False,None, -1
19,254,1.6,VM-19,m3.xlarge,VM_ST_TERMINATE (3103),2101,2156,2355,55,1,198,0.780,0.217,0.004,2354,0,False,None, -1
20,1473,0.8,VM-20,m3.large,VM_ST_TERMINATE (3103),2201,2245,3674,44,4,1428,0.969,0.030,0.001,3673,0,False,None, -1
21,706,0.4,VM-21,m3.medium,VM_ST_TERMINATE (3103),2301,2336,3007,35,1,670,0.949,0.050,0.001,3006,0,False,None, -1
22,768,0.8,VM-22,m3.large,VM_ST_TERMINATE (3103),2401,2454,3169,53,2,714,0.930,0.069,0.001,3168,0,False,None, -1
23,512,1.6,VM-23,m3.xlarge,VM_ST_TERMINATE (3103),2801,2848,3313,47,2,464,0.906,0.092,0.002,3312,0,False,None, -1
24,271,1.6,VM-24,m3.xlarge,VM_ST_TERMINATE (3103),2901,2939,3172,38,1,232,0.856,0.140,0.004,3171,0,False,None, -1
25,286,1.6,VM-25,m3.xlarge,VM_ST_TERMINATE (3103),3101,3154,3387,53,1,232,0.811,0.185,0.003,3386,0,False,None, -1
26,288,1.6,VM-26,m3.xlarge,VM_ST_TERMINATE (3103),3201,3256,3489,55,1,232,0.806,0.191,0.003,3488,0,False,None, -1
27,274,1.6,VM-27,m3.xlarge,VM_ST_TERMINATE (3103),3401,3442,3675,41,1,232,0.847,0.150,0.004,3674,0,False,None, -1
28,148,1.6,VM-28,m3.xlarge,VM_ST_TERMINATE (3103),3501,3539,3649,38,1,109,0.736,0.257,0.007,3648,0,False,None, -1
29,231,1.6,VM-29,m3.xlarge,VM_ST_TERMINATE (3103),3601,3633,3832,32,1,198,0.857,0.139,0.004,3831,0,False,None, -1
30,340,0.8,VM-30,m3.large,VM_ST_TERMINATE (3103),3701,3734,4041,33,1,306,0.900,0.097,0.003,4040,0,False,None, -1
31,345,0.8,VM-31,m3.large,VM_ST_TERMINATE (3103),3801,3839,4146,38,1,306,0.887,0.110,0.003,4145,0,False,None, -1
32,889,0.2,VM-32,t2.small,VM_ST_TERMINATE (3103),3901,3941,4790,40,1,848,0.954,0.045,0.001,4789,0,False,None, -1
33,909,0.2,VM-33,t2.small,VM_ST_TERMINATE (3103),4001,4061,4910,60,1,848,0.933,0.066,0.001,4909,0,False,None, -1
34,161,1.6,VM-34,m3.xlarge,VM_ST_TERMINATE (3103),4101,4143,4262,42,1,118,0.733,0.261,0.006,4261,0,False,None, -1
35,1479,0.8,VM-35,m3.large,VM_ST_TERMINATE (3103),4201,4251,5680,50,4,1428,0.966,0.034,0.001,5679,0,False,None, -1
36,728,0.4,VM-36,m3.medium,VM_ST_TERMINATE (3103),4301,4358,5029,57,1,670,0.920,0.078,0.001,5028,0,False,None, -1
37,774,0.8,VM-37,m3.large,VM_ST_TERMINATE (3103),4401,4460,5175,59,2,714,0.922,0.076,0.001,5174,0,False,None, -1
38,517,1.6,VM-38,m3.xlarge,VM_ST_TERMINATE (3103),4801,4853,5318,52,2,464,0.897,0.101,0.002,5317,0,False,None, -1
39,291,1.6,VM-39,m3.xlarge,VM_ST_TERMINATE (3103),5001,5059,5292,58,1,232,0.797,0.199,0.003,5291,0,False,None, -1
40,278,1.6,VM-40,m3.xlarge,VM_ST_TERMINATE (3103),5101,5146,5379,45,1,232,0.835,0.162,0.004,5378,0,False,None, -1
41,274,1.6,VM-41,m3.xlarge,VM_ST_TERMINATE (3103),5201,5242,5475,41,1,232,0.847,0.150,0.004,5474,0,False,None, -1
42,269,1.6,VM-42,m3.xlarge,VM_ST_TERMINATE (3103),5401,5437,5670,36,1,232,0.862,0.134,0.004,5669,0,False,None, -1
43,273,1.6,VM-43,m3.xlarge,VM_ST_TERMINATE (3103),5501,5541,5774,40,1,232,0.850,0.147,0.004,5773,0,False,None, -1
44,237,1.6,VM-44,m3.xlarge,VM_ST_TERMINATE (3103),5601,5639,5838,38,1,198,0.835,0.160,0.004,5837,0,False,None, -1
45,346,0.8,VM-45,m3.large,VM_ST_TERMINATE (3103),5701,5740,6047,39,1,306,0.884,0.113,0.003,6046,0,False,None, -1
46,341,0.8,VM-46,m3.large,VM_ST_TERMINATE (3103),5801,5835,6142,34,1,306,0.897,0.100,0.003,6141,0,False,None, -1
47,904,0.2,VM-47,t2.small,VM_ST_TERMINATE (3103),5901,5956,6805,55,1,848,0.938,0.061,0.001,6804,0,False,None, -1
48,890,0.2,VM-48,t2.small,VM_ST_TERMINATE (3103),6001,6042,6891,41,1,848,0.953,0.046,0.001,6890,0,False,None, -1
49,241,1.6,VM-49,m3.xlarge,VM_ST_TERMINATE (3103),6101,6143,6342,42,1,198,0.822,0.174,0.004,6341,0,False,None, -1
50,1130,0.8,VM-50,m3.large,VM_ST_TERMINATE (3103),6201,6259,7331,58,3,1071,0.948,0.051,0.001,7330,0,False,None, -1
51,481,0.4,VM-51,m3.medium,VM_ST_TERMINATE (3103),6301,6344,6782,43,1,437,0.909,0.089,0.002,6781,0,False,None, -1
