VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
52,771,0.8,VM-52,m3.large,VM_ST_TERMINATE (3103),6401,6457,7172,56,2,714,0.926,0.073,0.001,7171,0,False,None, -1
53,507,1.6,VM-53,m3.xlarge,VM_ST_TERMINATE (3103),6801,6843,7308,42,2,464,0.915,0.083,0.002,7307,0,False,None, -1
54,270,1.6,VM-54,m3.xlarge,VM_ST_TERMINATE (3103),6901,6938,7171,37,1,232,0.859,0.137,0.004,7170,0,False,None, -1
55,266,1.6,VM-55,m3.xlarge,VM_ST_TERMINATE (3103),7101,7134,7367,33,1,232,0.872,0.124,0.004,7366,0,False,None, -1
56,293,1.6,VM-56,m3.xlarge,VM_ST_TERMINATE (3103),7201,7261,7494,60,1,232,0.792,0.205,0.003,7493,0,False,None, -1
57,286,1.6,VM-57,m3.xlarge,VM_ST_TERMINATE (3103),7301,7354,7587,53,1,232,0.811,0.185,0.003,7586,0,False,None, -1
58,288,1.6,VM-58,m3.xlarge,VM_ST_TERMINATE (3103),7401,7456,7689,55,1,232,0.806,0.191,0.003,7688,0,False,None, -1
59,286,1.6,VM-59,m3.xlarge,VM_ST_TERMINATE (3103),7501,7554,7787,53,1,232,0.811,0.185,0.003,7786,0,False,None, -1
60,235,1.6,VM-60,m3.xlarge,VM_ST_TERMINATE (3103),7601,7637,7836,36,1,198,0.843,0.153,0.004,7835,0,False,None, -1
61,366,0.8,VM-61,m3.large,VM_ST_TERMINATE (3103),7701,7760,8067,59,1,306,0.836,0.161,0.003,8066,0,False,None, -1
62,342,0.8,VM-62,m3.large,VM_ST_TERMINATE (3103),7801,7836,8143,35,1,306,0.895,0.102,0.003,8142,0,False,None, -1
63,884,0.2,VM-63,t2.small,VM_ST_TERMINATE (3103),7901,7936,8785,35,1,848,0.959,0.040,0.001,8784,0,False,None, -1
64,887,0.2,VM-64,t2.small,VM_ST_TERMINATE (3103),8001,8039,8888,38,1,848,0.956,0.043,0.001,8887,0,False,None, -1
65,234,1.6,VM-65,m3.xlarge,VM_ST_TERMINATE (3103),8101,8136,8335,35,1,198,0.846,0.150,0.004,8334,0,False,None, -1
66,270,0.8,VM-66,m3.large,VM_ST_TERMINATE (3103),8201,8258,8471,57,1,212,0.785,0.211,0.004,8470,0,False,None, -1
67,723,0.4,VM-67,m3.medium,VM_ST_TERMINATE (3103),8301,8353,9024,52,1,670,0.927,0.072,0.001,9023,0,False,None, -1
68,772,0.8,VM-68,m3.large,VM_ST_TERMINATE (3103),8401,8458,9173,57,2,714,0.925,0.074,0.001,9172,0,False,None, -1
69,733,1.6,VM-69,m3.xlarge,VM_ST_TERMINATE (3103),8501,8537,9234,36,3,696,0.950,0.049,0.001,9233,0,False,None, -1
70,282,1.6,VM-70,m3.xlarge,VM_ST_TERMINATE (3103),8801,8850,9083,49,1,232,0.823,0.174,0.004,9082,0,False,None, -1
71,267,1.6,VM-71,m3.xlarge,VM_ST_TERMINATE (3103),8901,8935,9168,34,1,232,0.869,0.127,0.004,9167,0,False,None, -1
72,280,1.6,VM-72,m3.xlarge,VM_ST_TERMINATE (3103),9101,9148,9381,47,1,232,0.829,0.168,0.004,9380,0,False,None, -1
73,289,1.6,VM-73,m3.xlarge,VM_ST_TERMINATE (3103),9201,9257,9490,56,1,232,0.803,0.194,0.003,9489,0,False,None, -1
74,282,1.6,VM-74,m3.xlarge,VM_ST_TERMINATE (3103),9301,9350,9583,49,1,232,0.823,0.174,0.004,9582,0,False,None, -1
75,272,1.6,VM-75,m3.xlarge,VM_ST_TERMINATE (3103),9401,9440,9673,39,1,232,0.853,0.143,0.004,9672,0,False,None, -1
76,291,1.6,VM-76,m3.xlarge,VM_ST_TERMINATE (3103),9501,9559,9792,58,1,232,0.797,0.199,0.003,9791,0,False,None, -1
77,258,1.6,VM-77,m3.xlarge,VM_ST_TERMINATE (3103),9601,9660,9859,59,1,198,0.767,0.229,0.004,9858,0,False,None, -1
78,351,0.8,VM-78,m3.large,VM_ST_TERMINATE (3103),9701,9745,10052,44,1,306,0.872,0.125,0.003,10051,0,False,None, -1
79,365,0.8,VM-79,m3.large,VM_ST_TERMINATE (3103),9801,9859,10166,58,1,306,0.838,0.159,0.003,10165,0,False,None, -1
80,899,0.2,VM-80,t2.small,VM_ST_TERMINATE (3103),9901,9951,10800,50,1,848,0.943,0.056,0.001,10799,0,False,None, -1
81,888,0.2,VM-81,t2.small,VM_ST_TERMINATE (3103),10001,10040,10889,39,1,848,0.955,0.044,0.001,10888,0,False,None, -1
