CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
360,1,1,524288,1.35,0,0,1048576,0.0,0.0,0.01,0.01
420,1,1,524288,4.35,0,0,1048576,0.0,0.0,0.01,0.01
480,1,1,524288,7.35,0,0,1048576,0.0,0.0,0.01,0.01
540,1,2,524288,10.35,0,0,1048576,0.0,0.0,0.01,0.01
600,1,2,1048576,13.65,524288,0,1572864,0.01,0.0,0.015,0.025
660,1,2,1048576,19.65,524288,0,1572864,0.01,0.0,0.015,0.025
720,1,3,1048576,25.65,524288,0,1572864,0.01,0.0,0.015,0.025
780,1,3,1572864,31.75,1048576,0,2097152,0.02,0.0,0.02,0.04
840,1,5,1572864,40.75,1048576,0,2097152,0.02,0.0,0.02,0.04
900,1,6,2097152,50.6,1572864,0,2621440,0.03,0.0,0.025,0.055
960,1,7,2621440,63.05,2097152,0,3145728,0.04,0.0,0.03,0.07
1020,1,7,3670016,80.95,3145728,0,4194304,0.06,0.0,0.04,0.1
1080,1,8,3670016,101.95,3145728,0,4194304,0.06,0.0,0.04,0.1
1140,1,9,4194304,125.4,3670016,0,4718592,0.07,0.0,0.045,0.115
1200,1,10,4194304,149.4,3670016,0,4718592,0.07,0.0,0.045,0.115
1260,1,10,4718592,175.95,4194304,0,5242880,0.08,0.0,0.05,0.13
1320,1,11,5242880,205.5,4718592,0,5767168,0.09,0.0,0.055,0.145
1380,1,11,5767168,235.7,5242880,0,6291456,0.1,0.0,0.06,0.16
1440,1,11,5767168,268.7,5767168,0,6291456,0.11,0.0,0.06,0.17
1500,1,11,5767168,301.7,5767168,0,6291456,0.11,0.0,0.06,0.17
1560,1,12,5767168,334.7,5767168,0,6291456,0.11,0.0,0.06,0.17
1620,1,13,6291456,370.05,6291456,0,6815744,0.12,0.0,0.065,0.185
1680,1,13,6291456,406.05,6291456,0,6815744,0.12,0.0,0.065,0.185
1740,1,14,6815744,444.9,6815744,0,7340032,0.13,0.0,0.07,0.2
1800,1,15,7340032,484.5,7340032,0,7864320,0.14,0.0,0.075,0.215
1860,1,15,7864320,527.2,7340032,0,8912896,0.14,0.0,0.085,0.225
1920,1,15,7864320,572.2,7340032,0,8912896,0.14,0.0,0.085,0.225
1980,1,16,7864320,617.2,7340032,0,8912896,0.14,0.0,0.085,0.225
2040,1,16,7864320,662.2,7340032,0,8912896,0.14,0.0,0.085,0.225
2100,1,17,8388608,709.9,7340032,0,9961472,0.14,0.0,0.095,0.235
2160,1,17,8912896,758.05,7340032,0,11010048,0.14,0.0,0.105,0.245
2220,1,17,8912896,809.05,7340032,0,11010048,0.14,0.0,0.105,0.245
2280,1,17,8912896,860.05,7340032,0,11010048,0.14,0.0,0.105,0.245
2340,1,18,8912896,911.05,7340032,0,11010048,0.14,0.0,0.105,0.245
2400,1,18,9437184,964.35,7340032,0,12058624,0.14,0.0,0.115,0.255
2460,1,18,9437184,1018.35,7340032,0,12058624,0.14,0.0,0.115,0.255
