ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
22,job-22,357,154,100,103,600,20,2201,2201,2245,2602,401,357,199,0.07933,JOB_ST_COMPLETED (3004)
23,job-23,670,282,200,188,900,21,2301,2301,2336,3006,705,670,195,0.07444,JOB_ST_COMPLETED (3004)
24,job-24,357,154,100,103,550,22,2401,2401,2454,2811,410,357,140,0.07933,JOB_ST_COMPLETED (3004)
25,job-25,357,154,100,103,200,20,2501,2501,2602,2959,458,357,-258,0.07933,JOB_ST_COMPLETED (3004)
26,job-26,357,154,100,103,200,22,2601,2601,2811,3168,567,357,-367,0.07933,JOB_ST_COMPLETED (3004)
27,job-27,357,154,100,103,220,20,2701,2701,2959,3316,615,357,-395,0.07933,JOB_ST_COMPLETED (3004)
28,job-28,232,103,60,69,220,23,2801,2801,2848,3080,279,232,-59,0.10311,JOB_ST_COMPLETED (3004)
29,job-29,232,103,60,69,320,24,2901,2901,2939,3171,270,232,50,0.10311,JOB_ST_COMPLETED (3004)
30,job-30,232,103,60,69,320,23,3001,3001,3080,3312,311,232,9,0.10311,JOB_ST_COMPLETED (3004)
31,job-31,232,103,60,69,380,25,3101,3101,3154,3386,285,232,95,0.10311,JOB_ST_COMPLETED (3004)
32,job-32,232,103,60,69,380,26,3201,3201,3256,3488,287,232,93,0.10311,JOB_ST_COMPLETED (3004)
33,job-33,357,154,100,103,380,20,3301,3301,3316,3673,372,357,8,0.07933,JOB_ST_COMPLETED (3004)
34,job-34,232,103,60,69,220,27,3401,3401,3442,3674,273,232,-53,0.10311,JOB_ST_COMPLETED (3004)
35,job-35,109,103,6,0,220,28,3501,3501,3539,3648,147,109,73,0.04844,JOB_ST_FAILED (3005)
36,job-36,198,69,60,69,320,29,3601,3601,3633,3831,230,198,90,0.088,JOB_ST_COMPLETED (3004)
37,job-37,306,103,100,103,520,30,3701,3701,3734,4040,339,306,181,0.068,JOB_ST_COMPLETED (3004)
38,job-38,306,103,100,103,580,31,3801,3801,3839,4145,344,306,236,0.068,JOB_ST_COMPLETED (3004)
39,job-39,848,274,300,274,980,32,3901,3901,3941,4789,888,848,92,0.04711,JOB_ST_COMPLETED (3004)
40,job-40,848,274,300,274,980,33,4001,4001,4061,4909,908,848,72,0.04711,JOB_ST_COMPLETED (3004)
41,job-41,118,69,49,0,300,34,4101,4101,4143,4261,160,118,140,0.05244,JOB_ST_FAILED (3005)
42,job-42,357,154,100,103,600,35,4201,4201,4251,4608,407,357,193,0.07933,JOB_ST_COMPLETED (3004)
43,job-43,670,282,200,188,900,36,4301,4301,4358,5028,727,670,173,0.07444,JOB_ST_COMPLETED (3004)
44,job-44,357,154,100,103,550,37,4401,4401,4460,4817,416,357,134,0.07933,JOB_ST_COMPLETED (3004)
45,job-45,357,154,100,103,200,35,4501,4501,4608,4965,464,357,-264,0.07933,JOB_ST_COMPLETED (3004)
46,job-46,357,154,100,103,200,37,4601,4601,4817,5174,573,357,-373,0.07933,JOB_ST_COMPLETED (3004)
47,job-47,357,154,100,103,220,35,4701,4701,4965,5322,621,357,-401,0.07933,JOB_ST_COMPLETED (3004)
48,job-48,232,103,60,69,220,38,4801,4801,4853,5085,284,232,-64,0.10311,JOB_ST_COMPLETED (3004)
49,job-49,232,103,60,69,320,38,4901,4901,5085,5317,416,232,-96,0.10311,JOB_ST_COMPLETED (3004)
50,job-50,232,103,60,69,320,39,5001,5001,5059,5291,290,232,30,0.10311,JOB_ST_COMPLETED (3004)
51,job-51,232,103,60,69,380,40,5101,5101,5146,5378,277,232,103,0.10311,JOB_ST_COMPLETED (3004)
52,job-52,232,103,60,69,380,41,5201,5201,5242,5474,273,232,107,0.10311,JOB_ST_COMPLETED (3004)
53,job-53,357,154,100,103,380,35,5301,5301,5322,5679,378,357,2,0.07933,JOB_ST_COMPLETED (3004)
54,job-54,232,103,60,69,220,42,5401,5401,5437,5669,268,232,-48,0.10311,JOB_ST_COMPLETED (3004)
55,job-55,232,103,60,69,220,43,5501,5501,5541,5773,272,232,-52,0.10311,JOB_ST_COMPLETED (3004)
56,job-56,198,69,60,69,320,44,5601,5601,5639,5837,236,198,84,0.088,JOB_ST_COMPLETED (3004)
57,job-57,306,103,100,103,520,45,5701,5701,5740,6046,345,306,175,0.068,JOB_ST_COMPLETED (3004)
58,job-58,306,103,100,103,580,46,5801,5801,5835,6141,340,306,240,0.068,JOB_ST_COMPLETED (3004)
59,job-59,848,274,300,274,980,47,5901,5901,5956,6804,903,848,77,0.04711,JOB_ST_COMPLETED (3004)
60,job-60,848,274,300,274,980,48,6001,6001,6042,6890,889,848,91,0.04711,JOB_ST_COMPLETED (3004)
61,job-61,198,69,60,69,300,49,6101,6101,6143,6341,240,198,60,0.088,JOB_ST_COMPLETED (3004)
62,job-62,357,154,100,103,600,50,6201,6201,6259,6616,415,357,185,0.07933,JOB_ST_COMPLETED (3004)
63,job-63,437,282,155,0,900,51,6301,6301,6344,6781,480,437,420,0.04856,JOB_ST_FAILED (3005)
64,job-64,357,154,100,103,550,52,6401,6401,6457,6814,413,357,137,0.07933,JOB_ST_COMPLETED (3004)
65,job-65,357,154,100,103,200,50,6501,6501,6616,6973,472,357,-272,0.07933,JOB_ST_COMPLETED (3004)
66,job-66,357,154,100,103,200,52,6601,6601,6814,7171,570,357,-370,0.07933,JOB_ST_COMPLETED (3004)
67,job-67,357,154,100,103,220,50,6701,6701,6973,7330,629,357,-409,0.07933,JOB_ST_COMPLETED (3004)
68,job-68,232,103,60,69,220,53,6801,6801,6843,7075,274,232,-54,0.10311,JOB_ST_COMPLETED (3004)
69,job-69,232,103,60,69,320,54,6901,6901,6938,7170,269,232,51,0.10311,JOB_ST_COMPLETED (3004)
70,job-70,232,103,60,69,320,53,7001,7001,7075,7307,306,232,14,0.10311,JOB_ST_COMPLETED (3004)
71,job-71,232,103,60,69,380,55,7101,7101,7134,7366,265,232,115,0.10311,JOB_ST_COMPLETED (3004)
72,job-72,232,103,60,69,380,56,7201,7201,7261,7493,292,232,88,0.10311,JOB_ST_COMPLETED (3004)
73,job-73,232,103,60,69,380,57,7301,7301,7354,7586,285,232,95,0.10311,JOB_ST_COMPLETED (3004)
74,job-74,232,103,60,69,220,58,7401,7401,7456,7688,287,232,-67,0.10311,JOB_ST_COMPLETED (3004)
75,job-75,232,103,60,69,220,59,7501,7501,7554,7786,285,232,-65,0.10311,JOB_ST_COMPLETED (3004)
76,job-76,198,69,60,69,320,60,7601,7601,7637,7835,234,198,86,0.088,JOB_ST_COMPLETED (3004)
77,job-77,306,103,100,103,520,61,7701,7701,7760,8066,365,306,155,0.068,JOB_ST_COMPLETED (3004)
78,job-78,306,103,100,103,580,62,7801,7801,7836,8142,341,306,239,0.068,JOB_ST_COMPLETED (3004)
79,job-79,848,274,300,274,980,63,7901,7901,7936,8784,883,848,97,0.04711,JOB_ST_COMPLETED (3004)
80,job-80,848,274,300,274,980,64,8001,8001,8039,8887,886,848,94,0.04711,JOB_ST_COMPLETED (3004)
81,job-81,198,69,60,69,300,65,8101,8101,8136,8334,233,198,67,0.088,JOB_ST_COMPLETED (3004)
82,job-82,212,154,58,0,600,66,8201,8201,8258,8470,269,212,331,0.04711,JOB_ST_FAILED (3005)
83,job-83,670,282,200,188,900,67,8301,8301,8353,9023,722,670,178,0.07444,JOB_ST_COMPLETED (3004)
84,job-84,357,154,100,103,550,68,8401,8401,8458,8815,414,357,136,0.07933,JOB_ST_COMPLETED (3004)
85,job-85,232,103,60,69,200,69,8501,8501,8537,8769,268,232,-68,0.10311,JOB_ST_COMPLETED (3004)
86,job-86,232,103,60,69,200,69,8601,8601,8769,9001,400,232,-200,0.10311,JOB_ST_COMPLETED (3004)
87,job-87,357,154,100,103,220,68,8701,8701,8815,9172,471,357,-251,0.07933,JOB_ST_COMPLETED (3004)
88,job-88,232,103,60,69,220,70,8801,8801,8850,9082,281,232,-61,0.10311,JOB_ST_COMPLETED (3004)
89,job-89,232,103,60,69,320,71,8901,8901,8935,9167,266,232,54,0.10311,JOB_ST_COMPLETED (3004)
90,job-90,232,103,60,69,320,69,9001,9001,9001,9233,232,232,88,0.10311,JOB_ST_COMPLETED (3004)
91,job-91,232,103,60,69,380,72,9101,9101,9148,9380,279,232,101,0.10311,JOB_ST_COMPLETED (3004)
92,job-92,232,103,60,69,380,73,9201,9201,9257,9489,288,232,92,0.10311,JOB_ST_COMPLETED (3004)
93,job-93,232,103,60,69,380,74,9301,9301,9350,9582,281,232,99,0.10311,JOB_ST_COMPLETED (3004)
94,job-94,232,103,60,69,220,75,9401,9401,9440,9672,271,232,-51,0.10311,JOB_ST_COMPLETED (3004)
95,job-95,232,103,60,69,220,76,9501,9501,9559,9791,290,232,-70,0.10311,JOB_ST_COMPLETED (3004)
96,job-96,198,69,60,69,320,77,9601,9601,9660,9858,257,198,63,0.088,JOB_ST_COMPLETED (3004)
97,job-97,306,103,100,103,520,78,9701,9701,9745,10051,350,306,170,0.068,JOB_ST_COMPLETED (3004)
98,job-98,306,103,100,103,580,79,9801,9801,9859,10165,364,306,216,0.068,JOB_ST_COMPLETED (3004)
99,job-99,848,274,300,274,980,80,9901,9901,9951,10799,898,848,82,0.04711,JOB_ST_COMPLETED (3004)
100,job-100,848,274,300,274,980,81,10001,10001,10040,10888,887,848,93,0.04711,JOB_ST_COMPLETED (3004)
