ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
1,job-1,198,69,60,69,300,1,101,101,135,333,232,198,68,0.088,JOB_ST_COMPLETED (3004)
2,job-2,357,154,100,103,600,2,201,201,237,594,393,357,207,0.07933,JOB_ST_COMPLETED (3004)
3,job-3,670,282,200,188,900,3,301,301,335,1005,704,670,196,0.07444,JOB_ST_COMPLETED (3004)
4,job-4,357,154,100,103,550,2,401,401,594,951,550,357,0,0.07933,JOB_ST_COMPLETED (3004)
5,job-5,232,103,60,69,200,4,501,501,546,778,277,232,-77,0.10311,JOB_ST_COMPLETED (3004)
6,job-6,232,103,60,69,200,5,601,601,651,883,282,232,-82,0.10311,JOB_ST_COMPLETED (3004)
7,job-7,232,103,60,69,220,6,701,701,745,977,276,232,-56,0.10311,JOB_ST_COMPLETED (3004)
8,job-8,232,103,60,69,220,7,801,801,859,1091,290,232,-70,0.10311,JOB_ST_COMPLETED (3004)
9,job-9,232,103,60,69,320,6,901,901,977,1209,308,232,12,0.10311,JOB_ST_COMPLETED (3004)
10,job-10,232,103,60,69,320,8,1001,1001,1037,1269,268,232,52,0.10311,JOB_ST_COMPLETED (3004)
11,job-11,232,103,60,69,380,9,1101,1101,1144,1376,275,232,105,0.10311,JOB_ST_COMPLETED (3004)
12,job-12,162,103,59,0,380,10,1201,1201,1253,1415,214,162,166,0.072,JOB_ST_FAILED (3005)
13,job-13,232,103,60,69,380,11,1301,1301,1341,1573,272,232,108,0.10311,JOB_ST_COMPLETED (3004)
14,job-14,232,103,60,69,220,12,1401,1401,1451,1683,282,232,-62,0.10311,JOB_ST_COMPLETED (3004)
15,job-15,232,103,60,69,220,13,1501,1501,1556,1788,287,232,-67,0.10311,JOB_ST_COMPLETED (3004)
16,job-16,198,69,60,69,320,14,1601,1601,1648,1846,245,198,75,0.088,JOB_ST_COMPLETED (3004)
17,job-17,306,103,100,103,520,15,1701,1701,1740,2046,345,306,175,0.068,JOB_ST_COMPLETED (3004)
18,job-18,306,103,100,103,580,16,1801,1801,1851,2157,356,306,224,0.068,JOB_ST_COMPLETED (3004)
19,job-19,848,274,300,274,980,17,1901,1901,1932,2780,879,848,101,0.04711,JOB_ST_COMPLETED (3004)
20,job-20,848,274,300,274,980,18,2001,2001,2040,2888,887,848,93,0.04711,JOB_ST_COMPLETED (3004)
21,job-21,198,69,60,69,300,19,2101,2101,2156,2354,253,198,47,0.088,JOB_ST_COMPLETED (3004)
