TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),264,10889,10625,95,49807360,25675.75

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,524288,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,264,333,10889,10556,527.8
SFO,2,1,524288,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,491,594,10889,10295,514.75
SFO,3,1,524288,Job-5,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,709,778,10889,10111,505.55
SFO,4,1,524288,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,814,883,10889,10006,500.3
SFO,5,1,524288,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,817,1005,10889,9884,494.2
SFO,6,1,524288,Job-4,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,848,951,10889,9938,496.9
SFO,7,1,524288,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,908,977,10889,9912,495.6
SFO,8,1,524288,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1022,1091,10889,9798,489.9
SFO,9,1,524288,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1140,1209,10889,9680,484.0
SFO,10,1,524288,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1200,1269,10889,9620,481.0
SFO,11,1,524288,Job-11,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1307,1376,10889,9513,475.65
SFO,12,1,524288,Job-13,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1504,1573,10889,9316,465.8
SFO,13,1,524288,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1614,1683,10889,9206,460.3
SFO,14,1,524288,Job-15,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1719,1788,10889,9101,455.05
SFO,15,1,524288,Job-16,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1777,1846,10889,9043,452.15
SFO,16,1,524288,Job-17,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1943,2046,10889,8843,442.15
SFO,17,1,524288,Job-18,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2054,2157,10889,8732,436.6
SFO,18,1,524288,Job-21,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2285,2354,10889,8535,426.75
SFO,19,1,524288,Job-22,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2499,2602,10889,8287,414.35
SFO,20,1,524288,Job-19,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2506,2780,10889,8109,405.45
SFO,21,1,524288,Job-20,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2614,2888,10889,8001,400.05
SFO,22,1,524288,Job-24,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2708,2811,10889,8078,403.9
SFO,23,1,524288,Job-23,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2818,3006,10889,7883,394.15
SFO,24,1,524288,Job-25,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2856,2959,10889,7930,396.5
SFO,25,1,524288,Job-28,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3011,3080,10889,7809,390.45
SFO,26,1,524288,Job-26,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3065,3168,10889,7721,386.05
SFO,27,1,524288,Job-29,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3102,3171,10889,7718,385.9
SFO,28,1,524288,Job-27,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3213,3316,10889,7573,378.65
SFO,29,1,524288,Job-30,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3243,3312,10889,7577,378.85
SFO,30,1,524288,Job-31,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3317,3386,10889,7503,375.15
SFO,31,1,524288,Job-32,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3419,3488,10889,7401,370.05
SFO,32,1,524288,Job-33,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3570,3673,10889,7216,360.8
SFO,33,1,524288,Job-34,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3605,3674,10889,7215,360.75
SFO,34,1,524288,Job-36,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3762,3831,10889,7058,352.9
SFO,35,1,524288,Job-37,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3937,4040,10889,6849,342.45
SFO,36,1,524288,Job-38,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4042,4145,10889,6744,337.2
SFO,37,1,524288,Job-42,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4505,4608,10889,6281,314.05
SFO,38,1,524288,Job-39,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4515,4789,10889,6100,305.0
SFO,39,1,524288,Job-40,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4635,4909,10889,5980,299.0
SFO,40,1,524288,Job-44,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4714,4817,10889,6072,303.6
SFO,41,1,524288,Job-43,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4840,5028,10889,5861,293.05
SFO,42,1,524288,Job-45,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4862,4965,10889,5924,296.2
SFO,43,1,524288,Job-48,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5016,5085,10889,5804,290.2
SFO,44,1,524288,Job-46,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5071,5174,10889,5715,285.75
SFO,45,1,524288,Job-47,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5219,5322,10889,5567,278.35
SFO,46,1,524288,Job-50,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5222,5291,10889,5598,279.9
SFO,47,1,524288,Job-49,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5248,5317,10889,5572,278.6
SFO,48,1,524288,Job-51,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5309,5378,10889,5511,275.55
SFO,49,1,524288,Job-52,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5405,5474,10889,5415,270.75
SFO,50,1,524288,Job-53,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5576,5679,10889,5210,260.5
SFO,51,1,524288,Job-54,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5600,5669,10889,5220,261.0
SFO,52,1,524288,Job-55,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5704,5773,10889,5116,255.8
