TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),7045,325725,318680,95,4980736000,75325395.0

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,52428800,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,7045,13872,325725,311853,1559265.0
SFO,2,1,52428800,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,10549,17376,325725,308349,1541745.0
SFO,3,1,52428800,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,10639,17466,325725,308259,1541295.0
SFO,4,1,52428800,Job-4,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,10759,17586,325725,308139,1540695.0
SFO,5,1,52428800,Job-5,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,10851,17678,325725,308047,1540235.0
SFO,6,1,52428800,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,24172,30999,325725,294726,1473630.0
SFO,7,1,52428800,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,27676,34503,325725,291222,1456110.0
SFO,8,1,52428800,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,27766,34593,325725,291132,1455660.0
SFO,9,1,52428800,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,27886,34713,325725,291012,1455060.0
SFO,10,1,52428800,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,27978,34805,325725,290920,1454600.0
SFO,11,1,52428800,Job-12,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,44803,51630,325725,274095,1370475.0
SFO,12,1,52428800,Job-13,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,44893,51720,325725,274005,1370025.0
SFO,13,1,52428800,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),52428800,45013,51840,325725,273885,1369425.0
