ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
84,job-84,17127,10240,60,6827,550,3,8401,8401,247025,264152,255751,17127,-255201,7.612,JOB_ST_COMPLETED (3004)
85,job-85,17127,10240,60,6827,200,4,8501,8501,253966,271093,262592,17127,-262392,7.612,JOB_ST_COMPLETED (3004)
86,job-86,17127,10240,60,6827,200,5,8601,8601,254067,271194,262593,17127,-262393,7.612,JOB_ST_COMPLETED (3004)
87,job-87,17127,10240,60,6827,220,1,8701,8701,270889,288016,279315,17127,-279095,7.612,JOB_ST_COMPLETED (3004)
88,job-88,17127,10240,60,6827,220,2,8801,8801,277756,294883,286082,17127,-285862,7.612,JOB_ST_COMPLETED (3004)
89,job-89,17127,10240,60,6827,320,3,8901,8901,264152,281279,272378,17127,-272058,7.612,JOB_ST_COMPLETED (3004)
90,job-90,17127,10240,60,6827,320,4,9001,9001,271093,288220,279219,17127,-278899,7.612,JOB_ST_COMPLETED (3004)
91,job-91,17127,10240,60,6827,380,5,9101,9101,271194,288321,279220,17127,-278840,7.612,JOB_ST_COMPLETED (3004)
92,job-92,17127,10240,60,6827,380,1,9201,9201,288016,305143,295942,17127,-295562,7.612,JOB_ST_COMPLETED (3004)
93,job-93,17127,10240,60,6827,380,2,9301,9301,294883,312010,302709,17127,-302329,7.612,JOB_ST_COMPLETED (3004)
94,job-94,17127,10240,60,6827,220,3,9401,9401,281279,298406,289005,17127,-288785,7.612,JOB_ST_COMPLETED (3004)
95,job-95,17127,10240,60,6827,220,4,9501,9501,288220,305347,295846,17127,-295626,7.612,JOB_ST_COMPLETED (3004)
96,job-96,13714,6827,60,6827,320,5,9601,9601,288321,302035,292434,13714,-292114,6.09511,JOB_ST_COMPLETED (3004)
97,job-97,13714,6827,60,6827,520,5,9701,9701,302035,315749,306048,13714,-305528,6.09511,JOB_ST_COMPLETED (3004)
98,job-98,13714,6827,60,6827,580,1,9801,9801,305143,318857,309056,13714,-308476,6.09511,JOB_ST_COMPLETED (3004)
99,job-99,13714,6827,60,6827,980,2,9901,9901,312010,325724,315823,13714,-314843,6.09511,JOB_ST_COMPLETED (3004)
100,job-100,13714,6827,60,6827,980,3,10001,10001,298406,312120,302119,13714,-301139,6.09511,JOB_ST_COMPLETED (3004)
