ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
1,job-1,13714,6827,60,6827,300,1,101,101,158,13872,13771,13714,-13471,6.09511,JOB_ST_COMPLETED (3004)
2,job-2,17127,10240,60,6827,600,2,201,201,249,17376,17175,17127,-16575,7.612,JOB_ST_COMPLETED (3004)
3,job-3,17127,10240,60,6827,900,3,301,301,339,17466,17165,17127,-16265,7.612,JOB_ST_COMPLETED (3004)
4,job-4,17127,10240,60,6827,550,4,401,401,459,17586,17185,17127,-16635,7.612,JOB_ST_COMPLETED (3004)
5,job-5,17127,10240,60,6827,200,5,501,501,551,17678,17177,17127,-16977,7.612,JOB_ST_COMPLETED (3004)
6,job-6,17127,10240,60,6827,200,1,601,601,13872,30999,30398,17127,-30198,7.612,JOB_ST_COMPLETED (3004)
7,job-7,17127,10240,60,6827,220,2,701,701,17376,34503,33802,17127,-33582,7.612,JOB_ST_COMPLETED (3004)
8,job-8,17127,10240,60,6827,220,3,801,801,17466,34593,33792,17127,-33572,7.612,JOB_ST_COMPLETED (3004)
9,job-9,17127,10240,60,6827,320,4,901,901,17586,34713,33812,17127,-33492,7.612,JOB_ST_COMPLETED (3004)
10,job-10,17127,10240,60,6827,320,5,1001,1001,17678,34805,33804,17127,-33484,7.612,JOB_ST_COMPLETED (3004)
11,job-11,10289,10240,49,0,380,1,1101,1101,30999,41288,40187,10289,-39807,4.57289,JOB_ST_FAILED (3005)
12,job-12,17127,10240,60,6827,380,2,1201,1201,34503,51630,50429,17127,-50049,7.612,JOB_ST_COMPLETED (3004)
13,job-13,17127,10240,60,6827,380,3,1301,1301,34593,51720,50419,17127,-50039,7.612,JOB_ST_COMPLETED (3004)
14,job-14,17127,10240,60,6827,220,4,1401,1401,34713,51840,50439,17127,-50219,7.612,JOB_ST_COMPLETED (3004)
15,job-15,17127,10240,60,6827,220,5,1501,1501,34805,51932,50431,17127,-50211,7.612,JOB_ST_COMPLETED (3004)
16,job-16,13714,6827,60,6827,320,1,1601,1601,41288,55002,53401,13714,-53081,6.09511,JOB_ST_COMPLETED (3004)
17,job-17,13714,6827,60,6827,520,2,1701,1701,51630,65344,63643,13714,-63123,6.09511,JOB_ST_COMPLETED (3004)
18,job-18,13714,6827,60,6827,580,3,1801,1801,51720,65434,63633,13714,-63053,6.09511,JOB_ST_COMPLETED (3004)
19,job-19,13714,6827,60,6827,980,4,1901,1901,51840,65554,63653,13714,-62673,6.09511,JOB_ST_COMPLETED (3004)
20,job-20,13714,6827,60,6827,980,5,2001,2001,51932,65646,63645,13714,-62665,6.09511,JOB_ST_COMPLETED (3004)
21,job-21,13714,6827,60,6827,300,1,2101,2101,55002,68716,66615,13714,-66315,6.09511,JOB_ST_COMPLETED (3004)
22,job-22,17127,10240,60,6827,600,2,2201,2201,65344,82471,80270,17127,-79670,7.612,JOB_ST_COMPLETED (3004)
23,job-23,17127,10240,60,6827,900,3,2301,2301,65434,82561,80260,17127,-79360,7.612,JOB_ST_COMPLETED (3004)
24,job-24,17127,10240,60,6827,550,4,2401,2401,65554,82681,80280,17127,-79730,7.612,JOB_ST_COMPLETED (3004)
25,job-25,17127,10240,60,6827,200,5,2501,2501,65646,82773,80272,17127,-80072,7.612,JOB_ST_COMPLETED (3004)
26,job-26,17127,10240,60,6827,200,1,2601,2601,68716,85843,83242,17127,-83042,7.612,JOB_ST_COMPLETED (3004)
27,job-27,17127,10240,60,6827,220,2,2701,2701,82471,99598,96897,17127,-96677,7.612,JOB_ST_COMPLETED (3004)
28,job-28,17127,10240,60,6827,220,3,2801,2801,82561,99688,96887,17127,-96667,7.612,JOB_ST_COMPLETED (3004)
29,job-29,10254,10240,14,0,320,4,2901,2901,82681,92935,90034,10254,-89714,4.55733,JOB_ST_FAILED (3005)
30,job-30,17127,10240,60,6827,320,5,3001,3001,82773,99900,96899,17127,-96579,7.612,JOB_ST_COMPLETED (3004)
31,job-31,17127,10240,60,6827,380,1,3101,3101,85843,102970,99869,17127,-99489,7.612,JOB_ST_COMPLETED (3004)
32,job-32,17127,10240,60,6827,380,2,3201,3201,99598,116725,113524,17127,-113144,7.612,JOB_ST_COMPLETED (3004)
33,job-33,17127,10240,60,6827,380,3,3301,3301,99688,116815,113514,17127,-113134,7.612,JOB_ST_COMPLETED (3004)
34,job-34,17127,10240,60,6827,220,4,3401,3401,92935,110062,106661,17127,-106441,7.612,JOB_ST_COMPLETED (3004)
35,job-35,17127,10240,60,6827,220,5,3501,3501,99900,117027,113526,17127,-113306,7.612,JOB_ST_COMPLETED (3004)
36,job-36,13714,6827,60,6827,320,1,3601,3601,102970,116684,113083,13714,-112763,6.09511,JOB_ST_COMPLETED (3004)
37,job-37,13714,6827,60,6827,520,2,3701,3701,116725,130439,126738,13714,-126218,6.09511,JOB_ST_COMPLETED (3004)
38,job-38,13714,6827,60,6827,580,3,3801,3801,116815,130529,126728,13714,-126148,6.09511,JOB_ST_COMPLETED (3004)
39,job-39,13714,6827,60,6827,980,4,3901,3901,110062,123776,119875,13714,-118895,6.09511,JOB_ST_COMPLETED (3004)
40,job-40,13714,6827,60,6827,980,5,4001,4001,117027,130741,126740,13714,-125760,6.09511,JOB_ST_COMPLETED (3004)
41,job-41,13714,6827,60,6827,300,1,4101,4101,116684,130398,126297,13714,-125997,6.09511,JOB_ST_COMPLETED (3004)
42,job-42,17127,10240,60,6827,600,2,4201,4201,130439,147566,143365,17127,-142765,7.612,JOB_ST_COMPLETED (3004)
43,job-43,17127,10240,60,6827,900,3,4301,4301,130529,147656,143355,17127,-142455,7.612,JOB_ST_COMPLETED (3004)
44,job-44,17127,10240,60,6827,550,4,4401,4401,123776,140903,136502,17127,-135952,7.612,JOB_ST_COMPLETED (3004)
45,job-45,17127,10240,60,6827,200,5,4501,4501,130741,147868,143367,17127,-143167,7.612,JOB_ST_COMPLETED (3004)
46,job-46,17127,10240,60,6827,200,1,4601,4601,130398,147525,142924,17127,-142724,7.612,JOB_ST_COMPLETED (3004)
47,job-47,17127,10240,60,6827,220,2,4701,4701,147566,164693,159992,17127,-159772,7.612,JOB_ST_COMPLETED (3004)
48,job-48,10270,10240,30,0,220,3,4801,4801,147656,157926,153125,10270,-152905,4.56444,JOB_ST_FAILED (3005)
49,job-49,17127,10240,60,6827,320,4,4901,4901,140903,158030,153129,17127,-152809,7.612,JOB_ST_COMPLETED (3004)
50,job-50,17127,10240,60,6827,320,5,5001,5001,147868,164995,159994,17127,-159674,7.612,JOB_ST_COMPLETED (3004)
51,job-51,17127,10240,60,6827,380,1,5101,5101,147525,164652,159551,17127,-159171,7.612,JOB_ST_COMPLETED (3004)
52,job-52,17127,10240,60,6827,380,2,5201,5201,164693,181820,176619,17127,-176239,7.612,JOB_ST_COMPLETED (3004)
53,job-53,17127,10240,60,6827,380,3,5301,5301,157926,175053,169752,17127,-169372,7.612,JOB_ST_COMPLETED (3004)
54,job-54,17127,10240,60,6827,220,4,5401,5401,158030,175157,169756,17127,-169536,7.612,JOB_ST_COMPLETED (3004)
55,job-55,17127,10240,60,6827,220,5,5501,5501,164995,182122,176621,17127,-176401,7.612,JOB_ST_COMPLETED (3004)
56,job-56,13714,6827,60,6827,320,1,5601,5601,164652,178366,172765,13714,-172445,6.09511,JOB_ST_COMPLETED (3004)
57,job-57,13714,6827,60,6827,520,2,5701,5701,181820,195534,189833,13714,-189313,6.09511,JOB_ST_COMPLETED (3004)
58,job-58,13714,6827,60,6827,580,3,5801,5801,175053,188767,182966,13714,-182386,6.09511,JOB_ST_COMPLETED (3004)
59,job-59,13714,6827,60,6827,980,4,5901,5901,175157,188871,182970,13714,-181990,6.09511,JOB_ST_COMPLETED (3004)
60,job-60,13714,6827,60,6827,980,5,6001,6001,182122,195836,189835,13714,-188855,6.09511,JOB_ST_COMPLETED (3004)
61,job-61,13714,6827,60,6827,300,1,6101,6101,178366,192080,185979,13714,-185679,6.09511,JOB_ST_COMPLETED (3004)
62,job-62,17127,10240,60,6827,600,2,6201,6201,195534,212661,206460,17127,-205860,7.612,JOB_ST_COMPLETED (3004)
63,job-63,17127,10240,60,6827,900,3,6301,6301,188767,205894,199593,17127,-198693,7.612,JOB_ST_COMPLETED (3004)
64,job-64,17127,10240,60,6827,550,4,6401,6401,188871,205998,199597,17127,-199047,7.612,JOB_ST_COMPLETED (3004)
65,job-65,17127,10240,60,6827,200,5,6501,6501,195836,212963,206462,17127,-206262,7.612,JOB_ST_COMPLETED (3004)
66,job-66,17127,10240,60,6827,200,1,6601,6601,192080,209207,202606,17127,-202406,7.612,JOB_ST_COMPLETED (3004)
67,job-67,17127,10240,60,6827,220,2,6701,6701,212661,229788,223087,17127,-222867,7.612,JOB_ST_COMPLETED (3004)
68,job-68,17127,10240,60,6827,220,3,6801,6801,205894,223021,216220,17127,-216000,7.612,JOB_ST_COMPLETED (3004)
69,job-69,17127,10240,60,6827,320,4,6901,6901,205998,223125,216224,17127,-215904,7.612,JOB_ST_COMPLETED (3004)
70,job-70,17127,10240,60,6827,320,5,7001,7001,212963,230090,223089,17127,-222769,7.612,JOB_ST_COMPLETED (3004)
71,job-71,17127,10240,60,6827,380,1,7101,7101,209207,226334,219233,17127,-218853,7.612,JOB_ST_COMPLETED (3004)
72,job-72,17127,10240,60,6827,380,2,7201,7201,229788,246915,239714,17127,-239334,7.612,JOB_ST_COMPLETED (3004)
73,job-73,17127,10240,60,6827,380,3,7301,7301,223021,240148,232847,17127,-232467,7.612,JOB_ST_COMPLETED (3004)
74,job-74,17127,10240,60,6827,220,4,7401,7401,223125,240252,232851,17127,-232631,7.612,JOB_ST_COMPLETED (3004)
75,job-75,17127,10240,60,6827,220,5,7501,7501,230090,247217,239716,17127,-239496,7.612,JOB_ST_COMPLETED (3004)
76,job-76,13714,6827,60,6827,320,1,7601,7601,226334,240048,232447,13714,-232127,6.09511,JOB_ST_COMPLETED (3004)
77,job-77,13714,6827,60,6827,520,1,7701,7701,240048,253762,246061,13714,-245541,6.09511,JOB_ST_COMPLETED (3004)
78,job-78,13714,6827,60,6827,580,2,7801,7801,246915,260629,252828,13714,-252248,6.09511,JOB_ST_COMPLETED (3004)
79,job-79,6877,6827,50,0,980,3,7901,7901,240148,247025,239124,6877,-238144,3.05644,JOB_ST_FAILED (3005)
80,job-80,13714,6827,60,6827,980,4,8001,8001,240252,253966,245965,13714,-244985,6.09511,JOB_ST_COMPLETED (3004)
81,job-81,6850,6827,23,0,300,5,8101,8101,247217,254067,245966,6850,-245666,3.04444,JOB_ST_FAILED (3005)
82,job-82,17127,10240,60,6827,600,1,8201,8201,253762,270889,262688,17127,-262088,7.612,JOB_ST_COMPLETED (3004)
83,job-83,17127,10240,60,6827,900,2,8301,8301,260629,277756,269455,17127,-268555,7.612,JOB_ST_COMPLETED (3004)
