CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
------------------------------------------------------------------------------------------------------
265	1	job-1	130	35	60	35	300	1	101	101	135	265	164	130	136	JOB_ST_COMPLETED (3004)
412	2	job-2	147	52	60	35	600	1	201	201	265	412	211	147	389	JOB_ST_COMPLETED (3004)
559	3	job-3	147	52	60	35	900	1	301	301	412	559	258	147	642	JOB_ST_COMPLETED (3004)
688	5	job-5	147	52	60	35	200	2	501	501	541	688	187	147	13	JOB_ST_COMPLETED (3004)
706	4	job-4	147	52	60	35	550	1	401	401	559	706	305	147	245	JOB_ST_COMPLETED (3004)
799	6	job-6	147	52	60	35	200	3	601	601	652	799	198	147	2	JOB_ST_COMPLETED (3004)
853	7	job-7	147	52	60	35	220	1	701	701	706	853	152	147	68	JOB_ST_COMPLETED (3004)
1000	8	job-8	147	52	60	35	220	1	801	801	853	1000	199	147	21	JOB_ST_COMPLETED (3004)
1147	9	job-9	147	52	60	35	320	1	901	901	1000	1147	246	147	74	JOB_ST_COMPLETED (3004)
1294	10	job-10	147	52	60	35	320	1	1001	1001	1147	1294	293	147	27	JOB_ST_COMPLETED (3004)
1388	12	job-12	147	52	60	35	380	4	1201	1201	1241	1388	187	147	193	JOB_ST_COMPLETED (3004)
1441	11	job-11	147	52	60	35	380	1	1101	1101	1294	1441	340	147	40	JOB_ST_COMPLETED (3004)
1479	13	job-13	91	52	39	0	380	4	1301	1301	1388	1479	178	91	202	JOB_ST_FAILED (3005)
1588	14	job-14	147	52	60	35	220	1	1401	1401	1441	1588	187	147	33	JOB_ST_COMPLETED (3004)
1684	15	job-15	147	52	60	35	220	5	1501	1501	1537	1684	183	147	37	JOB_ST_COMPLETED (3004)
1814	16	job-16	130	35	60	35	320	5	1601	1601	1684	1814	213	130	107	JOB_ST_COMPLETED (3004)
1944	17	job-17	130	35	60	35	520	5	1701	1701	1814	1944	243	130	277	JOB_ST_COMPLETED (3004)
2074	18	job-18	130	35	60	35	580	5	1801	1801	1944	2074	273	130	307	JOB_ST_COMPLETED (3004)
2204	19	job-19	130	35	60	35	980	5	1901	1901	2074	2204	303	130	677	JOB_ST_COMPLETED (3004)
2270	21	job-21	130	35	60	35	300	6	2101	2101	2140	2270	169	130	131	JOB_ST_COMPLETED (3004)
2334	20	job-20	130	35	60	35	980	5	2001	2001	2204	2334	333	130	647	JOB_ST_COMPLETED (3004)
2417	22	job-22	147	52	60	35	600	6	2201	2201	2270	2417	216	147	384	JOB_ST_COMPLETED (3004)
2481	23	job-23	147	52	60	35	900	5	2301	2301	2334	2481	180	147	720	JOB_ST_COMPLETED (3004)
2564	24	job-24	147	52	60	35	550	6	2401	2401	2417	2564	163	147	387	JOB_ST_COMPLETED (3004)
2650	25	job-25	104	52	52	0	200	7	2501	2501	2546	2650	149	104	51	JOB_ST_FAILED (3005)
2803	26	job-26	147	52	60	35	200	8	2601	2601	2656	2803	202	147	-2	JOB_ST_COMPLETED (3004)
2885	27	job-27	147	52	60	35	220	9	2701	2701	2738	2885	184	147	36	JOB_ST_COMPLETED (3004)
2950	28	job-28	147	52	60	35	220	8	2801	2801	2803	2950	149	147	71	JOB_ST_COMPLETED (3004)
3097	29	job-29	147	52	60	35	320	8	2901	2901	2950	3097	196	147	124	JOB_ST_COMPLETED (3004)
3244	30	job-30	147	52	60	35	320	8	3001	3001	3097	3244	243	147	77	JOB_ST_COMPLETED (3004)
3391	31	job-31	147	52	60	35	380	8	3101	3101	3244	3391	290	147	90	JOB_ST_COMPLETED (3004)
3487	33	job-33	147	52	60	35	380	10	3301	3301	3340	3487	186	147	194	JOB_ST_COMPLETED (3004)
3538	32	job-32	147	52	60	35	380	8	3201	3201	3391	3538	337	147	43	JOB_ST_COMPLETED (3004)
3596	34	job-34	147	52	60	35	220	11	3401	3401	3449	3596	195	147	25	JOB_ST_COMPLETED (3004)
3685	35	job-35	147	52	60	35	220	8	3501	3501	3538	3685	184	147	36	JOB_ST_COMPLETED (3004)
3815	36	job-36	130	35	60	35	320	8	3601	3601	3685	3815	214	130	106	JOB_ST_COMPLETED (3004)
3945	37	job-37	130	35	60	35	520	8	3701	3701	3815	3945	244	130	276	JOB_ST_COMPLETED (3004)
4075	38	job-38	130	35	60	35	580	8	3801	3801	3945	4075	274	130	306	JOB_ST_COMPLETED (3004)
4205	39	job-39	130	35	60	35	980	8	3901	3901	4075	4205	304	130	676	JOB_ST_COMPLETED (3004)
4263	41	job-41	130	35	60	35	300	12	4101	4101	4133	4263	162	130	138	JOB_ST_COMPLETED (3004)
4335	40	job-40	130	35	60	35	980	8	4001	4001	4205	4335	334	130	646	JOB_ST_COMPLETED (3004)
4410	42	job-42	147	52	60	35	600	12	4201	4201	4263	4410	209	147	391	JOB_ST_COMPLETED (3004)
4482	43	job-43	147	52	60	35	900	8	4301	4301	4335	4482	181	147	719	JOB_ST_COMPLETED (3004)
4557	44	job-44	147	52	60	35	550	12	4401	4401	4410	4557	156	147	394	JOB_ST_COMPLETED (3004)
4631	45	job-45	99	52	47	0	200	13	4501	4501	4532	4631	130	99	70	JOB_ST_FAILED (3005)
4788	46	job-46	147	52	60	35	200	14	4601	4601	4641	4788	187	147	13	JOB_ST_COMPLETED (3004)
4886	47	job-47	147	52	60	35	220	15	4701	4701	4739	4886	185	147	35	JOB_ST_COMPLETED (3004)
5000	48	job-48	147	52	60	35	220	16	4801	4801	4853	5000	199	147	21	JOB_ST_COMPLETED (3004)
5147	49	job-49	147	52	60	35	320	16	4901	4901	5000	5147	246	147	74	JOB_ST_COMPLETED (3004)
5294	50	job-50	147	52	60	35	320	16	5001	5001	5147	5294	293	147	27	JOB_ST_COMPLETED (3004)
5383	52	job-52	147	52	60	35	380	17	5201	5201	5236	5383	182	147	198	JOB_ST_COMPLETED (3004)
5441	51	job-51	147	52	60	35	380	16	5101	5101	5294	5441	340	147	40	JOB_ST_COMPLETED (3004)
5530	53	job-53	147	52	60	35	380	17	5301	5301	5383	5530	229	147	151	JOB_ST_COMPLETED (3004)
5588	54	job-54	147	52	60	35	220	16	5401	5401	5441	5588	187	147	33	JOB_ST_COMPLETED (3004)
5677	55	job-55	147	52	60	35	220	17	5501	5501	5530	5677	176	147	44	JOB_ST_COMPLETED (3004)
5807	56	job-56	130	35	60	35	320	17	5601	5601	5677	5807	206	130	114	JOB_ST_COMPLETED (3004)
5937	57	job-57	130	35	60	35	520	17	5701	5701	5807	5937	236	130	284	JOB_ST_COMPLETED (3004)
6067	58	job-58	130	35	60	35	580	17	5801	5801	5937	6067	266	130	314	JOB_ST_COMPLETED (3004)
6197	59	job-59	130	35	60	35	980	17	5901	5901	6067	6197	296	130	684	JOB_ST_COMPLETED (3004)
6271	61	job-61	130	35	60	35	300	18	6101	6101	6141	6271	170	130	130	JOB_ST_COMPLETED (3004)
6327	60	job-60	130	35	60	35	980	17	6001	6001	6197	6327	326	130	654	JOB_ST_COMPLETED (3004)
6418	62	job-62	147	52	60	35	600	18	6201	6201	6271	6418	217	147	383	JOB_ST_COMPLETED (3004)
6474	63	job-63	147	52	60	35	900	17	6301	6301	6327	6474	173	147	727	JOB_ST_COMPLETED (3004)
6565	64	job-64	147	52	60	35	550	18	6401	6401	6418	6565	164	147	386	JOB_ST_COMPLETED (3004)
6681	65	job-65	147	52	60	35	200	19	6501	6501	6534	6681	180	147	20	JOB_ST_COMPLETED (3004)
6781	66	job-66	147	52	60	35	200	20	6601	6601	6634	6781	180	147	20	JOB_ST_COMPLETED (3004)
