CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
75202	67	job-67	5750	3414	60	2276	220	4	6701	6701	69452	75202	68501	5750	-68281	JOB_ST_COMPLETED (3004)
77617	70	job-70	5750	3414	60	2276	320	5	7001	7001	71867	77617	70616	5750	-70296	JOB_ST_COMPLETED (3004)
78422	71	job-71	5750	3414	60	2276	380	1	7101	7101	72672	78422	71321	5750	-70941	JOB_ST_COMPLETED (3004)
80772	73	job-73	5750	3414	60	2276	380	2	7301	7301	75022	80772	73471	5750	-73091	JOB_ST_COMPLETED (3004)
80893	74	job-74	5750	3414	60	2276	220	3	7401	7401	75143	80893	73492	5750	-73272	JOB_ST_COMPLETED (3004)
80952	72	job-72	5750	3414	60	2276	380	4	7201	7201	75202	80952	73751	5750	-73371	JOB_ST_COMPLETED (3004)
83034	76	job-76	4612	2276	60	2276	320	1	7601	7601	78422	83034	75433	4612	-75113	JOB_ST_COMPLETED (3004)
83243	77	job-77	2291	2276	15	0	520	4	7701	7701	80952	83243	75542	2291	-75022	JOB_ST_FAILED (3005)
83367	75	job-75	5750	3414	60	2276	220	5	7501	7501	77617	83367	75866	5750	-75646	JOB_ST_COMPLETED (3004)
85384	79	job-79	4612	2276	60	2276	980	2	7901	7901	80772	85384	77483	4612	-76503	JOB_ST_COMPLETED (3004)
85505	80	job-80	4612	2276	60	2276	980	3	8001	8001	80893	85505	77504	4612	-76524	JOB_ST_COMPLETED (3004)
87646	78	job-78	4612	2276	60	2276	580	1	7801	7801	83034	87646	79845	4612	-79265	JOB_ST_COMPLETED (3004)
87979	81	job-81	4612	2276	60	2276	300	5	8101	8101	83367	87979	79878	4612	-79578	JOB_ST_COMPLETED (3004)
88993	82	job-82	5750	3414	60	2276	600	4	8201	8201	83243	88993	80792	5750	-80192	JOB_ST_COMPLETED (3004)
91134	84	job-84	5750	3414	60	2276	550	2	8401	8401	85384	91134	82733	5750	-82183	JOB_ST_COMPLETED (3004)
91255	85	job-85	5750	3414	60	2276	200	3	8501	8501	85505	91255	82754	5750	-82554	JOB_ST_COMPLETED (3004)
92438	87	job-87	3445	3414	31	0	220	4	8701	8701	88993	92438	83737	3445	-83517	JOB_ST_FAILED (3005)
93396	83	job-83	5750	3414	60	2276	900	1	8301	8301	87646	93396	85095	5750	-84195	JOB_ST_COMPLETED (3004)
93729	86	job-86	5750	3414	60	2276	200	5	8601	8601	87979	93729	85128	5750	-84928	JOB_ST_COMPLETED (3004)
96884	89	job-89	5750	3414	60	2276	320	2	8901	8901	91134	96884	87983	5750	-87663	JOB_ST_COMPLETED (3004)
97005	90	job-90	5750	3414	60	2276	320	3	9001	9001	91255	97005	88004	5750	-87684	JOB_ST_COMPLETED (3004)
98188	92	job-92	5750	3414	60	2276	380	4	9201	9201	92438	98188	88987	5750	-88607	JOB_ST_COMPLETED (3004)
99146	88	job-88	5750	3414	60	2276	220	1	8801	8801	93396	99146	90345	5750	-90125	JOB_ST_COMPLETED (3004)
99479	91	job-91	5750	3414	60	2276	380	5	9101	9101	93729	99479	90378	5750	-89998	JOB_ST_COMPLETED (3004)
102634	94	job-94	5750	3414	60	2276	220	2	9401	9401	96884	102634	93233	5750	-93013	JOB_ST_COMPLETED (3004)
102755	95	job-95	5750	3414	60	2276	220	3	9501	9501	97005	102755	93254	5750	-93034	JOB_ST_COMPLETED (3004)
102800	97	job-97	4612	2276	60	2276	520	4	9701	9701	98188	102800	93099	4612	-92579	JOB_ST_COMPLETED (3004)
104091	96	job-96	4612	2276	60	2276	320	5	9601	9601	99479	104091	94490	4612	-94170	JOB_ST_COMPLETED (3004)
104896	93	job-93	5750	3414	60	2276	380	1	9301	9301	99146	104896	95595	5750	-95215	JOB_ST_COMPLETED (3004)
107246	100	job-100	4612	2276	60	2276	980	2	10001	10001	102634	107246	97245	4612	-96265	JOB_ST_COMPLETED (3004)
108703	98	job-98	4612	2276	60	2276	580	5	9801	9801	104091	108703	98902	4612	-98322	JOB_ST_COMPLETED (3004)
109508	99	job-99	4612	2276	60	2276	980	1	9901	9901	104896	109508	99607	4612	-98627	JOB_ST_COMPLETED (3004)
