CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
------------------------------------------------------------------------------------------------------
3866	4	job-4	3423	3414	9	0	550	4	401	401	443	3866	3465	3423	-2915	JOB_ST_FAILED (3005)
4750	1	job-1	4612	2276	60	2276	300	1	101	101	138	4750	4649	4612	-4349	JOB_ST_COMPLETED (3004)
5999	2	job-2	5750	3414	60	2276	600	2	201	201	249	5999	5798	5750	-5198	JOB_ST_COMPLETED (3004)
6093	3	job-3	5750	3414	60	2276	900	3	301	301	343	6093	5792	5750	-4892	JOB_ST_COMPLETED (3004)
6281	5	job-5	5750	3414	60	2276	200	5	501	501	531	6281	5780	5750	-5580	JOB_ST_COMPLETED (3004)
9616	9	job-9	5750	3414	60	2276	320	4	901	901	3866	9616	8715	5750	-8395	JOB_ST_COMPLETED (3004)
10500	6	job-6	5750	3414	60	2276	200	1	601	601	4750	10500	9899	5750	-9699	JOB_ST_COMPLETED (3004)
11749	7	job-7	5750	3414	60	2276	220	2	701	701	5999	11749	11048	5750	-10828	JOB_ST_COMPLETED (3004)
11843	8	job-8	5750	3414	60	2276	220	3	801	801	6093	11843	11042	5750	-10822	JOB_ST_COMPLETED (3004)
12031	10	job-10	5750	3414	60	2276	320	5	1001	1001	6281	12031	11030	5750	-10710	JOB_ST_COMPLETED (3004)
15366	14	job-14	5750	3414	60	2276	220	4	1401	1401	9616	15366	13965	5750	-13745	JOB_ST_COMPLETED (3004)
16250	11	job-11	5750	3414	60	2276	380	1	1101	1101	10500	16250	15149	5750	-14769	JOB_ST_COMPLETED (3004)
17499	12	job-12	5750	3414	60	2276	380	2	1201	1201	11749	17499	16298	5750	-15918	JOB_ST_COMPLETED (3004)
17593	13	job-13	5750	3414	60	2276	380	3	1301	1301	11843	17593	16292	5750	-15912	JOB_ST_COMPLETED (3004)
17781	15	job-15	5750	3414	60	2276	220	5	1501	1501	12031	17781	16280	5750	-16060	JOB_ST_COMPLETED (3004)
19978	19	job-19	4612	2276	60	2276	980	4	1901	1901	15366	19978	18077	4612	-17097	JOB_ST_COMPLETED (3004)
20862	16	job-16	4612	2276	60	2276	320	1	1601	1601	16250	20862	19261	4612	-18941	JOB_ST_COMPLETED (3004)
22111	17	job-17	4612	2276	60	2276	520	2	1701	1701	17499	22111	20410	4612	-19890	JOB_ST_COMPLETED (3004)
22205	18	job-18	4612	2276	60	2276	580	3	1801	1801	17593	22205	20404	4612	-19824	JOB_ST_COMPLETED (3004)
22393	20	job-20	4612	2276	60	2276	980	5	2001	2001	17781	22393	20392	4612	-19412	JOB_ST_COMPLETED (3004)
25474	21	job-21	4612	2276	60	2276	300	1	2101	2101	20862	25474	23373	4612	-23073	JOB_ST_COMPLETED (3004)
25548	22	job-22	3437	3414	23	0	600	2	2201	2201	22111	25548	23347	3437	-22747	JOB_ST_FAILED (3005)
25728	24	job-24	5750	3414	60	2276	550	4	2401	2401	19978	25728	23327	5750	-22777	JOB_ST_COMPLETED (3004)
27955	23	job-23	5750	3414	60	2276	900	3	2301	2301	22205	27955	25654	5750	-24754	JOB_ST_COMPLETED (3004)
28143	25	job-25	5750	3414	60	2276	200	5	2501	2501	22393	28143	25642	5750	-25442	JOB_ST_COMPLETED (3004)
31224	26	job-26	5750	3414	60	2276	200	1	2601	2601	25474	31224	28623	5750	-28423	JOB_ST_COMPLETED (3004)
31298	27	job-27	5750	3414	60	2276	220	2	2701	2701	25548	31298	28597	5750	-28377	JOB_ST_COMPLETED (3004)
31478	29	job-29	5750	3414	60	2276	320	4	2901	2901	25728	31478	28577	5750	-28257	JOB_ST_COMPLETED (3004)
33705	28	job-28	5750	3414	60	2276	220	3	2801	2801	27955	33705	30904	5750	-30684	JOB_ST_COMPLETED (3004)
33893	30	job-30	5750	3414	60	2276	320	5	3001	3001	28143	33893	30892	5750	-30572	JOB_ST_COMPLETED (3004)
36974	31	job-31	5750	3414	60	2276	380	1	3101	3101	31224	36974	33873	5750	-33493	JOB_ST_COMPLETED (3004)
37048	32	job-32	5750	3414	60	2276	380	2	3201	3201	31298	37048	33847	5750	-33467	JOB_ST_COMPLETED (3004)
37228	34	job-34	5750	3414	60	2276	220	4	3401	3401	31478	37228	33827	5750	-33607	JOB_ST_COMPLETED (3004)
39455	33	job-33	5750	3414	60	2276	380	3	3301	3301	33705	39455	36154	5750	-35774	JOB_ST_COMPLETED (3004)
39643	35	job-35	5750	3414	60	2276	220	5	3501	3501	33893	39643	36142	5750	-35922	JOB_ST_COMPLETED (3004)
41586	36	job-36	4612	2276	60	2276	320	1	3601	3601	36974	41586	37985	4612	-37665	JOB_ST_COMPLETED (3004)
41660	37	job-37	4612	2276	60	2276	520	2	3701	3701	37048	41660	37959	4612	-37439	JOB_ST_COMPLETED (3004)
41840	39	job-39	4612	2276	60	2276	980	4	3901	3901	37228	41840	37939	4612	-36959	JOB_ST_COMPLETED (3004)
44067	38	job-38	4612	2276	60	2276	580	3	3801	3801	39455	44067	40266	4612	-39686	JOB_ST_COMPLETED (3004)
44255	40	job-40	4612	2276	60	2276	980	5	4001	4001	39643	44255	40254	4612	-39274	JOB_ST_COMPLETED (3004)
46198	41	job-41	4612	2276	60	2276	300	1	4101	4101	41586	46198	42097	4612	-41797	JOB_ST_COMPLETED (3004)
47410	43	job-43	5750	3414	60	2276	900	2	4301	4301	41660	47410	43109	5750	-42209	JOB_ST_COMPLETED (3004)
47590	42	job-42	5750	3414	60	2276	600	4	4201	4201	41840	47590	43389	5750	-42789	JOB_ST_COMPLETED (3004)
49817	44	job-44	5750	3414	60	2276	550	3	4401	4401	44067	49817	45416	5750	-44866	JOB_ST_COMPLETED (3004)
50005	45	job-45	5750	3414	60	2276	200	5	4501	4501	44255	50005	45504	5750	-45304	JOB_ST_COMPLETED (3004)
51948	46	job-46	5750	3414	60	2276	200	1	4601	4601	46198	51948	47347	5750	-47147	JOB_ST_COMPLETED (3004)
53160	48	job-48	5750	3414	60	2276	220	2	4801	4801	47410	53160	48359	5750	-48139	JOB_ST_COMPLETED (3004)
53340	47	job-47	5750	3414	60	2276	220	4	4701	4701	47590	53340	48639	5750	-48419	JOB_ST_COMPLETED (3004)
55567	49	job-49	5750	3414	60	2276	320	3	4901	4901	49817	55567	50666	5750	-50346	JOB_ST_COMPLETED (3004)
55755	50	job-50	5750	3414	60	2276	320	5	5001	5001	50005	55755	50754	5750	-50434	JOB_ST_COMPLETED (3004)
57698	51	job-51	5750	3414	60	2276	380	1	5101	5101	51948	57698	52597	5750	-52217	JOB_ST_COMPLETED (3004)
58910	53	job-53	5750	3414	60	2276	380	2	5301	5301	53160	58910	53609	5750	-53229	JOB_ST_COMPLETED (3004)
59090	52	job-52	5750	3414	60	2276	380	4	5201	5201	53340	59090	53889	5750	-53509	JOB_ST_COMPLETED (3004)
61317	54	job-54	5750	3414	60	2276	220	3	5401	5401	55567	61317	55916	5750	-55696	JOB_ST_COMPLETED (3004)
61505	55	job-55	5750	3414	60	2276	220	5	5501	5501	55755	61505	56004	5750	-55784	JOB_ST_COMPLETED (3004)
62310	56	job-56	4612	2276	60	2276	320	1	5601	5601	57698	62310	56709	4612	-56389	JOB_ST_COMPLETED (3004)
63522	58	job-58	4612	2276	60	2276	580	2	5801	5801	58910	63522	57721	4612	-57141	JOB_ST_COMPLETED (3004)
63643	59	job-59	2326	2276	50	0	980	3	5901	5901	61317	63643	57742	2326	-56762	JOB_ST_FAILED (3005)
63702	57	job-57	4612	2276	60	2276	520	4	5701	5701	59090	63702	58001	4612	-57481	JOB_ST_COMPLETED (3004)
66117	60	job-60	4612	2276	60	2276	980	5	6001	6001	61505	66117	60116	4612	-59136	JOB_ST_COMPLETED (3004)
66922	61	job-61	4612	2276	60	2276	300	1	6101	6101	62310	66922	60821	4612	-60521	JOB_ST_COMPLETED (3004)
69272	63	job-63	5750	3414	60	2276	900	2	6301	6301	63522	69272	62971	5750	-62071	JOB_ST_COMPLETED (3004)
69393	64	job-64	5750	3414	60	2276	550	3	6401	6401	63643	69393	62992	5750	-62442	JOB_ST_COMPLETED (3004)
69452	62	job-62	5750	3414	60	2276	600	4	6201	6201	63702	69452	63251	5750	-62651	JOB_ST_COMPLETED (3004)
71867	65	job-65	5750	3414	60	2276	200	5	6501	6501	66117	71867	65366	5750	-65166	JOB_ST_COMPLETED (3004)
72672	66	job-66	5750	3414	60	2276	200	1	6601	6601	66922	72672	66071	5750	-65871	JOB_ST_COMPLETED (3004)
75022	68	job-68	5750	3414	60	2276	220	2	6801	6801	69272	75022	68221	5750	-68001	JOB_ST_COMPLETED (3004)
75143	69	job-69	5750	3414	60	2276	320	3	6901	6901	69393	75143	68242	5750	-67922	JOB_ST_COMPLETED (3004)
