CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
------------------------------------------------------------------------------------------------------
337	1	job-1	198	69	60	69	300	1	101	101	139	337	236	198	64	JOB_ST_COMPLETED (3004)
606	2	job-2	357	154	100	103	600	2	201	201	249	606	405	357	195	JOB_ST_COMPLETED (3004)
782	5	job-5	232	103	60	69	200	5	501	501	550	782	281	232	-81	JOB_ST_COMPLETED (3004)
789	4	job-4	357	154	100	103	550	4	401	401	432	789	388	357	162	JOB_ST_COMPLETED (3004)
863	6	job-6	232	103	60	69	200	6	601	601	631	863	262	232	-62	JOB_ST_COMPLETED (3004)
969	7	job-7	232	103	60	69	220	7	701	701	737	969	268	232	-48	JOB_ST_COMPLETED (3004)
1028	3	job-3	670	282	200	188	900	3	301	301	358	1028	727	670	173	JOB_ST_COMPLETED (3004)
1085	8	job-8	232	103	60	69	220	8	801	801	853	1085	284	232	-64	JOB_ST_COMPLETED (3004)
1201	9	job-9	232	103	60	69	320	7	901	901	969	1201	300	232	20	JOB_ST_COMPLETED (3004)
1291	11	job-11	134	103	31	0	380	9	1101	1101	1157	1291	190	134	190	JOB_ST_FAILED (3005)
1317	10	job-10	232	103	60	69	320	8	1001	1001	1085	1317	316	232	4	JOB_ST_COMPLETED (3004)
1467	12	job-12	232	103	60	69	380	10	1201	1201	1235	1467	266	232	114	JOB_ST_COMPLETED (3004)
1584	13	job-13	232	103	60	69	380	11	1301	1301	1352	1584	283	232	97	JOB_ST_COMPLETED (3004)
1674	14	job-14	232	103	60	69	220	12	1401	1401	1442	1674	273	232	-53	JOB_ST_COMPLETED (3004)
1772	15	job-15	232	103	60	69	220	13	1501	1501	1540	1772	271	232	-51	JOB_ST_COMPLETED (3004)
1844	16	job-16	198	69	60	69	320	14	1601	1601	1646	1844	243	198	77	JOB_ST_COMPLETED (3004)
2048	17	job-17	306	103	100	103	520	15	1701	1701	1742	2048	347	306	173	JOB_ST_COMPLETED (3004)
