CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
2165	18	job-18	306	103	100	103	580	16	1801	1801	1859	2165	364	306	216	JOB_ST_COMPLETED (3004)
2354	21	job-21	198	69	60	69	300	19	2101	2101	2156	2354	253	198	47	JOB_ST_COMPLETED (3004)
2614	22	job-22	357	154	100	103	600	20	2201	2201	2257	2614	413	357	187	JOB_ST_COMPLETED (3004)
2782	19	job-19	848	274	300	274	980	17	1901	1901	1934	2782	881	848	99	JOB_ST_COMPLETED (3004)
2792	24	job-24	357	154	100	103	550	22	2401	2401	2435	2792	391	357	159	JOB_ST_COMPLETED (3004)
2793	25	job-25	232	103	60	69	200	23	2501	2501	2561	2793	292	232	-92	JOB_ST_COMPLETED (3004)
2876	26	job-26	232	103	60	69	200	24	2601	2601	2644	2876	275	232	-75	JOB_ST_COMPLETED (3004)
2883	20	job-20	848	274	300	274	980	18	2001	2001	2035	2883	882	848	98	JOB_ST_COMPLETED (3004)
2972	27	job-27	232	103	60	69	220	25	2701	2701	2740	2972	271	232	-51	JOB_ST_COMPLETED (3004)
3005	23	job-23	670	282	200	188	900	21	2301	2301	2335	3005	704	670	196	JOB_ST_COMPLETED (3004)
3089	28	job-28	232	103	60	69	220	26	2801	2801	2857	3089	288	232	-68	JOB_ST_COMPLETED (3004)
3204	29	job-29	232	103	60	69	320	25	2901	2901	2972	3204	303	232	17	JOB_ST_COMPLETED (3004)
3321	30	job-30	232	103	60	69	320	26	3001	3001	3089	3321	320	232	0	JOB_ST_COMPLETED (3004)
3364	31	job-31	232	103	60	69	380	27	3101	3101	3132	3364	263	232	117	JOB_ST_COMPLETED (3004)
3489	32	job-32	232	103	60	69	380	28	3201	3201	3257	3489	288	232	92	JOB_ST_COMPLETED (3004)
3563	33	job-33	232	103	60	69	380	29	3301	3301	3331	3563	262	232	118	JOB_ST_COMPLETED (3004)
3686	34	job-34	232	103	60	69	220	30	3401	3401	3454	3686	285	232	-65	JOB_ST_COMPLETED (3004)
3766	35	job-35	232	103	60	69	220	31	3501	3501	3534	3766	265	232	-45	JOB_ST_COMPLETED (3004)
3836	36	job-36	198	69	60	69	320	32	3601	3601	3638	3836	235	198	85	JOB_ST_COMPLETED (3004)
3984	38	job-38	144	103	41	0	580	34	3801	3801	3840	3984	183	144	397	JOB_ST_FAILED (3005)
4045	37	job-37	306	103	100	103	520	33	3701	3701	3739	4045	344	306	176	JOB_ST_COMPLETED (3004)
4254	41	job-41	103	69	34	0	300	37	4101	4101	4151	4254	153	103	147	JOB_ST_FAILED (3005)
4597	42	job-42	357	154	100	103	600	38	4201	4201	4240	4597	396	357	204	JOB_ST_COMPLETED (3004)
4778	45	job-45	232	103	60	69	200	41	4501	4501	4546	4778	277	232	-77	JOB_ST_COMPLETED (3004)
4789	39	job-39	848	274	300	274	980	35	3901	3901	3941	4789	888	848	92	JOB_ST_COMPLETED (3004)
4790	44	job-44	357	154	100	103	550	40	4401	4401	4433	4790	389	357	161	JOB_ST_COMPLETED (3004)
4889	46	job-46	232	103	60	69	200	42	4601	4601	4657	4889	288	232	-88	JOB_ST_COMPLETED (3004)
4893	40	job-40	848	274	300	274	980	36	4001	4001	4045	4893	892	848	88	JOB_ST_COMPLETED (3004)
4968	47	job-47	232	103	60	69	220	43	4701	4701	4736	4968	267	232	-47	JOB_ST_COMPLETED (3004)
5008	43	job-43	670	282	200	188	900	39	4301	4301	4338	5008	707	670	193	JOB_ST_COMPLETED (3004)
5077	48	job-48	232	103	60	69	220	44	4801	4801	4845	5077	276	232	-56	JOB_ST_COMPLETED (3004)
5200	49	job-49	232	103	60	69	320	43	4901	4901	4968	5200	299	232	21	JOB_ST_COMPLETED (3004)
5309	50	job-50	232	103	60	69	320	44	5001	5001	5077	5309	308	232	12	JOB_ST_COMPLETED (3004)
5363	51	job-51	232	103	60	69	380	45	5101	5101	5131	5363	262	232	118	JOB_ST_COMPLETED (3004)
5475	52	job-52	232	103	60	69	380	46	5201	5201	5243	5475	274	232	106	JOB_ST_COMPLETED (3004)
5585	53	job-53	232	103	60	69	380	47	5301	5301	5353	5585	284	232	96	JOB_ST_COMPLETED (3004)
5680	54	job-54	232	103	60	69	220	48	5401	5401	5448	5680	279	232	-59	JOB_ST_COMPLETED (3004)
5777	55	job-55	232	103	60	69	220	49	5501	5501	5545	5777	276	232	-56	JOB_ST_COMPLETED (3004)
5848	56	job-56	198	69	60	69	320	50	5601	5601	5650	5848	247	198	73	JOB_ST_COMPLETED (3004)
6051	57	job-57	306	103	100	103	520	51	5701	5701	5745	6051	350	306	170	JOB_ST_COMPLETED (3004)
6162	58	job-58	306	103	100	103	580	52	5801	5801	5856	6162	361	306	219	JOB_ST_COMPLETED (3004)
6353	61	job-61	198	69	60	69	300	55	6101	6101	6155	6353	252	198	48	JOB_ST_COMPLETED (3004)
6611	62	job-62	357	154	100	103	600	56	6201	6201	6254	6611	410	357	190	JOB_ST_COMPLETED (3004)
6763	65	job-65	232	103	60	69	200	59	6501	6501	6531	6763	262	232	-62	JOB_ST_COMPLETED (3004)
6781	59	job-59	848	274	300	274	980	53	5901	5901	5933	6781	880	848	100	JOB_ST_COMPLETED (3004)
6800	64	job-64	357	154	100	103	550	58	6401	6401	6443	6800	399	357	151	JOB_ST_COMPLETED (3004)
6863	66	job-66	232	103	60	69	200	60	6601	6601	6631	6863	262	232	-62	JOB_ST_COMPLETED (3004)
6901	60	job-60	848	274	300	274	980	54	6001	6001	6053	6901	900	848	80	JOB_ST_COMPLETED (3004)
6976	67	job-67	232	103	60	69	220	61	6701	6701	6744	6976	275	232	-55	JOB_ST_COMPLETED (3004)
7029	63	job-63	670	282	200	188	900	57	6301	6301	6359	7029	728	670	172	JOB_ST_COMPLETED (3004)
7084	68	job-68	232	103	60	69	220	62	6801	6801	6852	7084	283	232	-63	JOB_ST_COMPLETED (3004)
7208	69	job-69	232	103	60	69	320	61	6901	6901	6976	7208	307	232	13	JOB_ST_COMPLETED (3004)
7316	70	job-70	232	103	60	69	320	62	7001	7001	7084	7316	315	232	5	JOB_ST_COMPLETED (3004)
7379	71	job-71	232	103	60	69	380	63	7101	7101	7147	7379	278	232	102	JOB_ST_COMPLETED (3004)
7473	72	job-72	232	103	60	69	380	64	7201	7201	7241	7473	272	232	108	JOB_ST_COMPLETED (3004)
7567	73	job-73	232	103	60	69	380	65	7301	7301	7335	7567	266	232	114	JOB_ST_COMPLETED (3004)
7670	74	job-74	232	103	60	69	220	66	7401	7401	7438	7670	269	232	-49	JOB_ST_COMPLETED (3004)
7766	75	job-75	232	103	60	69	220	67	7501	7501	7534	7766	265	232	-45	JOB_ST_COMPLETED (3004)
7829	76	job-76	198	69	60	69	320	68	7601	7601	7631	7829	228	198	92	JOB_ST_COMPLETED (3004)
8048	77	job-77	306	103	100	103	520	69	7701	7701	7742	8048	347	306	173	JOB_ST_COMPLETED (3004)
8145	78	job-78	306	103	100	103	580	70	7801	7801	7839	8145	344	306	236	JOB_ST_COMPLETED (3004)
8223	79	job-79	282	274	8	0	980	71	7901	7901	7941	8223	322	282	658	JOB_ST_FAILED (3005)
8333	81	job-81	198	69	60	69	300	73	8101	8101	8135	8333	232	198	68	JOB_ST_COMPLETED (3004)
8612	82	job-82	357	154	100	103	600	74	8201	8201	8255	8612	411	357	189	JOB_ST_COMPLETED (3004)
8780	85	job-85	232	103	60	69	200	77	8501	8501	8548	8780	279	232	-79	JOB_ST_COMPLETED (3004)
8792	84	job-84	357	154	100	103	550	76	8401	8401	8435	8792	391	357	159	JOB_ST_COMPLETED (3004)
8880	86	job-86	232	103	60	69	200	78	8601	8601	8648	8880	279	232	-79	JOB_ST_COMPLETED (3004)
8883	80	job-80	848	274	300	274	980	72	8001	8001	8035	8883	882	848	98	JOB_ST_COMPLETED (3004)
8986	87	job-87	232	103	60	69	220	79	8701	8701	8754	8986	285	232	-65	JOB_ST_COMPLETED (3004)
9031	83	job-83	670	282	200	188	900	75	8301	8301	8361	9031	730	670	170	JOB_ST_COMPLETED (3004)
9086	88	job-88	232	103	60	69	220	80	8801	8801	8854	9086	285	232	-65	JOB_ST_COMPLETED (3004)
9218	89	job-89	232	103	60	69	320	79	8901	8901	8986	9218	317	232	3	JOB_ST_COMPLETED (3004)
9318	90	job-90	232	103	60	69	320	80	9001	9001	9086	9318	317	232	3	JOB_ST_COMPLETED (3004)
9376	91	job-91	232	103	60	69	380	81	9101	9101	9144	9376	275	232	105	JOB_ST_COMPLETED (3004)
9471	92	job-92	232	103	60	69	380	82	9201	9201	9239	9471	270	232	110	JOB_ST_COMPLETED (3004)
9564	93	job-93	232	103	60	69	380	83	9301	9301	9332	9564	263	232	117	JOB_ST_COMPLETED (3004)
9677	94	job-94	232	103	60	69	220	84	9401	9401	9445	9677	276	232	-56	JOB_ST_COMPLETED (3004)
9742	96	job-96	81	69	12	0	320	86	9601	9601	9661	9742	141	81	179	JOB_ST_FAILED (3005)
9787	95	job-95	232	103	60	69	220	85	9501	9501	9555	9787	286	232	-66	JOB_ST_COMPLETED (3004)
10049	97	job-97	306	103	100	103	520	87	9701	9701	9743	10049	348	306	172	JOB_ST_COMPLETED (3004)
10146	98	job-98	306	103	100	103	580	88	9801	9801	9840	10146	345	306	235	JOB_ST_COMPLETED (3004)
10781	99	job-99	848	274	300	274	980	89	9901	9901	9933	10781	880	848	100	JOB_ST_COMPLETED (3004)
10886	100	job-100	848	274	300	274	980	90	10001	10001	10038	10886	885	848	95	JOB_ST_COMPLETED (3004)
