VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
16,1107,1.6,VM-16,m3.xlarge,VM_ST_TERMINATE (3103),3501,3549,4608,48,5,1058,0.956,0.043,0.001,4607,0,False,None, -1
17,290,1.6,VM-17,m3.xlarge,VM_ST_TERMINATE (3103),4501,4558,4791,57,1,232,0.800,0.197,0.003,4790,0,False,None, -1
18,278,1.6,VM-18,m3.xlarge,VM_ST_TERMINATE (3103),4601,4646,4879,45,1,232,0.835,0.162,0.004,4878,0,False,None, -1
19,292,1.6,VM-19,m3.xlarge,VM_ST_TERMINATE (3103),4701,4760,4993,59,1,232,0.795,0.202,0.003,4992,0,False,None, -1
20,748,1.6,VM-20,m3.xlarge,VM_ST_TERMINATE (3103),4801,4852,5549,51,3,696,0.930,0.068,0.001,5548,0,False,None, -1
21,656,1.6,VM-21,m3.xlarge,VM_ST_TERMINATE (3103),4901,4946,5557,45,3,610,0.930,0.069,0.002,5556,0,False,None, -1
22,1351,1.6,VM-22,m3.xlarge,VM_ST_TERMINATE (3103),5401,5461,6752,60,6,1290,0.955,0.044,0.001,6751,0,False,None, -1
23,800,1.6,VM-23,m3.xlarge,VM_ST_TERMINATE (3103),5501,5552,6301,51,4,748,0.935,0.064,0.001,6300,0,False,None, -1
24,292,1.6,VM-24,m3.xlarge,VM_ST_TERMINATE (3103),6401,6460,6693,59,1,232,0.795,0.202,0.003,6692,0,False,None, -1
25,285,1.6,VM-25,m3.xlarge,VM_ST_TERMINATE (3103),6501,6553,6786,52,1,232,0.814,0.182,0.004,6785,0,False,None, -1
26,265,1.6,VM-26,m3.xlarge,VM_ST_TERMINATE (3103),6601,6633,6866,32,1,232,0.875,0.121,0.004,6865,0,False,None, -1
27,970,1.6,VM-27,m3.xlarge,VM_ST_TERMINATE (3103),6701,6742,7671,41,4,928,0.957,0.042,0.001,7670,0,False,None, -1
28,746,1.6,VM-28,m3.xlarge,VM_ST_TERMINATE (3103),6801,6850,7547,49,3,696,0.933,0.066,0.001,7546,0,False,None, -1
29,1324,1.6,VM-29,m3.xlarge,VM_ST_TERMINATE (3103),7401,7434,8725,33,6,1290,0.974,0.025,0.001,8724,0,False,None, -1
30,1109,1.6,VM-30,m3.xlarge,VM_ST_TERMINATE (3103),7501,7551,8610,50,5,1058,0.954,0.045,0.001,8609,0,False,None, -1
31,276,1.6,VM-31,m3.xlarge,VM_ST_TERMINATE (3103),8501,8544,8777,43,1,232,0.841,0.156,0.004,8776,0,False,None, -1
32,272,1.6,VM-32,m3.xlarge,VM_ST_TERMINATE (3103),8601,8640,8873,39,1,232,0.853,0.143,0.004,8872,0,False,None, -1
33,293,1.6,VM-33,m3.xlarge,VM_ST_TERMINATE (3103),8701,8761,8994,60,1,232,0.792,0.205,0.003,8993,0,False,None, -1
34,625,1.6,VM-34,m3.xlarge,VM_ST_TERMINATE (3103),8801,8840,9426,39,3,585,0.936,0.062,0.002,9425,0,False,None, -1
35,1351,1.6,VM-35,m3.xlarge,VM_ST_TERMINATE (3103),8901,8961,10252,60,6,1290,0.955,0.044,0.001,10251,0,False,None, -1
36,268,1.6,VM-36,m3.xlarge,VM_ST_TERMINATE (3103),9401,9436,9669,35,1,232,0.866,0.131,0.004,9668,0,False,None, -1
37,663,1.6,VM-37,m3.xlarge,VM_ST_TERMINATE (3103),9501,9535,10164,34,3,628,0.947,0.051,0.002,10163,0,False,None, -1
