VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
1,707,1.6,VM-1,m3.xlarge,VM_ST_TERMINATE (3103),101,145,808,44,3,662,0.936,0.062,0.001,807,0,False,None, -1
2,270,1.6,VM-2,m3.xlarge,VM_ST_TERMINATE (3103),401,438,671,37,1,232,0.859,0.137,0.004,670,0,False,None, -1
3,270,1.6,VM-3,m3.xlarge,VM_ST_TERMINATE (3103),501,538,771,37,1,232,0.859,0.137,0.004,770,0,False,None, -1
4,267,1.6,VM-4,m3.xlarge,VM_ST_TERMINATE (3103),601,635,868,34,1,232,0.869,0.127,0.004,867,0,False,None, -1
5,290,1.6,VM-5,m3.xlarge,VM_ST_TERMINATE (3103),701,758,991,57,1,232,0.800,0.197,0.003,990,0,False,None, -1
6,746,1.6,VM-6,m3.xlarge,VM_ST_TERMINATE (3103),801,850,1547,49,3,696,0.933,0.066,0.001,1546,0,False,None, -1
7,660,1.6,VM-7,m3.xlarge,VM_ST_TERMINATE (3103),901,945,1561,44,3,615,0.932,0.067,0.002,1560,0,False,None, -1
8,1347,1.6,VM-8,m3.xlarge,VM_ST_TERMINATE (3103),1401,1457,2748,56,6,1290,0.958,0.042,0.001,2747,0,False,None, -1
9,1118,1.6,VM-9,m3.xlarge,VM_ST_TERMINATE (3103),1501,1560,2619,59,5,1058,0.946,0.053,0.001,2618,0,False,None, -1
10,267,1.6,VM-10,m3.xlarge,VM_ST_TERMINATE (3103),2501,2535,2768,34,1,232,0.869,0.127,0.004,2767,0,False,None, -1
11,263,1.6,VM-11,m3.xlarge,VM_ST_TERMINATE (3103),2601,2631,2864,30,1,232,0.882,0.114,0.004,2863,0,False,None, -1
12,864,1.6,VM-12,m3.xlarge,VM_ST_TERMINATE (3103),2701,2749,3565,48,4,815,0.943,0.056,0.001,3564,0,False,None, -1
13,292,1.6,VM-13,m3.xlarge,VM_ST_TERMINATE (3103),2801,2860,3093,59,1,232,0.795,0.202,0.003,3092,0,False,None, -1
14,505,1.6,VM-14,m3.xlarge,VM_ST_TERMINATE (3103),3001,3041,3506,40,2,464,0.919,0.079,0.002,3505,0,False,None, -1
15,1346,1.6,VM-15,m3.xlarge,VM_ST_TERMINATE (3103),3401,3456,4747,55,6,1290,0.958,0.041,0.001,4746,0,False,None, -1
