ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
1,job-1,198,69,60,69,300,1,101,101,145,343,242,198,58,0.088,JOB_ST_COMPLETED (3004)
2,job-2,232,103,60,69,600,1,201,201,343,575,374,232,226,0.10311,JOB_ST_COMPLETED (3004)
3,job-3,232,103,60,69,900,1,301,301,575,807,506,232,394,0.10311,JOB_ST_COMPLETED (3004)
4,job-4,232,103,60,69,550,2,401,401,438,670,269,232,281,0.10311,JOB_ST_COMPLETED (3004)
5,job-5,232,103,60,69,200,3,501,501,538,770,269,232,-69,0.10311,JOB_ST_COMPLETED (3004)
6,job-6,232,103,60,69,200,4,601,601,635,867,266,232,-66,0.10311,JOB_ST_COMPLETED (3004)
7,job-7,232,103,60,69,220,5,701,701,758,990,289,232,-69,0.10311,JOB_ST_COMPLETED (3004)
8,job-8,232,103,60,69,220,6,801,801,850,1082,281,232,-61,0.10311,JOB_ST_COMPLETED (3004)
9,job-9,232,103,60,69,320,7,901,901,945,1177,276,232,44,0.10311,JOB_ST_COMPLETED (3004)
10,job-10,232,103,60,69,320,6,1001,1001,1082,1314,313,232,7,0.10311,JOB_ST_COMPLETED (3004)
11,job-11,151,103,48,0,380,7,1101,1101,1177,1328,227,151,153,0.06711,JOB_ST_FAILED (3005)
12,job-12,232,103,60,69,380,6,1201,1201,1314,1546,345,232,35,0.10311,JOB_ST_COMPLETED (3004)
13,job-13,232,103,60,69,380,7,1301,1301,1328,1560,259,232,121,0.10311,JOB_ST_COMPLETED (3004)
14,job-14,232,103,60,69,220,8,1401,1401,1457,1689,288,232,-68,0.10311,JOB_ST_COMPLETED (3004)
15,job-15,232,103,60,69,220,9,1501,1501,1560,1792,291,232,-71,0.10311,JOB_ST_COMPLETED (3004)
16,job-16,198,69,60,69,320,8,1601,1601,1689,1887,286,198,34,0.088,JOB_ST_COMPLETED (3004)
17,job-17,198,69,60,69,520,9,1701,1701,1792,1990,289,198,231,0.088,JOB_ST_COMPLETED (3004)
18,job-18,198,69,60,69,580,8,1801,1801,1887,2085,284,198,296,0.088,JOB_ST_COMPLETED (3004)
19,job-19,198,69,60,69,980,9,1901,1901,1990,2188,287,198,693,0.088,JOB_ST_COMPLETED (3004)
20,job-20,198,69,60,69,980,8,2001,2001,2085,2283,282,198,698,0.088,JOB_ST_COMPLETED (3004)
21,job-21,198,69,60,69,300,9,2101,2101,2188,2386,285,198,15,0.088,JOB_ST_COMPLETED (3004)
22,job-22,232,103,60,69,600,8,2201,2201,2283,2515,314,232,286,0.10311,JOB_ST_COMPLETED (3004)
23,job-23,232,103,60,69,900,9,2301,2301,2386,2618,317,232,583,0.10311,JOB_ST_COMPLETED (3004)
24,job-24,232,103,60,69,550,8,2401,2401,2515,2747,346,232,204,0.10311,JOB_ST_COMPLETED (3004)
25,job-25,232,103,60,69,200,10,2501,2501,2535,2767,266,232,-66,0.10311,JOB_ST_COMPLETED (3004)
26,job-26,232,103,60,69,200,11,2601,2601,2631,2863,262,232,-62,0.10311,JOB_ST_COMPLETED (3004)
27,job-27,232,103,60,69,220,12,2701,2701,2749,2981,280,232,-60,0.10311,JOB_ST_COMPLETED (3004)
28,job-28,232,103,60,69,220,13,2801,2801,2860,3092,291,232,-71,0.10311,JOB_ST_COMPLETED (3004)
29,job-29,232,103,60,69,320,12,2901,2901,2981,3213,312,232,8,0.10311,JOB_ST_COMPLETED (3004)
30,job-30,232,103,60,69,320,14,3001,3001,3041,3273,272,232,48,0.10311,JOB_ST_COMPLETED (3004)
31,job-31,119,103,16,0,380,12,3101,3101,3213,3332,231,119,149,0.05289,JOB_ST_FAILED (3005)
32,job-32,232,103,60,69,380,14,3201,3201,3273,3505,304,232,76,0.10311,JOB_ST_COMPLETED (3004)
33,job-33,232,103,60,69,380,12,3301,3301,3332,3564,263,232,117,0.10311,JOB_ST_COMPLETED (3004)
