ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
34,job-34,232,103,60,69,220,15,3401,3401,3456,3688,287,232,-67,0.10311,JOB_ST_COMPLETED (3004)
35,job-35,232,103,60,69,220,16,3501,3501,3549,3781,280,232,-60,0.10311,JOB_ST_COMPLETED (3004)
36,job-36,198,69,60,69,320,15,3601,3601,3688,3886,285,198,35,0.088,JOB_ST_COMPLETED (3004)
37,job-37,198,69,60,69,520,16,3701,3701,3781,3979,278,198,242,0.088,JOB_ST_COMPLETED (3004)
38,job-38,198,69,60,69,580,15,3801,3801,3886,4084,283,198,297,0.088,JOB_ST_COMPLETED (3004)
39,job-39,198,69,60,69,980,16,3901,3901,3979,4177,276,198,704,0.088,JOB_ST_COMPLETED (3004)
40,job-40,198,69,60,69,980,15,4001,4001,4084,4282,281,198,699,0.088,JOB_ST_COMPLETED (3004)
41,job-41,198,69,60,69,300,16,4101,4101,4177,4375,274,198,26,0.088,JOB_ST_COMPLETED (3004)
42,job-42,232,103,60,69,600,15,4201,4201,4282,4514,313,232,287,0.10311,JOB_ST_COMPLETED (3004)
43,job-43,232,103,60,69,900,16,4301,4301,4375,4607,306,232,594,0.10311,JOB_ST_COMPLETED (3004)
44,job-44,232,103,60,69,550,15,4401,4401,4514,4746,345,232,205,0.10311,JOB_ST_COMPLETED (3004)
45,job-45,232,103,60,69,200,17,4501,4501,4558,4790,289,232,-89,0.10311,JOB_ST_COMPLETED (3004)
46,job-46,232,103,60,69,200,18,4601,4601,4646,4878,277,232,-77,0.10311,JOB_ST_COMPLETED (3004)
47,job-47,232,103,60,69,220,19,4701,4701,4760,4992,291,232,-71,0.10311,JOB_ST_COMPLETED (3004)
48,job-48,232,103,60,69,220,20,4801,4801,4852,5084,283,232,-63,0.10311,JOB_ST_COMPLETED (3004)
49,job-49,232,103,60,69,320,21,4901,4901,4946,5178,277,232,43,0.10311,JOB_ST_COMPLETED (3004)
50,job-50,232,103,60,69,320,20,5001,5001,5084,5316,315,232,5,0.10311,JOB_ST_COMPLETED (3004)
51,job-51,146,103,43,0,380,21,5101,5101,5178,5324,223,146,157,0.06489,JOB_ST_FAILED (3005)
52,job-52,232,103,60,69,380,20,5201,5201,5316,5548,347,232,33,0.10311,JOB_ST_COMPLETED (3004)
53,job-53,232,103,60,69,380,21,5301,5301,5324,5556,255,232,125,0.10311,JOB_ST_COMPLETED (3004)
54,job-54,232,103,60,69,220,22,5401,5401,5461,5693,292,232,-72,0.10311,JOB_ST_COMPLETED (3004)
55,job-55,232,103,60,69,220,23,5501,5501,5552,5784,283,232,-63,0.10311,JOB_ST_COMPLETED (3004)
56,job-56,198,69,60,69,320,22,5601,5601,5693,5891,290,198,30,0.088,JOB_ST_COMPLETED (3004)
57,job-57,198,69,60,69,520,23,5701,5701,5784,5982,281,198,239,0.088,JOB_ST_COMPLETED (3004)
58,job-58,198,69,60,69,580,22,5801,5801,5891,6089,288,198,292,0.088,JOB_ST_COMPLETED (3004)
59,job-59,198,69,60,69,980,23,5901,5901,5982,6180,279,198,701,0.088,JOB_ST_COMPLETED (3004)
60,job-60,198,69,60,69,980,22,6001,6001,6089,6287,286,198,694,0.088,JOB_ST_COMPLETED (3004)
61,job-61,120,69,51,0,300,23,6101,6101,6180,6300,199,120,101,0.05333,JOB_ST_FAILED (3005)
62,job-62,232,103,60,69,600,22,6201,6201,6287,6519,318,232,282,0.10311,JOB_ST_COMPLETED (3004)
63,job-63,232,103,60,69,900,22,6301,6301,6519,6751,450,232,450,0.10311,JOB_ST_COMPLETED (3004)
64,job-64,232,103,60,69,550,24,6401,6401,6460,6692,291,232,259,0.10311,JOB_ST_COMPLETED (3004)
65,job-65,232,103,60,69,200,25,6501,6501,6553,6785,284,232,-84,0.10311,JOB_ST_COMPLETED (3004)
66,job-66,232,103,60,69,200,26,6601,6601,6633,6865,264,232,-64,0.10311,JOB_ST_COMPLETED (3004)
67,job-67,232,103,60,69,220,27,6701,6701,6742,6974,273,232,-53,0.10311,JOB_ST_COMPLETED (3004)
68,job-68,232,103,60,69,220,28,6801,6801,6850,7082,281,232,-61,0.10311,JOB_ST_COMPLETED (3004)
69,job-69,232,103,60,69,320,27,6901,6901,6974,7206,305,232,15,0.10311,JOB_ST_COMPLETED (3004)
70,job-70,232,103,60,69,320,28,7001,7001,7082,7314,313,232,7,0.10311,JOB_ST_COMPLETED (3004)
71,job-71,232,103,60,69,380,27,7101,7101,7206,7438,337,232,43,0.10311,JOB_ST_COMPLETED (3004)
72,job-72,232,103,60,69,380,28,7201,7201,7314,7546,345,232,35,0.10311,JOB_ST_COMPLETED (3004)
73,job-73,232,103,60,69,380,27,7301,7301,7438,7670,369,232,11,0.10311,JOB_ST_COMPLETED (3004)
74,job-74,232,103,60,69,220,29,7401,7401,7434,7666,265,232,-45,0.10311,JOB_ST_COMPLETED (3004)
75,job-75,232,103,60,69,220,30,7501,7501,7551,7783,282,232,-62,0.10311,JOB_ST_COMPLETED (3004)
76,job-76,198,69,60,69,320,29,7601,7601,7666,7864,263,198,57,0.088,JOB_ST_COMPLETED (3004)
77,job-77,198,69,60,69,520,30,7701,7701,7783,7981,280,198,240,0.088,JOB_ST_COMPLETED (3004)
78,job-78,198,69,60,69,580,29,7801,7801,7864,8062,261,198,319,0.088,JOB_ST_COMPLETED (3004)
79,job-79,198,69,60,69,980,30,7901,7901,7981,8179,278,198,702,0.088,JOB_ST_COMPLETED (3004)
80,job-80,198,69,60,69,980,29,8001,8001,8062,8260,259,198,721,0.088,JOB_ST_COMPLETED (3004)
81,job-81,198,69,60,69,300,30,8101,8101,8179,8377,276,198,24,0.088,JOB_ST_COMPLETED (3004)
82,job-82,232,103,60,69,600,29,8201,8201,8260,8492,291,232,309,0.10311,JOB_ST_COMPLETED (3004)
83,job-83,232,103,60,69,900,30,8301,8301,8377,8609,308,232,592,0.10311,JOB_ST_COMPLETED (3004)
84,job-84,232,103,60,69,550,29,8401,8401,8492,8724,323,232,227,0.10311,JOB_ST_COMPLETED (3004)
85,job-85,232,103,60,69,200,31,8501,8501,8544,8776,275,232,-75,0.10311,JOB_ST_COMPLETED (3004)
86,job-86,232,103,60,69,200,32,8601,8601,8640,8872,271,232,-71,0.10311,JOB_ST_COMPLETED (3004)
87,job-87,232,103,60,69,220,33,8701,8701,8761,8993,292,232,-72,0.10311,JOB_ST_COMPLETED (3004)
88,job-88,232,103,60,69,220,34,8801,8801,8840,9072,271,232,-51,0.10311,JOB_ST_COMPLETED (3004)
89,job-89,232,103,60,69,320,35,8901,8901,8961,9193,292,232,28,0.10311,JOB_ST_COMPLETED (3004)
90,job-90,232,103,60,69,320,34,9001,9001,9072,9304,303,232,17,0.10311,JOB_ST_COMPLETED (3004)
91,job-91,232,103,60,69,380,35,9101,9101,9193,9425,324,232,56,0.10311,JOB_ST_COMPLETED (3004)
92,job-92,121,103,18,0,380,34,9201,9201,9304,9425,224,121,156,0.05378,JOB_ST_FAILED (3005)
93,job-93,232,103,60,69,380,35,9301,9301,9425,9657,356,232,24,0.10311,JOB_ST_COMPLETED (3004)
94,job-94,232,103,60,69,220,36,9401,9401,9436,9668,267,232,-47,0.10311,JOB_ST_COMPLETED (3004)
95,job-95,232,103,60,69,220,37,9501,9501,9535,9767,266,232,-46,0.10311,JOB_ST_COMPLETED (3004)
96,job-96,198,69,60,69,320,35,9601,9601,9657,9855,254,198,66,0.088,JOB_ST_COMPLETED (3004)
97,job-97,198,69,60,69,520,37,9701,9701,9767,9965,264,198,256,0.088,JOB_ST_COMPLETED (3004)
98,job-98,198,69,60,69,580,35,9801,9801,9855,10053,252,198,328,0.088,JOB_ST_COMPLETED (3004)
99,job-99,198,69,60,69,980,37,9901,9901,9965,10163,262,198,718,0.088,JOB_ST_COMPLETED (3004)
100,job-100,198,69,60,69,980,35,10001,10001,10053,10251,250,198,730,0.088,JOB_ST_COMPLETED (3004)
