TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),274,10252,9978,95,49807360,23279.05

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,524288,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,274,343,10252,9909,495.45
SFO,2,1,524288,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,506,575,10252,9677,483.85
SFO,3,1,524288,Job-4,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,601,670,10252,9582,479.1
SFO,4,1,524288,Job-5,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,701,770,10252,9482,474.1
SFO,5,1,524288,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,738,807,10252,9445,472.25
SFO,6,1,524288,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,798,867,10252,9385,469.25
SFO,7,1,524288,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,921,990,10252,9262,463.1
SFO,8,1,524288,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1013,1082,10252,9170,458.5
SFO,9,1,524288,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1108,1177,10252,9075,453.75
SFO,10,1,524288,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1245,1314,10252,8938,446.9
SFO,11,1,524288,Job-12,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1477,1546,10252,8706,435.3
SFO,12,1,524288,Job-13,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1491,1560,10252,8692,434.6
SFO,13,1,524288,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1620,1689,10252,8563,428.15
SFO,14,1,524288,Job-15,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1723,1792,10252,8460,423.0
