CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
360,1,1,524288,0.85,0,0,1048576,0.0,0.0,0.01,0.01
420,1,1,524288,3.85,0,0,1048576,0.0,0.0,0.01,0.01
480,1,1,524288,6.85,0,0,1048576,0.0,0.0,0.01,0.01
540,1,2,524288,9.85,0,0,1048576,0.0,0.0,0.01,0.01
600,1,2,1048576,14.1,524288,0,1572864,0.01,0.0,0.015,0.025
660,1,3,1048576,20.1,524288,0,1572864,0.01,0.0,0.015,0.025
720,1,4,1572864,28.6,1048576,0,2097152,0.02,0.0,0.02,0.04
780,1,5,2097152,38.1,1572864,0,2621440,0.03,0.0,0.025,0.055
840,1,6,2621440,51.75,2097152,0,3145728,0.04,0.0,0.03,0.07
900,1,6,3145728,68.4,2621440,0,3670016,0.05,0.0,0.035,0.085
960,1,7,3145728,86.4,2621440,0,3670016,0.05,0.0,0.035,0.085
1020,1,8,3670016,105.9,3145728,0,4194304,0.06,0.0,0.04,0.1
1080,1,8,3670016,126.9,3145728,0,4194304,0.06,0.0,0.04,0.1
1140,1,9,4194304,150.8,3670016,0,4718592,0.07,0.0,0.045,0.115
1200,1,9,4718592,175.95,4194304,0,5242880,0.08,0.0,0.05,0.13
1260,1,10,4718592,202.95,4194304,0,5242880,0.08,0.0,0.05,0.13
1320,1,10,5242880,230.25,4718592,0,5767168,0.09,0.0,0.055,0.145
1380,1,10,5242880,260.25,5242880,0,5767168,0.1,0.0,0.055,0.155
1440,1,10,5242880,290.25,5242880,0,5767168,0.1,0.0,0.055,0.155
1500,1,12,5242880,320.25,5242880,0,5767168,0.1,0.0,0.055,0.155
1560,1,12,6291456,350.95,5767168,0,6291456,0.11,0.0,0.06,0.17
1620,1,13,6291456,386.95,6291456,0,6815744,0.12,0.0,0.065,0.185
1680,1,13,6291456,422.95,6291456,0,6815744,0.12,0.0,0.065,0.185
1740,1,14,6815744,461.5,6815744,0,7340032,0.13,0.0,0.07,0.2
1800,1,14,7340032,500.9,7340032,0,7864320,0.14,0.0,0.075,0.215
1860,1,15,7340032,542.9,7340032,0,7864320,0.14,0.0,0.075,0.215
1920,1,15,7864320,586.55,7340032,0,8912896,0.14,0.0,0.085,0.225
1980,1,16,7864320,631.55,7340032,0,8912896,0.14,0.0,0.085,0.225
2040,1,17,8388608,679.05,7340032,0,9961472,0.14,0.0,0.095,0.235
2100,1,17,8912896,727.8,7340032,0,11010048,0.14,0.0,0.105,0.245
2160,1,18,8912896,778.8,7340032,0,11010048,0.14,0.0,0.105,0.245
2220,1,19,9437184,831.4,7340032,0,12058624,0.14,0.0,0.115,0.255
2280,1,19,9437184,885.4,7340032,0,12058624,0.14,0.0,0.115,0.255
2340,1,20,9961472,942.25,7340032,0,13107200,0.14,0.0,0.125,0.265
2400,1,20,10485760,999.95,7340032,0,14155776,0.14,0.0,0.135,0.275
2460,1,21,10485760,1059.95,7340032,0,14155776,0.14,0.0,0.135,0.275
