CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
------------------------------------------------------------------------------------------------------
333	1	job-1	198	69	60	69	300	1	101	101	135	333	232	198	68	JOB_ST_COMPLETED (3004)
594	2	job-2	357	154	100	103	600	2	201	201	237	594	393	357	207	JOB_ST_COMPLETED (3004)
778	5	job-5	232	103	60	69	200	4	501	501	546	778	277	232	-77	JOB_ST_COMPLETED (3004)
883	6	job-6	232	103	60	69	200	5	601	601	651	883	282	232	-82	JOB_ST_COMPLETED (3004)
951	4	job-4	357	154	100	103	550	2	401	401	594	951	550	357	0	JOB_ST_COMPLETED (3004)
977	7	job-7	232	103	60	69	220	6	701	701	745	977	276	232	-56	JOB_ST_COMPLETED (3004)
1005	3	job-3	670	282	200	188	900	3	301	301	335	1005	704	670	196	JOB_ST_COMPLETED (3004)
1091	8	job-8	232	103	60	69	220	7	801	801	859	1091	290	232	-70	JOB_ST_COMPLETED (3004)
1209	9	job-9	232	103	60	69	320	6	901	901	977	1209	308	232	12	JOB_ST_COMPLETED (3004)
1269	10	job-10	232	103	60	69	320	8	1001	1001	1037	1269	268	232	52	JOB_ST_COMPLETED (3004)
1376	11	job-11	232	103	60	69	380	9	1101	1101	1144	1376	275	232	105	JOB_ST_COMPLETED (3004)
1415	12	job-12	162	103	59	0	380	10	1201	1201	1253	1415	214	162	166	JOB_ST_FAILED (3005)
1573	13	job-13	232	103	60	69	380	11	1301	1301	1341	1573	272	232	108	JOB_ST_COMPLETED (3004)
1683	14	job-14	232	103	60	69	220	12	1401	1401	1451	1683	282	232	-62	JOB_ST_COMPLETED (3004)
1788	15	job-15	232	103	60	69	220	13	1501	1501	1556	1788	287	232	-67	JOB_ST_COMPLETED (3004)
1846	16	job-16	198	69	60	69	320	14	1601	1601	1648	1846	245	198	75	JOB_ST_COMPLETED (3004)
2046	17	job-17	306	103	100	103	520	15	1701	1701	1740	2046	345	306	175	JOB_ST_COMPLETED (3004)
2157	18	job-18	306	103	100	103	580	16	1801	1801	1851	2157	356	306	224	JOB_ST_COMPLETED (3004)
2354	21	job-21	198	69	60	69	300	19	2101	2101	2156	2354	253	198	47	JOB_ST_COMPLETED (3004)
2602	22	job-22	357	154	100	103	600	20	2201	2201	2245	2602	401	357	199	JOB_ST_COMPLETED (3004)
2780	19	job-19	848	274	300	274	980	17	1901	1901	1932	2780	879	848	101	JOB_ST_COMPLETED (3004)
2811	24	job-24	357	154	100	103	550	22	2401	2401	2454	2811	410	357	140	JOB_ST_COMPLETED (3004)
2888	20	job-20	848	274	300	274	980	18	2001	2001	2040	2888	887	848	93	JOB_ST_COMPLETED (3004)
2959	25	job-25	357	154	100	103	200	20	2501	2501	2602	2959	458	357	-258	JOB_ST_COMPLETED (3004)
3006	23	job-23	670	282	200	188	900	21	2301	2301	2336	3006	705	670	195	JOB_ST_COMPLETED (3004)
