JOB_ID,IN_TS(KB),IN_DR,IN_COST($),OUT_TS_PLANNED(KB),OUTPUT_TS_ACTUAL(KB),OUT_DR,OUT_COST($),TOTAL_COST($)
70,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
71,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
72,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
73,524288,IFTD_OC (4203),0.01,524288,0,OFTD_IC (4204),0.0,0.01
74,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
75,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
76,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
77,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
78,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
79,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
80,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
81,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
82,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
83,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
84,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
85,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
86,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
87,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
88,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
89,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
90,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
91,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
92,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
93,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
94,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
95,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
96,524288,IFTD_IC (4202),0.005,524288,0,OFTD_IC (4204),0.0,0.005
97,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
98,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
99,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
100,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
