VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
1,239,0.8,VM-1,m3.large,VM_ST_TERMINATE (3103),101,135,340,34,1,204,0.854,0.142,0.004,339,0,False,None, -1
2,492,0.4,VM-2,m3.medium,VM_ST_TERMINATE (3103),201,257,693,56,1,435,0.884,0.114,0.002,692,0,False,None, -1
3,901,0.1,VM-3,t2.micro,VM_ST_TERMINATE (3103),301,352,1202,51,1,849,0.942,0.057,0.001,1201,0,False,None, -1
4,475,0.4,VM-4,m3.medium,VM_ST_TERMINATE (3103),401,440,876,39,1,435,0.916,0.082,0.002,875,0,False,None, -1
5,197,1.6,VM-5,m3.xlarge,VM_ST_TERMINATE (3103),501,550,698,49,1,147,0.746,0.249,0.005,697,0,False,None, -1
6,192,1.6,VM-6,m3.xlarge,VM_ST_TERMINATE (3103),601,645,793,44,1,147,0.766,0.229,0.005,792,0,False,None, -1
7,126,1.6,VM-7,m3.xlarge,VM_ST_TERMINATE (3103),701,760,827,59,1,66,0.524,0.468,0.008,826,0,False,None, -1
8,187,1.6,VM-8,m3.xlarge,VM_ST_TERMINATE (3103),801,840,988,39,1,147,0.786,0.209,0.005,987,0,False,None, -1
9,947,0.8,VM-9,m3.large,VM_ST_TERMINATE (3103),901,956,1848,55,4,891,0.941,0.058,0.001,1847,0,False,None, -1
10,496,0.8,VM-10,m3.large,VM_ST_TERMINATE (3103),1001,1038,1497,37,2,458,0.923,0.075,0.002,1496,0,False,None, -1
11,184,1.6,VM-11,m3.xlarge,VM_ST_TERMINATE (3103),1401,1437,1585,36,1,147,0.799,0.196,0.005,1584,0,False,None, -1
12,207,1.6,VM-12,m3.xlarge,VM_ST_TERMINATE (3103),1501,1560,1708,59,1,147,0.710,0.285,0.005,1707,0,False,None, -1
13,441,0.4,VM-13,m3.medium,VM_ST_TERMINATE (3103),1701,1753,2142,52,1,388,0.880,0.118,0.002,2141,0,False,None, -1
14,872,0.4,VM-14,m3.medium,VM_ST_TERMINATE (3103),1801,1849,2673,48,2,823,0.944,0.055,0.001,2672,0,False,None, -1
15,798,0.1,VM-15,t2.micro,VM_ST_TERMINATE (3103),1901,1938,2699,37,1,760,0.952,0.046,0.001,2698,0,False,None, -1
16,808,0.1,VM-16,t2.micro,VM_ST_TERMINATE (3103),2001,2048,2809,47,1,760,0.941,0.058,0.001,2808,0,False,None, -1
17,248,0.8,VM-17,m3.large,VM_ST_TERMINATE (3103),2101,2144,2349,43,1,204,0.823,0.173,0.004,2348,0,False,None, -1
18,899,0.1,VM-18,t2.micro,VM_ST_TERMINATE (3103),2301,2350,3200,49,1,849,0.944,0.055,0.001,3199,0,False,None, -1
19,470,0.4,VM-19,m3.medium,VM_ST_TERMINATE (3103),2401,2435,2871,34,1,435,0.926,0.072,0.002,2870,0,False,None, -1
20,501,1.6,VM-20,m3.xlarge,VM_ST_TERMINATE (3103),2501,2560,3002,59,3,441,0.880,0.118,0.002,3001,0,False,None, -1
21,192,1.6,VM-21,m3.xlarge,VM_ST_TERMINATE (3103),2601,2645,2793,44,1,147,0.766,0.229,0.005,2792,0,False,None, -1
22,786,0.8,VM-22,m3.large,VM_ST_TERMINATE (3103),2901,2941,3687,40,4,745,0.948,0.051,0.001,3686,0,False,None, -1
23,490,0.8,VM-23,m3.large,VM_ST_TERMINATE (3103),3001,3032,3491,31,2,458,0.935,0.063,0.002,3490,0,False,None, -1
24,207,1.6,VM-24,m3.xlarge,VM_ST_TERMINATE (3103),3401,3460,3608,59,1,147,0.710,0.285,0.005,3607,0,False,None, -1
25,205,1.6,VM-25,m3.xlarge,VM_ST_TERMINATE (3103),3501,3558,3706,57,1,147,0.717,0.278,0.005,3705,0,False,None, -1
26,430,0.4,VM-26,m3.medium,VM_ST_TERMINATE (3103),3701,3742,4131,41,1,388,0.902,0.095,0.002,4130,0,False,None, -1
27,862,0.4,VM-27,m3.medium,VM_ST_TERMINATE (3103),3801,3839,4663,38,2,823,0.955,0.044,0.001,4662,0,False,None, -1
28,812,0.1,VM-28,t2.micro,VM_ST_TERMINATE (3103),3901,3952,4713,51,1,760,0.936,0.063,0.001,4712,0,False,None, -1
29,792,0.1,VM-29,t2.micro,VM_ST_TERMINATE (3103),4001,4032,4793,31,1,760,0.960,0.039,0.001,4792,0,False,None, -1
30,253,0.8,VM-30,m3.large,VM_ST_TERMINATE (3103),4101,4149,4354,48,1,204,0.806,0.190,0.004,4353,0,False,None, -1
31,509,0.1,VM-31,t2.micro,VM_ST_TERMINATE (3103),4301,4352,4810,51,1,457,0.898,0.100,0.002,4809,0,False,None, -1
32,467,0.4,VM-32,m3.medium,VM_ST_TERMINATE (3103),4401,4432,4868,31,1,435,0.931,0.066,0.002,4867,0,False,None, -1
33,501,1.6,VM-33,m3.xlarge,VM_ST_TERMINATE (3103),4501,4560,5002,59,3,441,0.880,0.118,0.002,5001,0,False,None, -1
34,187,1.6,VM-34,m3.xlarge,VM_ST_TERMINATE (3103),4601,4640,4788,39,1,147,0.786,0.209,0.005,4787,0,False,None, -1
35,934,0.8,VM-35,m3.large,VM_ST_TERMINATE (3103),4901,4943,5835,42,4,891,0.954,0.045,0.001,5834,0,False,None, -1
36,492,0.8,VM-36,m3.large,VM_ST_TERMINATE (3103),5001,5034,5493,33,2,458,0.931,0.067,0.002,5492,0,False,None, -1
37,187,1.6,VM-37,m3.xlarge,VM_ST_TERMINATE (3103),5401,5440,5588,39,1,147,0.786,0.209,0.005,5587,0,False,None, -1
38,198,1.6,VM-38,m3.xlarge,VM_ST_TERMINATE (3103),5501,5551,5699,50,1,147,0.742,0.253,0.005,5698,0,False,None, -1
39,443,0.4,VM-39,m3.medium,VM_ST_TERMINATE (3103),5701,5755,6144,54,1,388,0.876,0.122,0.002,6143,0,False,None, -1
40,882,0.4,VM-40,m3.medium,VM_ST_TERMINATE (3103),5801,5859,6683,58,2,823,0.933,0.066,0.001,6682,0,False,None, -1
41,795,0.1,VM-41,t2.micro,VM_ST_TERMINATE (3103),5901,5935,6696,34,1,760,0.956,0.043,0.001,6695,0,False,None, -1
42,799,0.1,VM-42,t2.micro,VM_ST_TERMINATE (3103),6001,6039,6800,38,1,760,0.951,0.048,0.001,6799,0,False,None, -1
43,240,0.8,VM-43,m3.large,VM_ST_TERMINATE (3103),6101,6136,6341,35,1,204,0.850,0.146,0.004,6340,0,False,None, -1
44,903,0.1,VM-44,t2.micro,VM_ST_TERMINATE (3103),6301,6354,7204,53,1,849,0.940,0.059,0.001,7203,0,False,None, -1
45,474,0.4,VM-45,m3.medium,VM_ST_TERMINATE (3103),6401,6439,6875,38,1,435,0.918,0.080,0.002,6874,0,False,None, -1
46,501,1.6,VM-46,m3.xlarge,VM_ST_TERMINATE (3103),6501,6560,7002,59,3,441,0.880,0.118,0.002,7001,0,False,None, -1
47,193,1.6,VM-47,m3.xlarge,VM_ST_TERMINATE (3103),6601,6646,6794,45,1,147,0.762,0.233,0.005,6793,0,False,None, -1
48,661,0.8,VM-48,m3.large,VM_ST_TERMINATE (3103),6901,6933,7562,32,3,628,0.950,0.048,0.002,7561,0,False,None, -1
49,496,0.8,VM-49,m3.large,VM_ST_TERMINATE (3103),7001,7038,7497,37,2,458,0.923,0.075,0.002,7496,0,False,None, -1
50,190,1.6,VM-50,m3.xlarge,VM_ST_TERMINATE (3103),7401,7443,7591,42,1,147,0.774,0.221,0.005,7590,0,False,None, -1
51,198,1.6,VM-51,m3.xlarge,VM_ST_TERMINATE (3103),7501,7551,7699,50,1,147,0.742,0.253,0.005,7698,0,False,None, -1
52,245,0.8,VM-52,m3.large,VM_ST_TERMINATE (3103),7601,7641,7846,40,1,204,0.833,0.163,0.004,7845,0,False,None, -1
53,443,0.4,VM-53,m3.medium,VM_ST_TERMINATE (3103),7701,7755,8144,54,1,388,0.876,0.122,0.002,8143,0,False,None, -1
54,879,0.4,VM-54,m3.medium,VM_ST_TERMINATE (3103),7801,7856,8680,55,2,823,0.936,0.063,0.001,8679,0,False,None, -1
55,810,0.1,VM-55,t2.micro,VM_ST_TERMINATE (3103),7901,7950,8711,49,1,760,0.938,0.060,0.001,8710,0,False,None, -1
56,798,0.1,VM-56,t2.micro,VM_ST_TERMINATE (3103),8001,8038,8799,37,1,760,0.952,0.046,0.001,8798,0,False,None, -1
57,235,0.8,VM-57,m3.large,VM_ST_TERMINATE (3103),8101,8131,8336,30,1,204,0.868,0.128,0.004,8335,0,False,None, -1
58,892,0.1,VM-58,t2.micro,VM_ST_TERMINATE (3103),8301,8343,9193,42,1,849,0.952,0.047,0.001,9192,0,False,None, -1
59,470,0.4,VM-59,m3.medium,VM_ST_TERMINATE (3103),8401,8435,8871,34,1,435,0.926,0.072,0.002,8870,0,False,None, -1
60,185,1.6,VM-60,m3.xlarge,VM_ST_TERMINATE (3103),8501,8538,8686,37,1,147,0.795,0.200,0.005,8685,0,False,None, -1
61,352,1.6,VM-61,m3.xlarge,VM_ST_TERMINATE (3103),8601,8658,8953,57,2,294,0.835,0.162,0.003,8952,0,False,None, -1
62,181,1.6,VM-62,m3.xlarge,VM_ST_TERMINATE (3103),8701,8734,8882,33,1,147,0.812,0.182,0.006,8881,0,False,None, -1
63,831,0.8,VM-63,m3.large,VM_ST_TERMINATE (3103),8901,8950,9732,49,4,781,0.940,0.059,0.001,9731,0,False,None, -1
64,501,0.8,VM-64,m3.large,VM_ST_TERMINATE (3103),9001,9043,9502,42,2,458,0.914,0.084,0.002,9501,0,False,None, -1
65,182,1.6,VM-65,m3.xlarge,VM_ST_TERMINATE (3103),9401,9435,9583,34,1,147,0.808,0.187,0.005,9582,0,False,None, -1
66,178,1.6,VM-66,m3.xlarge,VM_ST_TERMINATE (3103),9501,9531,9679,30,1,147,0.826,0.169,0.006,9678,0,False,None, -1
67,423,0.4,VM-67,m3.medium,VM_ST_TERMINATE (3103),9701,9735,10124,34,1,388,0.917,0.080,0.002,10123,0,False,None, -1
68,423,0.4,VM-68,m3.medium,VM_ST_TERMINATE (3103),9801,9835,10224,34,1,388,0.917,0.080,0.002,10223,0,False,None, -1
69,808,0.1,VM-69,t2.micro,VM_ST_TERMINATE (3103),9901,9948,10709,47,1,760,0.941,0.058,0.001,10708,0,False,None, -1
70,813,0.1,VM-70,t2.micro,VM_ST_TERMINATE (3103),10001,10053,10814,52,1,760,0.935,0.064,0.001,10813,0,False,None, -1
