CLOCK,JOB_RECV(CUMM),JOB_RECV(UNIT),JOB_COMP(CUMM),JOB_COMP(UNIT),VM_RUN,VM_STUP,VM_ACT,VM_STOP,VM_COST($)
60,0,0,0,0,0,0,0,0,0
120,1,1,0,0,1,1,0,0,0.8
180,1,0,0,0,1,0,1,0,0.8
240,2,1,0,0,2,1,1,0,1.2
300,2,0,0,0,2,0,2,0,1.2
360,3,1,1,1,2,0,2,1,1.3
420,4,1,1,0,3,1,2,1,1.7
480,4,0,1,0,3,0,3,1,1.7
540,5,1,1,0,4,1,3,1,3.3
600,5,0,1,0,4,0,4,1,3.3
660,6,1,1,0,5,0,5,1,4.9
720,7,1,3,2,4,1,3,3,6.5
780,7,0,3,0,4,0,4,3,6.5
840,8,1,5,2,3,1,2,5,8.1
900,8,0,6,1,2,0,2,6,8.1
960,9,1,6,0,3,0,3,6,8.9
1020,10,1,7,1,3,1,2,7,9.7
1080,10,0,7,0,3,0,3,7,9.7
1140,11,1,7,0,3,0,3,7,9.7
1200,11,0,8,1,3,0,3,7,9.7
1260,12,1,9,1,2,0,2,8,9.7
1320,13,1,10,1,2,0,2,8,9.7
1380,13,0,10,0,2,0,2,8,9.7
1440,14,1,11,1,3,0,3,8,11.3
1500,14,0,12,1,2,0,2,9,11.3
1560,15,1,12,0,3,1,2,9,12.9
1620,16,1,13,1,2,0,2,10,12.9
1680,16,0,14,1,2,0,2,10,12.9
1740,17,1,15,1,2,1,1,11,13.3
1800,17,0,15,0,2,0,2,11,13.3
1860,18,1,16,1,2,0,2,12,13.7
1920,19,1,16,0,3,1,2,12,13.8
1980,19,0,16,0,3,0,3,12,13.8
2040,20,1,16,0,4,1,3,12,13.9
2100,20,0,16,0,4,0,4,12,13.9
2160,21,1,17,1,4,0,4,13,14.7
2220,22,1,17,0,4,0,4,13,14.7
2280,22,0,18,1,4,0,4,13,14.7
2340,23,1,18,0,5,1,4,13,14.8
2400,23,0,19,1,4,0,4,14,14.8
2460,24,1,19,0,5,0,5,14,15.2
2520,25,1,19,0,6,1,5,14,16.8
2580,25,0,19,0,6,0,6,14,16.8
2640,26,1,19,0,7,1,6,14,18.4
2700,26,0,21,2,5,0,5,16,18.4
2760,27,1,22,1,5,0,5,16,18.4
2820,28,1,24,2,3,0,3,18,18.4
2880,28,0,26,2,2,0,2,19,18.4
2940,29,1,26,0,3,1,2,19,19.2
3000,29,0,26,0,3,0,3,19,19.2
3060,30,1,27,1,3,0,3,20,20.0
3120,31,1,27,0,3,0,3,20,20.0
3180,31,0,28,1,3,0,3,20,20.0
3240,32,1,29,1,2,0,2,21,20.0
3300,32,0,30,1,2,0,2,21,20.0
3360,33,1,30,0,2,0,2,21,20.0
3420,34,1,31,1,3,1,2,21,21.6
3480,34,0,31,0,3,0,3,21,21.6
3540,35,1,32,1,3,1,2,22,23.2
3600,35,0,32,0,3,0,3,22,23.2
3660,36,1,34,2,2,0,2,23,23.2
3720,37,1,36,2,1,1,0,25,23.6
3780,37,0,36,0,1,0,1,25,23.6
3840,38,1,36,0,2,0,2,25,24.0
3900,38,0,36,0,2,0,2,25,24.0
3960,39,1,36,0,3,0,3,25,24.1
4020,40,1,36,0,4,1,3,25,24.2
4080,40,0,36,0,4,0,4,25,24.2
4140,41,1,37,1,4,1,3,26,25.0
4200,41,0,37,0,4,0,4,26,25.0
4260,42,1,38,1,4,0,4,26,25.0
4320,43,1,38,0,5,1,4,26,25.1
4380,43,0,39,1,4,0,4,27,25.1
4440,44,1,39,0,5,0,5,27,25.5
4500,44,0,39,0,5,0,5,27,25.5
4560,45,1,39,0,6,1,5,27,27.1
4620,46,1,39,0,7,1,6,27,28.7
4680,46,0,40,1,6,0,6,28,28.7
4740,47,1,42,2,5,0,5,29,28.7
4800,47,0,44,2,3,0,3,31,28.7
4860,48,1,46,2,2,0,2,32,28.7
4920,49,1,47,1,2,1,1,33,29.5
4980,49,0,47,0,2,0,2,33,29.5
5040,50,1,48,1,2,0,2,34,30.3
5100,50,0,48,0,2,0,2,34,30.3
5160,51,1,48,0,2,0,2,34,30.3
5220,52,1,49,1,2,0,2,34,30.3
5280,52,0,50,1,2,0,2,34,30.3
5340,53,1,50,0,2,0,2,34,30.3
5400,53,0,50,0,2,0,2,34,30.3
5460,54,1,51,1,3,0,3,34,31.9
5520,55,1,52,1,3,1,2,35,33.5
5580,55,0,52,0,3,0,3,35,33.5
5640,56,1,54,2,2,0,2,36,33.5
5700,56,0,55,1,1,0,1,37,33.5
5760,57,1,55,0,2,0,2,37,33.9
5820,58,1,55,0,3,1,2,37,34.3
5880,58,0,56,1,2,0,2,38,34.3
5940,59,1,56,0,3,0,3,38,34.4
6000,59,0,56,0,3,0,3,38,34.4
6060,60,1,56,0,4,0,4,38,34.5
6120,61,1,56,0,5,1,4,38,35.3
6180,61,0,57,1,4,0,4,39,35.3
6240,62,1,57,0,4,0,4,39,35.3
6300,62,0,58,1,4,0,4,39,35.3
6360,63,1,59,1,4,0,4,40,35.4
6420,64,1,59,0,5,1,4,40,35.8
6480,64,0,59,0,5,0,5,40,35.8
6540,65,1,59,0,6,1,5,40,37.4
6600,65,0,59,0,6,0,6,40,37.4
6660,66,1,59,0,7,0,7,40,39.0
6720,67,1,62,3,5,0,5,42,39.0
6780,67,0,62,0,5,0,5,42,39.0
6840,68,1,64,2,3,0,3,44,39.0
6900,68,0,66,2,2,0,2,45,39.0
6960,69,1,66,0,3,0,3,45,39.8
7020,70,1,67,1,3,1,2,46,40.6
7080,70,0,67,0,3,0,3,46,40.6
7140,71,1,67,0,3,0,3,46,40.6
7200,71,0,68,1,3,0,3,46,40.6
7260,72,1,69,1,2,0,2,47,40.6
7320,73,1,70,1,2,0,2,47,40.6
7380,73,0,70,0,2,0,2,47,40.6
7440,74,1,71,1,3,1,2,47,42.2
7500,74,0,72,1,2,0,2,48,42.2
7560,75,1,72,0,3,0,3,48,43.8
7620,76,1,74,2,2,1,1,50,44.6
7680,76,0,74,0,2,0,2,50,44.6
7740,77,1,75,1,2,1,1,51,45.0
7800,77,0,75,0,2,0,2,51,45.0
