CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
360,1,1,524288,1.05,0,0,1048576,0.0,0.0,0.01,0.01
420,1,1,524288,4.05,0,0,1048576,0.0,0.0,0.01,0.01
480,1,1,524288,7.05,0,0,1048576,0.0,0.0,0.01,0.01
540,1,1,524288,10.05,0,0,1048576,0.0,0.0,0.01,0.01
600,1,2,524288,13.05,0,0,1048576,0.0,0.0,0.01,0.01
660,1,2,524288,16.05,0,0,1048576,0.0,0.0,0.01,0.01
720,1,3,1572864,21.6,1048576,0,2097152,0.02,0.0,0.02,0.04
780,1,4,1572864,30.6,1048576,0,2097152,0.02,0.0,0.02,0.04
840,1,5,2097152,42.0,2097152,0,2621440,0.04,0.0,0.025,0.065
900,1,5,2621440,55.25,2621440,0,3145728,0.05,0.0,0.03,0.08
960,1,6,2621440,70.25,2621440,0,3145728,0.05,0.0,0.03,0.08
1020,1,6,3145728,86.9,3145728,0,3670016,0.06,0.0,0.035,0.095
1080,1,7,3145728,104.9,3145728,0,3670016,0.06,0.0,0.035,0.095
1140,1,8,3145728,122.9,3145728,0,3670016,0.06,0.0,0.035,0.095
1200,1,8,3670016,141.65,3670016,0,4194304,0.07,0.0,0.04,0.11
1260,1,9,4194304,165.6,4194304,0,4718592,0.08,0.0,0.045,0.125
1320,1,9,4718592,192.25,4718592,0,5242880,0.09,0.0,0.05,0.14
1380,1,10,4718592,219.25,4718592,0,5242880,0.09,0.0,0.05,0.14
1440,1,10,5242880,247.55,5242880,0,5767168,0.1,0.0,0.055,0.155
1500,1,11,5767168,277.75,5767168,0,6291456,0.11,0.0,0.06,0.17
1560,1,12,5767168,310.75,5767168,0,6291456,0.11,0.0,0.06,0.17
1620,1,13,6291456,345.55,6291456,0,6815744,0.12,0.0,0.065,0.185
1680,1,14,6815744,383.4,6815744,0,7340032,0.13,0.0,0.07,0.2
1740,1,14,7340032,424.05,7340032,0,7864320,0.14,0.0,0.075,0.215
1800,1,15,7340032,466.05,7340032,0,7864320,0.14,0.0,0.075,0.215
1860,1,15,7864320,508.7,7340032,0,8912896,0.14,0.0,0.085,0.225
1920,1,15,7864320,553.7,7340032,0,8912896,0.14,0.0,0.085,0.225
1980,1,15,7864320,598.7,7340032,0,8912896,0.14,0.0,0.085,0.225
2040,1,15,7864320,643.7,7340032,0,8912896,0.14,0.0,0.085,0.225
2100,1,16,7864320,688.7,7340032,0,8912896,0.14,0.0,0.085,0.225
2160,1,17,8388608,734.65,7340032,0,9961472,0.14,0.0,0.095,0.235
2220,1,17,8388608,782.65,7340032,0,9961472,0.14,0.0,0.095,0.235
2280,1,17,8912896,832.8,7340032,0,11010048,0.14,0.0,0.105,0.245
2340,1,18,8912896,883.8,7340032,0,11010048,0.14,0.0,0.105,0.245
2400,1,18,9437184,937.4,7340032,0,12058624,0.14,0.0,0.115,0.255
2460,1,18,9437184,991.4,7340032,0,12058624,0.14,0.0,0.115,0.255
