CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
65554	19	job-19	13714	6827	60	6827	980	4	1901	1901	51840	65554	63653	13714	-62673	JOB_ST_COMPLETED (3004)
65646	20	job-20	13714	6827	60	6827	980	5	2001	2001	51932	65646	63645	13714	-62665	JOB_ST_COMPLETED (3004)
68716	21	job-21	13714	6827	60	6827	300	1	2101	2101	55002	68716	66615	13714	-66315	JOB_ST_COMPLETED (3004)
82471	22	job-22	17127	10240	60	6827	600	2	2201	2201	65344	82471	80270	17127	-79670	JOB_ST_COMPLETED (3004)
82561	23	job-23	17127	10240	60	6827	900	3	2301	2301	65434	82561	80260	17127	-79360	JOB_ST_COMPLETED (3004)
82681	24	job-24	17127	10240	60	6827	550	4	2401	2401	65554	82681	80280	17127	-79730	JOB_ST_COMPLETED (3004)
82773	25	job-25	17127	10240	60	6827	200	5	2501	2501	65646	82773	80272	17127	-80072	JOB_ST_COMPLETED (3004)
85843	26	job-26	17127	10240	60	6827	200	1	2601	2601	68716	85843	83242	17127	-83042	JOB_ST_COMPLETED (3004)
92935	29	job-29	10254	10240	14	0	320	4	2901	2901	82681	92935	90034	10254	-89714	JOB_ST_FAILED (3005)
99598	27	job-27	17127	10240	60	6827	220	2	2701	2701	82471	99598	96897	17127	-96677	JOB_ST_COMPLETED (3004)
99688	28	job-28	17127	10240	60	6827	220	3	2801	2801	82561	99688	96887	17127	-96667	JOB_ST_COMPLETED (3004)
99900	30	job-30	17127	10240	60	6827	320	5	3001	3001	82773	99900	96899	17127	-96579	JOB_ST_COMPLETED (3004)
102970	31	job-31	17127	10240	60	6827	380	1	3101	3101	85843	102970	99869	17127	-99489	JOB_ST_COMPLETED (3004)
110062	34	job-34	17127	10240	60	6827	220	4	3401	3401	92935	110062	106661	17127	-106441	JOB_ST_COMPLETED (3004)
116684	36	job-36	13714	6827	60	6827	320	1	3601	3601	102970	116684	113083	13714	-112763	JOB_ST_COMPLETED (3004)
116725	32	job-32	17127	10240	60	6827	380	2	3201	3201	99598	116725	113524	17127	-113144	JOB_ST_COMPLETED (3004)
116815	33	job-33	17127	10240	60	6827	380	3	3301	3301	99688	116815	113514	17127	-113134	JOB_ST_COMPLETED (3004)
117027	35	job-35	17127	10240	60	6827	220	5	3501	3501	99900	117027	113526	17127	-113306	JOB_ST_COMPLETED (3004)
123776	39	job-39	13714	6827	60	6827	980	4	3901	3901	110062	123776	119875	13714	-118895	JOB_ST_COMPLETED (3004)
130398	41	job-41	13714	6827	60	6827	300	1	4101	4101	116684	130398	126297	13714	-125997	JOB_ST_COMPLETED (3004)
130439	37	job-37	13714	6827	60	6827	520	2	3701	3701	116725	130439	126738	13714	-126218	JOB_ST_COMPLETED (3004)
130529	38	job-38	13714	6827	60	6827	580	3	3801	3801	116815	130529	126728	13714	-126148	JOB_ST_COMPLETED (3004)
130741	40	job-40	13714	6827	60	6827	980	5	4001	4001	117027	130741	126740	13714	-125760	JOB_ST_COMPLETED (3004)
140903	44	job-44	17127	10240	60	6827	550	4	4401	4401	123776	140903	136502	17127	-135952	JOB_ST_COMPLETED (3004)
147525	46	job-46	17127	10240	60	6827	200	1	4601	4601	130398	147525	142924	17127	-142724	JOB_ST_COMPLETED (3004)
147566	42	job-42	17127	10240	60	6827	600	2	4201	4201	130439	147566	143365	17127	-142765	JOB_ST_COMPLETED (3004)
147656	43	job-43	17127	10240	60	6827	900	3	4301	4301	130529	147656	143355	17127	-142455	JOB_ST_COMPLETED (3004)
147868	45	job-45	17127	10240	60	6827	200	5	4501	4501	130741	147868	143367	17127	-143167	JOB_ST_COMPLETED (3004)
157926	48	job-48	10270	10240	30	0	220	3	4801	4801	147656	157926	153125	10270	-152905	JOB_ST_FAILED (3005)
158030	49	job-49	17127	10240	60	6827	320	4	4901	4901	140903	158030	153129	17127	-152809	JOB_ST_COMPLETED (3004)
164652	51	job-51	17127	10240	60	6827	380	1	5101	5101	147525	164652	159551	17127	-159171	JOB_ST_COMPLETED (3004)
164693	47	job-47	17127	10240	60	6827	220	2	4701	4701	147566	164693	159992	17127	-159772	JOB_ST_COMPLETED (3004)
164995	50	job-50	17127	10240	60	6827	320	5	5001	5001	147868	164995	159994	17127	-159674	JOB_ST_COMPLETED (3004)
175053	53	job-53	17127	10240	60	6827	380	3	5301	5301	157926	175053	169752	17127	-169372	JOB_ST_COMPLETED (3004)
175157	54	job-54	17127	10240	60	6827	220	4	5401	5401	158030	175157	169756	17127	-169536	JOB_ST_COMPLETED (3004)
178366	56	job-56	13714	6827	60	6827	320	1	5601	5601	164652	178366	172765	13714	-172445	JOB_ST_COMPLETED (3004)
181820	52	job-52	17127	10240	60	6827	380	2	5201	5201	164693	181820	176619	17127	-176239	JOB_ST_COMPLETED (3004)
182122	55	job-55	17127	10240	60	6827	220	5	5501	5501	164995	182122	176621	17127	-176401	JOB_ST_COMPLETED (3004)
188767	58	job-58	13714	6827	60	6827	580	3	5801	5801	175053	188767	182966	13714	-182386	JOB_ST_COMPLETED (3004)
188871	59	job-59	13714	6827	60	6827	980	4	5901	5901	175157	188871	182970	13714	-181990	JOB_ST_COMPLETED (3004)
192080	61	job-61	13714	6827	60	6827	300	1	6101	6101	178366	192080	185979	13714	-185679	JOB_ST_COMPLETED (3004)
195534	57	job-57	13714	6827	60	6827	520	2	5701	5701	181820	195534	189833	13714	-189313	JOB_ST_COMPLETED (3004)
195836	60	job-60	13714	6827	60	6827	980	5	6001	6001	182122	195836	189835	13714	-188855	JOB_ST_COMPLETED (3004)
205894	63	job-63	17127	10240	60	6827	900	3	6301	6301	188767	205894	199593	17127	-198693	JOB_ST_COMPLETED (3004)
205998	64	job-64	17127	10240	60	6827	550	4	6401	6401	188871	205998	199597	17127	-199047	JOB_ST_COMPLETED (3004)
209207	66	job-66	17127	10240	60	6827	200	1	6601	6601	192080	209207	202606	17127	-202406	JOB_ST_COMPLETED (3004)
212661	62	job-62	17127	10240	60	6827	600	2	6201	6201	195534	212661	206460	17127	-205860	JOB_ST_COMPLETED (3004)
212963	65	job-65	17127	10240	60	6827	200	5	6501	6501	195836	212963	206462	17127	-206262	JOB_ST_COMPLETED (3004)
223021	68	job-68	17127	10240	60	6827	220	3	6801	6801	205894	223021	216220	17127	-216000	JOB_ST_COMPLETED (3004)
223125	69	job-69	17127	10240	60	6827	320	4	6901	6901	205998	223125	216224	17127	-215904	JOB_ST_COMPLETED (3004)
226334	71	job-71	17127	10240	60	6827	380	1	7101	7101	209207	226334	219233	17127	-218853	JOB_ST_COMPLETED (3004)
229788	67	job-67	17127	10240	60	6827	220	2	6701	6701	212661	229788	223087	17127	-222867	JOB_ST_COMPLETED (3004)
230090	70	job-70	17127	10240	60	6827	320	5	7001	7001	212963	230090	223089	17127	-222769	JOB_ST_COMPLETED (3004)
240048	76	job-76	13714	6827	60	6827	320	1	7601	7601	226334	240048	232447	13714	-232127	JOB_ST_COMPLETED (3004)
240148	73	job-73	17127	10240	60	6827	380	3	7301	7301	223021	240148	232847	17127	-232467	JOB_ST_COMPLETED (3004)
240252	74	job-74	17127	10240	60	6827	220	4	7401	7401	223125	240252	232851	17127	-232631	JOB_ST_COMPLETED (3004)
246915	72	job-72	17127	10240	60	6827	380	2	7201	7201	229788	246915	239714	17127	-239334	JOB_ST_COMPLETED (3004)
247025	79	job-79	6877	6827	50	0	980	3	7901	7901	240148	247025	239124	6877	-238144	JOB_ST_FAILED (3005)
247217	75	job-75	17127	10240	60	6827	220	5	7501	7501	230090	247217	239716	17127	-239496	JOB_ST_COMPLETED (3004)
253762	77	job-77	13714	6827	60	6827	520	1	7701	7701	240048	253762	246061	13714	-245541	JOB_ST_COMPLETED (3004)
253966	80	job-80	13714	6827	60	6827	980	4	8001	8001	240252	253966	245965	13714	-244985	JOB_ST_COMPLETED (3004)
254067	81	job-81	6850	6827	23	0	300	5	8101	8101	247217	254067	245966	6850	-245666	JOB_ST_FAILED (3005)
260629	78	job-78	13714	6827	60	6827	580	2	7801	7801	246915	260629	252828	13714	-252248	JOB_ST_COMPLETED (3004)
264152	84	job-84	17127	10240	60	6827	550	3	8401	8401	247025	264152	255751	17127	-255201	JOB_ST_COMPLETED (3004)
270889	82	job-82	17127	10240	60	6827	600	1	8201	8201	253762	270889	262688	17127	-262088	JOB_ST_COMPLETED (3004)
271093	85	job-85	17127	10240	60	6827	200	4	8501	8501	253966	271093	262592	17127	-262392	JOB_ST_COMPLETED (3004)
271194	86	job-86	17127	10240	60	6827	200	5	8601	8601	254067	271194	262593	17127	-262393	JOB_ST_COMPLETED (3004)
277756	83	job-83	17127	10240	60	6827	900	2	8301	8301	260629	277756	269455	17127	-268555	JOB_ST_COMPLETED (3004)
281279	89	job-89	17127	10240	60	6827	320	3	8901	8901	264152	281279	272378	17127	-272058	JOB_ST_COMPLETED (3004)
288016	87	job-87	17127	10240	60	6827	220	1	8701	8701	270889	288016	279315	17127	-279095	JOB_ST_COMPLETED (3004)
288220	90	job-90	17127	10240	60	6827	320	4	9001	9001	271093	288220	279219	17127	-278899	JOB_ST_COMPLETED (3004)
288321	91	job-91	17127	10240	60	6827	380	5	9101	9101	271194	288321	279220	17127	-278840	JOB_ST_COMPLETED (3004)
294883	88	job-88	17127	10240	60	6827	220	2	8801	8801	277756	294883	286082	17127	-285862	JOB_ST_COMPLETED (3004)
298406	94	job-94	17127	10240	60	6827	220	3	9401	9401	281279	298406	289005	17127	-288785	JOB_ST_COMPLETED (3004)
302035	96	job-96	13714	6827	60	6827	320	5	9601	9601	288321	302035	292434	13714	-292114	JOB_ST_COMPLETED (3004)
305143	92	job-92	17127	10240	60	6827	380	1	9201	9201	288016	305143	295942	17127	-295562	JOB_ST_COMPLETED (3004)
305347	95	job-95	17127	10240	60	6827	220	4	9501	9501	288220	305347	295846	17127	-295626	JOB_ST_COMPLETED (3004)
312010	93	job-93	17127	10240	60	6827	380	2	9301	9301	294883	312010	302709	17127	-302329	JOB_ST_COMPLETED (3004)
312120	100	job-100	13714	6827	60	6827	980	3	10001	10001	298406	312120	302119	13714	-301139	JOB_ST_COMPLETED (3004)
315749	97	job-97	13714	6827	60	6827	520	5	9701	9701	302035	315749	306048	13714	-305528	JOB_ST_COMPLETED (3004)
318857	98	job-98	13714	6827	60	6827	580	1	9801	9801	305143	318857	309056	13714	-308476	JOB_ST_COMPLETED (3004)
325724	99	job-99	13714	6827	60	6827	980	2	9901	9901	312010	325724	315823	13714	-314843	JOB_ST_COMPLETED (3004)
