CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
------------------------------------------------------------------------------------------------------
13872	1	job-1	13714	6827	60	6827	300	1	101	101	158	13872	13771	13714	-13471	JOB_ST_COMPLETED (3004)
17376	2	job-2	17127	10240	60	6827	600	2	201	201	249	17376	17175	17127	-16575	JOB_ST_COMPLETED (3004)
17466	3	job-3	17127	10240	60	6827	900	3	301	301	339	17466	17165	17127	-16265	JOB_ST_COMPLETED (3004)
17586	4	job-4	17127	10240	60	6827	550	4	401	401	459	17586	17185	17127	-16635	JOB_ST_COMPLETED (3004)
17678	5	job-5	17127	10240	60	6827	200	5	501	501	551	17678	17177	17127	-16977	JOB_ST_COMPLETED (3004)
30999	6	job-6	17127	10240	60	6827	200	1	601	601	13872	30999	30398	17127	-30198	JOB_ST_COMPLETED (3004)
34503	7	job-7	17127	10240	60	6827	220	2	701	701	17376	34503	33802	17127	-33582	JOB_ST_COMPLETED (3004)
34593	8	job-8	17127	10240	60	6827	220	3	801	801	17466	34593	33792	17127	-33572	JOB_ST_COMPLETED (3004)
34713	9	job-9	17127	10240	60	6827	320	4	901	901	17586	34713	33812	17127	-33492	JOB_ST_COMPLETED (3004)
34805	10	job-10	17127	10240	60	6827	320	5	1001	1001	17678	34805	33804	17127	-33484	JOB_ST_COMPLETED (3004)
41288	11	job-11	10289	10240	49	0	380	1	1101	1101	30999	41288	40187	10289	-39807	JOB_ST_FAILED (3005)
51630	12	job-12	17127	10240	60	6827	380	2	1201	1201	34503	51630	50429	17127	-50049	JOB_ST_COMPLETED (3004)
51720	13	job-13	17127	10240	60	6827	380	3	1301	1301	34593	51720	50419	17127	-50039	JOB_ST_COMPLETED (3004)
51840	14	job-14	17127	10240	60	6827	220	4	1401	1401	34713	51840	50439	17127	-50219	JOB_ST_COMPLETED (3004)
51932	15	job-15	17127	10240	60	6827	220	5	1501	1501	34805	51932	50431	17127	-50211	JOB_ST_COMPLETED (3004)
55002	16	job-16	13714	6827	60	6827	320	1	1601	1601	41288	55002	53401	13714	-53081	JOB_ST_COMPLETED (3004)
65344	17	job-17	13714	6827	60	6827	520	2	1701	1701	51630	65344	63643	13714	-63123	JOB_ST_COMPLETED (3004)
65434	18	job-18	13714	6827	60	6827	580	3	1801	1801	51720	65434	63633	13714	-63053	JOB_ST_COMPLETED (3004)
