CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
5962	55	job-55	402	205	60	137	220	48	5501	5501	5560	5962	461	402	-241	JOB_ST_COMPLETED (3004)
5991	56	job-56	334	137	60	137	320	49	5601	5601	5657	5991	390	334	-70	JOB_ST_COMPLETED (3004)
6087	57	job-57	334	137	60	137	520	50	5701	5701	5753	6087	386	334	134	JOB_ST_COMPLETED (3004)
6367	58	job-58	510	205	100	205	580	51	5801	5801	5857	6367	566	510	14	JOB_ST_COMPLETED (3004)
6461	59	job-59	510	205	100	205	980	52	5901	5901	5951	6461	560	510	420	JOB_ST_COMPLETED (3004)
6494	61	job-61	334	137	60	137	300	54	6101	6101	6160	6494	393	334	-93	JOB_ST_COMPLETED (3004)
6549	60	job-60	510	205	100	205	980	53	6001	6001	6039	6549	548	510	432	JOB_ST_COMPLETED (3004)
6651	62	job-62	402	205	60	137	600	55	6201	6201	6249	6651	450	402	150	JOB_ST_COMPLETED (3004)
6896	64	job-64	402	205	60	137	550	54	6401	6401	6494	6896	495	402	55	JOB_ST_COMPLETED (3004)
6933	65	job-65	402	205	60	137	200	56	6501	6501	6531	6933	432	402	-232	JOB_ST_COMPLETED (3004)
6980	63	job-63	613	308	100	205	900	51	6301	6301	6367	6980	679	613	221	JOB_ST_COMPLETED (3004)
7042	66	job-66	402	205	60	137	200	57	6601	6601	6640	7042	441	402	-241	JOB_ST_COMPLETED (3004)
7133	67	job-67	402	205	60	137	220	58	6701	6701	6731	7133	432	402	-212	JOB_ST_COMPLETED (3004)
7298	68	job-68	402	205	60	137	220	54	6801	6801	6896	7298	497	402	-277	JOB_ST_COMPLETED (3004)
7335	69	job-69	402	205	60	137	320	56	6901	6901	6933	7335	434	402	-114	JOB_ST_COMPLETED (3004)
7442	70	job-70	402	205	60	137	320	59	7001	7001	7040	7442	441	402	-121	JOB_ST_COMPLETED (3004)
7542	71	job-71	402	205	60	137	380	60	7101	7101	7140	7542	441	402	-61	JOB_ST_COMPLETED (3004)
7576	73	job-73	241	205	36	0	380	62	7301	7301	7335	7576	275	241	105	JOB_ST_FAILED (3005)
7648	72	job-72	402	205	60	137	380	61	7201	7201	7246	7648	447	402	-67	JOB_ST_COMPLETED (3004)
7852	74	job-74	402	205	60	137	220	63	7401	7401	7450	7852	451	402	-231	JOB_ST_COMPLETED (3004)
