VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
1,719,1.6,VM-1,m3.xlarge,VM_ST_TERMINATE (3103),101,157,820,56,3,662,0.921,0.078,0.001,819,0,False,None, -1
2,183,1.6,VM-2,m3.xlarge,VM_ST_TERMINATE (3103),401,454,584,53,1,129,0.705,0.290,0.005,583,0,False,None, -1
3,272,1.6,VM-3,m3.xlarge,VM_ST_TERMINATE (3103),501,540,773,39,1,232,0.853,0.143,0.004,772,0,False,None, -1
4,265,1.6,VM-4,m3.xlarge,VM_ST_TERMINATE (3103),601,633,866,32,1,232,0.875,0.121,0.004,865,0,False,None, -1
5,752,1.6,VM-5,m3.xlarge,VM_ST_TERMINATE (3103),701,756,1453,55,3,696,0.926,0.073,0.001,1452,0,False,None, -1
6,291,1.6,VM-6,m3.xlarge,VM_ST_TERMINATE (3103),801,859,1092,58,1,232,0.797,0.199,0.003,1091,0,False,None, -1
7,497,1.6,VM-7,m3.xlarge,VM_ST_TERMINATE (3103),1001,1033,1498,32,2,464,0.934,0.064,0.002,1497,0,False,None, -1
8,279,1.6,VM-8,m3.xlarge,VM_ST_TERMINATE (3103),1301,1347,1580,46,1,232,0.832,0.165,0.004,1579,0,False,None, -1
9,1322,1.6,VM-9,m3.xlarge,VM_ST_TERMINATE (3103),1401,1432,2723,31,6,1290,0.976,0.023,0.001,2722,0,False,None, -1
10,1118,1.6,VM-10,m3.xlarge,VM_ST_TERMINATE (3103),1501,1560,2619,59,5,1058,0.946,0.053,0.001,2618,0,False,None, -1
11,267,1.6,VM-11,m3.xlarge,VM_ST_TERMINATE (3103),2501,2535,2768,34,1,232,0.869,0.127,0.004,2767,0,False,None, -1
12,277,1.6,VM-12,m3.xlarge,VM_ST_TERMINATE (3103),2601,2645,2878,44,1,232,0.838,0.159,0.004,2877,0,False,None, -1
13,2018,1.6,VM-13,m3.xlarge,VM_ST_TERMINATE (3103),2701,2732,4719,31,9,1986,0.984,0.015,0.000,4718,0,False,None, -1
14,736,1.6,VM-14,m3.xlarge,VM_ST_TERMINATE (3103),2801,2840,3537,39,3,696,0.946,0.053,0.001,3536,0,False,None, -1
15,279,1.6,VM-15,m3.xlarge,VM_ST_TERMINATE (3103),3401,3447,3680,46,1,232,0.832,0.165,0.004,3679,0,False,None, -1
16,1040,1.6,VM-16,m3.xlarge,VM_ST_TERMINATE (3103),3501,3554,4541,53,5,986,0.948,0.051,0.001,4540,0,False,None, -1
17,280,1.6,VM-17,m3.xlarge,VM_ST_TERMINATE (3103),4501,4548,4781,47,1,232,0.829,0.168,0.004,4780,0,False,None, -1
18,292,1.6,VM-18,m3.xlarge,VM_ST_TERMINATE (3103),4601,4660,4893,59,1,232,0.795,0.202,0.003,4892,0,False,None, -1
19,396,1.6,VM-19,m3.xlarge,VM_ST_TERMINATE (3103),4701,4734,5097,33,2,362,0.914,0.083,0.003,5096,0,False,None, -1
20,734,1.6,VM-20,m3.xlarge,VM_ST_TERMINATE (3103),4801,4838,5535,37,3,696,0.948,0.050,0.001,5534,0,False,None, -1
21,700,1.6,VM-21,m3.xlarge,VM_ST_TERMINATE (3103),5101,5138,5801,37,3,662,0.946,0.053,0.001,5800,0,False,None, -1
22,285,1.6,VM-22,m3.xlarge,VM_ST_TERMINATE (3103),5401,5453,5686,52,1,232,0.814,0.182,0.004,5685,0,False,None, -1
23,1311,1.6,VM-23,m3.xlarge,VM_ST_TERMINATE (3103),5501,5555,6812,54,6,1256,0.958,0.041,0.001,6811,0,False,None, -1
24,628,1.6,VM-24,m3.xlarge,VM_ST_TERMINATE (3103),6101,6158,6729,57,3,570,0.908,0.091,0.002,6728,0,False,None, -1
25,283,1.6,VM-25,m3.xlarge,VM_ST_TERMINATE (3103),6501,6551,6784,50,1,232,0.820,0.177,0.004,6783,0,False,None, -1
26,265,1.6,VM-26,m3.xlarge,VM_ST_TERMINATE (3103),6601,6633,6866,32,1,232,0.875,0.121,0.004,6865,0,False,None, -1
27,2022,1.6,VM-27,m3.xlarge,VM_ST_TERMINATE (3103),6701,6736,8723,35,9,1986,0.982,0.017,0.000,8722,0,False,None, -1
28,733,1.6,VM-28,m3.xlarge,VM_ST_TERMINATE (3103),6801,6837,7534,36,3,696,0.950,0.049,0.001,7533,0,False,None, -1
29,277,1.6,VM-29,m3.xlarge,VM_ST_TERMINATE (3103),7401,7445,7678,44,1,232,0.838,0.159,0.004,7677,0,False,None, -1
