CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
360,1,1,524288,0.25,0,0,1048576,0.0,0.0,0.01,0.01
420,1,1,524288,3.25,0,0,1048576,0.0,0.0,0.01,0.01
480,1,1,524288,6.25,0,0,1048576,0.0,0.0,0.01,0.01
540,1,2,524288,9.25,0,0,1048576,0.0,0.0,0.01,0.01
600,1,2,1048576,12.9,1048576,0,1572864,0.02,0.0,0.015,0.035
660,1,2,1048576,18.9,1048576,0,1572864,0.02,0.0,0.015,0.035
720,1,3,1048576,24.9,1048576,0,1572864,0.02,0.0,0.015,0.035
780,1,4,1572864,31.3,1572864,0,2097152,0.03,0.0,0.02,0.05
840,1,5,2097152,41.35,2097152,0,2621440,0.04,0.0,0.025,0.065
900,1,5,2621440,55.1,2621440,0,3145728,0.05,0.0,0.03,0.08
960,1,6,2621440,70.1,2621440,0,3145728,0.05,0.0,0.03,0.08
1020,1,6,3145728,86.7,3145728,0,3670016,0.06,0.0,0.035,0.095
1080,1,7,3145728,104.7,3145728,0,3670016,0.06,0.0,0.035,0.095
1140,1,7,3670016,125.15,3670016,0,4194304,0.07,0.0,0.04,0.11
1200,1,9,3670016,146.15,3670016,0,4194304,0.07,0.0,0.04,0.11
1260,1,9,4194304,169.15,4194304,0,4718592,0.08,0.0,0.045,0.125
1320,1,9,4718592,195.9,4718592,0,5242880,0.09,0.0,0.05,0.14
1380,1,9,4718592,222.9,4718592,0,5242880,0.09,0.0,0.05,0.14
1440,1,11,4718592,249.9,4718592,0,5242880,0.09,0.0,0.05,0.14
1500,1,11,5767168,279.45,5767168,0,6291456,0.11,0.0,0.06,0.17
1560,1,12,5767168,312.45,5767168,0,6291456,0.11,0.0,0.06,0.17
1620,1,13,6291456,347.5,6291456,0,6815744,0.12,0.0,0.065,0.185
1680,1,13,6815744,384.3,6815744,0,7340032,0.13,0.0,0.07,0.2
1740,1,14,6815744,423.3,6815744,0,7340032,0.13,0.0,0.07,0.2
1800,1,15,7340032,462.7,7340032,0,7864320,0.14,0.0,0.075,0.215
1860,1,15,7340032,504.7,7340032,0,7864320,0.14,0.0,0.075,0.215
1920,1,15,7864320,549.6,7340032,0,8912896,0.14,0.0,0.085,0.225
1980,1,16,7864320,594.6,7340032,0,8912896,0.14,0.0,0.085,0.225
2040,1,17,8388608,642.1,7340032,0,9961472,0.14,0.0,0.095,0.235
2100,1,17,8912896,692.1,7340032,0,11010048,0.14,0.0,0.105,0.245
2160,1,18,8912896,743.1,7340032,0,11010048,0.14,0.0,0.105,0.245
2220,1,19,9437184,795.7,7340032,0,12058624,0.14,0.0,0.115,0.255
2280,1,19,9961472,850.8,7340032,0,13107200,0.14,0.0,0.125,0.265
2340,1,20,9961472,907.8,7340032,0,13107200,0.14,0.0,0.125,0.265
2400,1,20,10485760,965.5,7340032,0,14155776,0.14,0.0,0.135,0.275
