ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
1,job-1,198,69,60,69,300,1,101,101,157,355,254,198,46,0.088,JOB_ST_COMPLETED (3004)
2,job-2,232,103,60,69,600,1,201,201,355,587,386,232,214,0.10311,JOB_ST_COMPLETED (3004)
3,job-3,232,103,60,69,900,1,301,301,587,819,518,232,382,0.10311,JOB_ST_COMPLETED (3004)
4,job-4,129,103,26,0,550,2,401,401,454,583,182,129,368,0.05733,JOB_ST_FAILED (3005)
5,job-5,232,103,60,69,200,3,501,501,540,772,271,232,-71,0.10311,JOB_ST_COMPLETED (3004)
6,job-6,232,103,60,69,200,4,601,601,633,865,264,232,-64,0.10311,JOB_ST_COMPLETED (3004)
7,job-7,232,103,60,69,220,5,701,701,756,988,287,232,-67,0.10311,JOB_ST_COMPLETED (3004)
8,job-8,232,103,60,69,220,6,801,801,859,1091,290,232,-70,0.10311,JOB_ST_COMPLETED (3004)
9,job-9,232,103,60,69,320,5,901,901,988,1220,319,232,1,0.10311,JOB_ST_COMPLETED (3004)
10,job-10,232,103,60,69,320,7,1001,1001,1033,1265,264,232,56,0.10311,JOB_ST_COMPLETED (3004)
11,job-11,232,103,60,69,380,5,1101,1101,1220,1452,351,232,29,0.10311,JOB_ST_COMPLETED (3004)
12,job-12,232,103,60,69,380,7,1201,1201,1265,1497,296,232,84,0.10311,JOB_ST_COMPLETED (3004)
13,job-13,232,103,60,69,380,8,1301,1301,1347,1579,278,232,102,0.10311,JOB_ST_COMPLETED (3004)
14,job-14,232,103,60,69,220,9,1401,1401,1432,1664,263,232,-43,0.10311,JOB_ST_COMPLETED (3004)
15,job-15,232,103,60,69,220,10,1501,1501,1560,1792,291,232,-71,0.10311,JOB_ST_COMPLETED (3004)
16,job-16,198,69,60,69,320,9,1601,1601,1664,1862,261,198,59,0.088,JOB_ST_COMPLETED (3004)
17,job-17,198,69,60,69,520,10,1701,1701,1792,1990,289,198,231,0.088,JOB_ST_COMPLETED (3004)
18,job-18,198,69,60,69,580,9,1801,1801,1862,2060,259,198,321,0.088,JOB_ST_COMPLETED (3004)
