ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
19,job-19,198,69,60,69,980,10,1901,1901,1990,2188,287,198,693,0.088,JOB_ST_COMPLETED (3004)
20,job-20,198,69,60,69,980,9,2001,2001,2060,2258,257,198,723,0.088,JOB_ST_COMPLETED (3004)
21,job-21,198,69,60,69,300,10,2101,2101,2188,2386,285,198,15,0.088,JOB_ST_COMPLETED (3004)
22,job-22,232,103,60,69,600,9,2201,2201,2258,2490,289,232,311,0.10311,JOB_ST_COMPLETED (3004)
23,job-23,232,103,60,69,900,10,2301,2301,2386,2618,317,232,583,0.10311,JOB_ST_COMPLETED (3004)
24,job-24,232,103,60,69,550,9,2401,2401,2490,2722,321,232,229,0.10311,JOB_ST_COMPLETED (3004)
25,job-25,232,103,60,69,200,11,2501,2501,2535,2767,266,232,-66,0.10311,JOB_ST_COMPLETED (3004)
26,job-26,232,103,60,69,200,12,2601,2601,2645,2877,276,232,-76,0.10311,JOB_ST_COMPLETED (3004)
27,job-27,232,103,60,69,220,13,2701,2701,2732,2964,263,232,-43,0.10311,JOB_ST_COMPLETED (3004)
28,job-28,232,103,60,69,220,14,2801,2801,2840,3072,271,232,-51,0.10311,JOB_ST_COMPLETED (3004)
29,job-29,232,103,60,69,320,13,2901,2901,2964,3196,295,232,25,0.10311,JOB_ST_COMPLETED (3004)
30,job-30,232,103,60,69,320,14,3001,3001,3072,3304,303,232,17,0.10311,JOB_ST_COMPLETED (3004)
31,job-31,232,103,60,69,380,13,3101,3101,3196,3428,327,232,53,0.10311,JOB_ST_COMPLETED (3004)
32,job-32,232,103,60,69,380,14,3201,3201,3304,3536,335,232,45,0.10311,JOB_ST_COMPLETED (3004)
33,job-33,232,103,60,69,380,13,3301,3301,3428,3660,359,232,21,0.10311,JOB_ST_COMPLETED (3004)
34,job-34,232,103,60,69,220,15,3401,3401,3447,3679,278,232,-58,0.10311,JOB_ST_COMPLETED (3004)
35,job-35,160,103,57,0,220,16,3501,3501,3554,3714,213,160,7,0.07111,JOB_ST_FAILED (3005)
36,job-36,198,69,60,69,320,13,3601,3601,3660,3858,257,198,63,0.088,JOB_ST_COMPLETED (3004)
37,job-37,198,69,60,69,520,16,3701,3701,3714,3912,211,198,309,0.088,JOB_ST_COMPLETED (3004)
38,job-38,198,69,60,69,580,13,3801,3801,3858,4056,255,198,325,0.088,JOB_ST_COMPLETED (3004)
39,job-39,198,69,60,69,980,16,3901,3901,3912,4110,209,198,771,0.088,JOB_ST_COMPLETED (3004)
40,job-40,198,69,60,69,980,13,4001,4001,4056,4254,253,198,727,0.088,JOB_ST_COMPLETED (3004)
41,job-41,198,69,60,69,300,16,4101,4101,4110,4308,207,198,93,0.088,JOB_ST_COMPLETED (3004)
42,job-42,232,103,60,69,600,13,4201,4201,4254,4486,285,232,315,0.10311,JOB_ST_COMPLETED (3004)
43,job-43,232,103,60,69,900,16,4301,4301,4308,4540,239,232,661,0.10311,JOB_ST_COMPLETED (3004)
44,job-44,232,103,60,69,550,13,4401,4401,4486,4718,317,232,233,0.10311,JOB_ST_COMPLETED (3004)
45,job-45,232,103,60,69,200,17,4501,4501,4548,4780,279,232,-79,0.10311,JOB_ST_COMPLETED (3004)
46,job-46,232,103,60,69,200,18,4601,4601,4660,4892,291,232,-91,0.10311,JOB_ST_COMPLETED (3004)
47,job-47,232,103,60,69,220,19,4701,4701,4734,4966,265,232,-45,0.10311,JOB_ST_COMPLETED (3004)
48,job-48,232,103,60,69,220,20,4801,4801,4838,5070,269,232,-49,0.10311,JOB_ST_COMPLETED (3004)
49,job-49,130,103,27,0,320,19,4901,4901,4966,5096,195,130,125,0.05778,JOB_ST_FAILED (3005)
50,job-50,232,103,60,69,320,20,5001,5001,5070,5302,301,232,19,0.10311,JOB_ST_COMPLETED (3004)
51,job-51,232,103,60,69,380,21,5101,5101,5138,5370,269,232,111,0.10311,JOB_ST_COMPLETED (3004)
52,job-52,232,103,60,69,380,20,5201,5201,5302,5534,333,232,47,0.10311,JOB_ST_COMPLETED (3004)
53,job-53,232,103,60,69,380,21,5301,5301,5370,5602,301,232,79,0.10311,JOB_ST_COMPLETED (3004)
54,job-54,232,103,60,69,220,22,5401,5401,5453,5685,284,232,-64,0.10311,JOB_ST_COMPLETED (3004)
55,job-55,232,103,60,69,220,23,5501,5501,5555,5787,286,232,-66,0.10311,JOB_ST_COMPLETED (3004)
56,job-56,198,69,60,69,320,21,5601,5601,5602,5800,199,198,121,0.088,JOB_ST_COMPLETED (3004)
57,job-57,198,69,60,69,520,23,5701,5701,5787,5985,284,198,236,0.088,JOB_ST_COMPLETED (3004)
58,job-58,198,69,60,69,580,23,5801,5801,5985,6183,382,198,198,0.088,JOB_ST_COMPLETED (3004)
59,job-59,198,69,60,69,980,23,5901,5901,6183,6381,480,198,500,0.088,JOB_ST_COMPLETED (3004)
60,job-60,198,69,60,69,980,23,6001,6001,6381,6579,578,198,402,0.088,JOB_ST_COMPLETED (3004)
61,job-61,198,69,60,69,300,24,6101,6101,6158,6356,255,198,45,0.088,JOB_ST_COMPLETED (3004)
62,job-62,140,103,37,0,600,24,6201,6201,6356,6496,295,140,305,0.06222,JOB_ST_FAILED (3005)
63,job-63,232,103,60,69,900,23,6301,6301,6579,6811,510,232,390,0.10311,JOB_ST_COMPLETED (3004)
64,job-64,232,103,60,69,550,24,6401,6401,6496,6728,327,232,223,0.10311,JOB_ST_COMPLETED (3004)
65,job-65,232,103,60,69,200,25,6501,6501,6551,6783,282,232,-82,0.10311,JOB_ST_COMPLETED (3004)
66,job-66,232,103,60,69,200,26,6601,6601,6633,6865,264,232,-64,0.10311,JOB_ST_COMPLETED (3004)
67,job-67,232,103,60,69,220,27,6701,6701,6736,6968,267,232,-47,0.10311,JOB_ST_COMPLETED (3004)
68,job-68,232,103,60,69,220,28,6801,6801,6837,7069,268,232,-48,0.10311,JOB_ST_COMPLETED (3004)
69,job-69,232,103,60,69,320,27,6901,6901,6968,7200,299,232,21,0.10311,JOB_ST_COMPLETED (3004)
70,job-70,232,103,60,69,320,28,7001,7001,7069,7301,300,232,20,0.10311,JOB_ST_COMPLETED (3004)
71,job-71,232,103,60,69,380,27,7101,7101,7200,7432,331,232,49,0.10311,JOB_ST_COMPLETED (3004)
72,job-72,232,103,60,69,380,28,7201,7201,7301,7533,332,232,48,0.10311,JOB_ST_COMPLETED (3004)
73,job-73,232,103,60,69,380,27,7301,7301,7432,7664,363,232,17,0.10311,JOB_ST_COMPLETED (3004)
74,job-74,232,103,60,69,220,29,7401,7401,7445,7677,276,232,-56,0.10311,JOB_ST_COMPLETED (3004)
75,job-75,232,103,60,69,220,30,7501,7501,7535,7767,266,232,-46,0.10311,JOB_ST_COMPLETED (3004)
76,job-76,198,69,60,69,320,27,7601,7601,7664,7862,261,198,59,0.088,JOB_ST_COMPLETED (3004)
77,job-77,198,69,60,69,520,30,7701,7701,7767,7965,264,198,256,0.088,JOB_ST_COMPLETED (3004)
78,job-78,198,69,60,69,580,27,7801,7801,7862,8060,259,198,321,0.088,JOB_ST_COMPLETED (3004)
79,job-79,198,69,60,69,980,30,7901,7901,7965,8163,262,198,718,0.088,JOB_ST_COMPLETED (3004)
80,job-80,198,69,60,69,980,27,8001,8001,8060,8258,257,198,723,0.088,JOB_ST_COMPLETED (3004)
81,job-81,198,69,60,69,300,30,8101,8101,8163,8361,260,198,40,0.088,JOB_ST_COMPLETED (3004)
82,job-82,232,103,60,69,600,27,8201,8201,8258,8490,289,232,311,0.10311,JOB_ST_COMPLETED (3004)
83,job-83,232,103,60,69,900,30,8301,8301,8361,8593,292,232,608,0.10311,JOB_ST_COMPLETED (3004)
84,job-84,232,103,60,69,550,27,8401,8401,8490,8722,321,232,229,0.10311,JOB_ST_COMPLETED (3004)
85,job-85,232,103,60,69,200,31,8501,8501,8549,8781,280,232,-80,0.10311,JOB_ST_COMPLETED (3004)
86,job-86,232,103,60,69,200,32,8601,8601,8656,8888,287,232,-87,0.10311,JOB_ST_COMPLETED (3004)
87,job-87,232,103,60,69,220,33,8701,8701,8759,8991,290,232,-70,0.10311,JOB_ST_COMPLETED (3004)
88,job-88,232,103,60,69,220,34,8801,8801,8841,9073,272,232,-52,0.10311,JOB_ST_COMPLETED (3004)
89,job-89,232,103,60,69,320,35,8901,8901,8938,9170,269,232,51,0.10311,JOB_ST_COMPLETED (3004)
90,job-90,232,103,60,69,320,34,9001,9001,9073,9305,304,232,16,0.10311,JOB_ST_COMPLETED (3004)
91,job-91,232,103,60,69,380,35,9101,9101,9170,9402,301,232,79,0.10311,JOB_ST_COMPLETED (3004)
92,job-92,151,103,48,0,380,34,9201,9201,9305,9456,255,151,125,0.06711,JOB_ST_FAILED (3005)
93,job-93,232,103,60,69,380,35,9301,9301,9402,9634,333,232,47,0.10311,JOB_ST_COMPLETED (3004)
94,job-94,232,103,60,69,220,36,9401,9401,9456,9688,287,232,-67,0.10311,JOB_ST_COMPLETED (3004)
95,job-95,232,103,60,69,220,37,9501,9501,9558,9790,289,232,-69,0.10311,JOB_ST_COMPLETED (3004)
96,job-96,198,69,60,69,320,35,9601,9601,9634,9832,231,198,89,0.088,JOB_ST_COMPLETED (3004)
97,job-97,198,69,60,69,520,37,9701,9701,9790,9988,287,198,233,0.088,JOB_ST_COMPLETED (3004)
98,job-98,198,69,60,69,580,35,9801,9801,9832,10030,229,198,351,0.088,JOB_ST_COMPLETED (3004)
99,job-99,198,69,60,69,980,37,9901,9901,9988,10186,285,198,695,0.088,JOB_ST_COMPLETED (3004)
100,job-100,198,69,60,69,980,35,10001,10001,10030,10228,227,198,753,0.088,JOB_ST_COMPLETED (3004)
