TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),286,10229,9943,95,49807360,23149.0

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,524288,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,286,355,10229,9874,493.7
SFO,2,1,524288,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,518,587,10229,9642,482.1
SFO,3,1,524288,Job-5,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,703,772,10229,9457,472.85
SFO,4,1,524288,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,750,819,10229,9410,470.5
SFO,5,1,524288,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,796,865,10229,9364,468.2
SFO,6,1,524288,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,919,988,10229,9241,462.05
SFO,7,1,524288,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1022,1091,10229,9138,456.9
SFO,8,1,524288,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1151,1220,10229,9009,450.45
SFO,9,1,524288,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1196,1265,10229,8964,448.2
SFO,10,1,524288,Job-11,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1383,1452,10229,8777,438.85
SFO,11,1,524288,Job-12,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1428,1497,10229,8732,436.6
SFO,12,1,524288,Job-13,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1510,1579,10229,8650,432.5
SFO,13,1,524288,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1595,1664,10229,8565,428.25
SFO,14,1,524288,Job-15,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1723,1792,10229,8437,421.85
SFO,15,1,524288,Job-16,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1793,1862,10229,8367,418.35
SFO,16,1,524288,Job-17,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1921,1990,10229,8239,411.95
SFO,17,1,524288,Job-18,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1991,2060,10229,8169,408.45
SFO,18,1,524288,Job-19,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2119,2188,10229,8041,402.05
SFO,19,1,524288,Job-20,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2189,2258,10229,7971,398.55
SFO,20,1,524288,Job-21,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2317,2386,10229,7843,392.15
SFO,21,1,524288,Job-22,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2421,2490,10229,7739,386.95
SFO,22,1,524288,Job-23,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2549,2618,10229,7611,380.55
SFO,23,1,524288,Job-24,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2653,2722,10229,7507,375.35
SFO,24,1,524288,Job-25,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2698,2767,10229,7462,373.1
SFO,25,1,524288,Job-26,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2808,2877,10229,7352,367.6
SFO,26,1,524288,Job-27,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2895,2964,10229,7265,363.25
SFO,27,1,524288,Job-28,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3003,3072,10229,7157,357.85
SFO,28,1,524288,Job-29,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3127,3196,10229,7033,351.65
