CLOCK,JOB_RECV(CUMM),JOB_RECV(UNIT),JOB_COMP(CUMM),JOB_COMP(UNIT),VM_RUN,VM_STUP,VM_ACT,VM_STOP,VM_COST($)
60,0,0,0,0,0,0,0,0,0
120,1,1,0,0,1,1,0,0,1.6
180,1,0,0,0,1,0,1,0,1.6
240,2,1,0,0,1,0,1,0,1.6
300,2,0,0,0,1,0,1,0,1.6
360,3,1,1,1,1,0,1,0,1.6
420,4,1,1,0,2,1,1,0,3.2
480,4,0,1,0,2,0,2,0,3.2
540,5,1,1,0,3,1,2,0,4.8
600,5,0,3,2,2,0,2,1,4.8
660,6,1,3,0,3,0,3,1,6.4
720,7,1,3,0,4,1,3,1,8.0
780,7,0,4,1,3,0,3,2,8.0
840,8,1,5,1,3,1,2,3,9.6
900,8,0,6,1,2,0,2,4,9.6
960,9,1,6,0,2,0,2,4,9.6
1020,10,1,7,1,3,1,2,4,11.2
1080,10,0,7,0,3,0,3,4,11.2
1140,11,1,8,1,2,0,2,5,11.2
1200,11,0,8,0,2,0,2,5,11.2
1260,12,1,9,1,2,0,2,5,11.2
1320,13,1,10,1,3,1,2,5,12.8
1380,13,0,10,0,3,0,3,5,12.8
1440,14,1,10,0,4,0,4,5,14.4
1500,14,0,12,2,2,0,2,7,14.4
1560,15,1,12,0,3,1,2,7,16.0
1620,16,1,13,1,2,0,2,8,16.0
1680,16,0,14,1,2,0,2,8,16.0
1740,17,1,14,0,2,0,2,8,16.0
1800,17,0,15,1,2,0,2,8,16.0
1860,18,1,15,0,2,0,2,8,16.0
1920,19,1,16,1,2,0,2,8,16.0
1980,19,0,16,0,2,0,2,8,16.0
2040,20,1,17,1,2,0,2,8,16.0
2100,20,0,18,1,2,0,2,8,16.0
2160,21,1,18,0,2,0,2,8,16.0
2220,22,1,19,1,2,0,2,8,16.0
2280,22,0,20,1,2,0,2,8,16.0
2340,23,1,20,0,2,0,2,8,16.0
2400,23,0,21,1,2,0,2,8,16.0
2460,24,1,21,0,2,0,2,8,16.0
2520,25,1,22,1,3,1,2,8,17.6
2580,25,0,22,0,3,0,3,8,17.6
2640,26,1,23,1,3,1,2,9,19.2
2700,26,0,23,0,3,0,3,9,19.2
2760,27,1,24,1,3,0,3,10,20.8
2820,28,1,25,1,3,1,2,11,22.4
2880,28,0,26,1,2,0,2,12,22.4
2940,29,1,26,0,2,0,2,12,22.4
3000,29,0,27,1,2,0,2,12,22.4
3060,30,1,27,0,2,0,2,12,22.4
3120,31,1,28,1,2,0,2,12,22.4
3180,31,0,28,0,2,0,2,12,22.4
3240,32,1,29,1,2,0,2,12,22.4
3300,32,0,29,0,2,0,2,12,22.4
3360,33,1,30,1,2,0,2,12,22.4
3420,34,1,30,0,3,1,2,12,24.0
3480,34,0,31,1,3,0,3,12,24.0
3540,35,1,32,1,3,1,2,13,25.6
3600,35,0,32,0,3,0,3,13,25.6
3660,36,1,32,0,3,0,3,13,25.6
3720,37,1,35,3,2,0,2,14,25.6
3780,37,0,35,0,2,0,2,14,25.6
3840,38,1,35,0,2,0,2,14,25.6
3900,38,0,36,1,2,0,2,14,25.6
3960,39,1,37,1,2,0,2,14,25.6
4020,40,1,37,0,2,0,2,14,25.6
4080,40,0,38,1,2,0,2,14,25.6
4140,41,1,39,1,2,0,2,14,25.6
4200,41,0,39,0,2,0,2,14,25.6
4260,42,1,40,1,2,0,2,14,25.6
4320,43,1,41,1,2,0,2,14,25.6
4380,43,0,41,0,2,0,2,14,25.6
4440,44,1,41,0,2,0,2,14,25.6
4500,44,0,42,1,2,0,2,14,25.6
4560,45,1,43,1,2,0,2,15,27.2
4620,46,1,43,0,3,1,2,15,28.8
4680,46,0,43,0,3,0,3,15,28.8
4740,47,1,44,1,3,0,3,16,30.4
4800,47,0,45,1,2,0,2,17,30.4
4860,48,1,45,0,3,0,3,17,32.0
4920,49,1,46,1,2,0,2,18,32.0
4980,49,0,47,1,2,0,2,18,32.0
5040,50,1,47,0,2,0,2,18,32.0
5100,50,0,49,2,1,0,1,19,32.0
5160,51,1,49,0,2,0,2,19,33.6
5220,52,1,49,0,2,0,2,19,33.6
5280,52,0,49,0,2,0,2,19,33.6
5340,53,1,50,1,2,0,2,19,33.6
5400,53,0,51,1,2,0,2,19,33.6
5460,54,1,51,0,3,0,3,19,35.2
5520,55,1,51,0,4,1,3,19,36.8
5580,55,0,52,1,3,0,3,20,36.8
5640,56,1,53,1,3,0,3,20,36.8
5700,56,0,54,1,2,0,2,21,36.8
5760,57,1,54,0,2,0,2,21,36.8
5820,58,1,56,2,1,0,1,22,36.8
5880,58,0,56,0,1,0,1,22,36.8
5940,59,1,56,0,1,0,1,22,36.8
6000,59,0,57,1,1,0,1,22,36.8
6060,60,1,57,0,1,0,1,22,36.8
6120,61,1,57,0,2,1,1,22,38.4
6180,61,0,57,0,2,0,2,22,38.4
6240,62,1,58,1,2,0,2,22,38.4
6300,62,0,58,0,2,0,2,22,38.4
6360,63,1,59,1,2,0,2,22,38.4
6420,64,1,60,1,2,0,2,22,38.4
6480,64,0,60,0,2,0,2,22,38.4
6540,65,1,61,1,3,1,2,22,40.0
6600,65,0,62,1,3,0,3,22,40.0
6660,66,1,62,0,4,0,4,22,41.6
6720,67,1,62,0,5,1,4,22,43.2
6780,67,0,63,1,4,0,4,23,43.2
6840,68,1,65,2,3,0,3,25,44.8
6900,68,0,66,1,2,0,2,26,44.8
6960,69,1,66,0,2,0,2,26,44.8
7020,70,1,67,1,2,0,2,26,44.8
7080,70,0,68,1,2,0,2,26,44.8
7140,71,1,68,0,2,0,2,26,44.8
7200,71,0,68,0,2,0,2,26,44.8
7260,72,1,69,1,2,0,2,26,44.8
7320,73,1,70,1,2,0,2,26,44.8
7380,73,0,70,0,2,0,2,26,44.8
7440,74,1,71,1,3,1,2,26,46.4
7500,74,0,71,0,3,0,3,26,46.4
7560,75,1,72,1,3,0,3,27,48.0
7620,76,1,72,0,3,0,3,27,48.0
7680,76,0,74,2,2,0,2,28,48.0
7740,77,1,74,0,2,0,2,28,48.0
7800,77,0,75,1,2,0,2,28,48.0
7860,78,1,75,0,2,0,2,28,48.0
7920,79,1,76,1,2,0,2,28,48.0
7980,79,0,77,1,2,0,2,28,48.0
8040,80,1,77,0,2,0,2,28,48.0
8100,80,0,78,1,2,0,2,28,48.0
8160,81,1,78,0,2,0,2,28,48.0
8220,82,1,79,1,2,0,2,28,48.0
8280,82,0,80,1,2,0,2,28,48.0
8340,83,1,80,0,2,0,2,28,48.0
8400,83,0,81,1,2,0,2,28,48.0
8460,84,1,81,0,2,0,2,28,48.0
8520,85,1,82,1,3,1,2,28,49.6
8580,85,0,82,0,3,0,3,28,49.6
8640,86,1,83,1,3,1,2,29,51.2
8700,86,0,83,0,3,0,3,29,51.2
8760,87,1,84,1,3,0,3,30,52.8
8820,88,1,85,1,3,1,2,31,54.4
8880,88,0,85,0,3,0,3,31,54.4
8940,89,1,86,1,3,0,3,32,56.0
9000,89,0,87,1,2,0,2,33,56.0
9060,90,1,87,0,2,0,2,33,56.0
9120,91,1,88,1,2,0,2,33,56.0
9180,91,0,89,1,2,0,2,33,56.0
9240,92,1,89,0,2,0,2,33,56.0
9300,92,0,89,0,2,0,2,33,56.0
9360,93,1,90,1,2,0,2,33,56.0
9420,94,1,91,1,3,1,2,33,57.6
9480,94,0,92,1,2,0,2,34,57.6
9540,95,1,92,0,3,1,2,34,59.2
9600,95,0,92,0,3,0,3,34,59.2
9660,96,1,93,1,3,0,3,34,59.2
9720,97,1,94,1,2,0,2,35,59.2
9780,97,0,94,0,2,0,2,35,59.2
9840,98,1,96,2,2,0,2,35,59.2
9900,98,0,96,0,2,0,2,35,59.2
9960,99,1,96,0,2,0,2,35,59.2
10020,100,1,97,1,2,0,2,35,59.2
10080,100,0,98,1,2,0,2,35,59.2
10140,100,0,98,0,2,0,2,35,59.2
10200,100,0,99,1,1,0,1,36,59.2
